地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1090802,1528179,21733,346389,90988,6%,32910,464,3.8069745460939903,0.03490069275720058,0.0024080976915196
俄罗斯,217747,290678,9709,70209,2722,0.9%,14390,202,25.793166789125642,1.1845475156546654,0.001780504818319361
西班牙,54124,277719,1214,195945,27650,10%,4640,599,7.086618444846293,1.3093301390965733,0.026071802906885894
英国,207141,243695,3534,1918,34636,14.2%,6700,364,0.05537590945836702,0.002673343734864996,0.8717923617528129
巴西,131999,242313,7938,94122,16192,6.7%,21240,114,5.812870553359684,0.4403723174690478,0.013032829303099819
意大利,68351,225435,675,125176,31908,14.2%,5920,381,3.9230287075341606,0.5739533741326623,0.03729354268820815
法国,90255,179693,63,61327,28111,15.6%,6550,274,2.181601508306357,0.24171530755153256,0.0507870870686632
德国,13285,177535,515,156085,8165,4.6%,8240,215,19.116350275566443,14.38942437001614,0.03937616911565501
土耳其,35333,149435,1368,109962,4140,2.8%,8300,180,26.56086956521739,7.517298153345991,0.010655582538218782
伊朗,20971,122492,1806,94464,7057,5.8%,8280,148,13.385858013320108,6.383032765876739,0.03562334080138283
印度,56316,96169,4854,36824,3029,3.1%,136870,7,12.157147573456585,2.1587377607529983,0.014606175385638135
秘鲁,61004,92273,3732,28621,2648,2.9%,3290,280,10.808534743202417,1.7717747595571467,0.015166133155932033
加拿大,32670,77002,1138,38550,5782,7.5%,3730,206,6.6672431684538225,2.040784563346747,0.04590971222264702
比利时,31822,55559,291,14657,9080,16.3%,1160,479,1.6142070484581499,0.50726134386844,0.19467639224183358
沙特阿拉伯,28718,54752,2736,25722,312,0.6%,3410,161,82.4423076923077,28.70753802225353,0.004223725337769284
墨西哥,10713,49219,2112,33329,5177,10.5%,13230,37,6.4378983967548775,6.009426301460727,0.14499224579957087
荷兰,38125,44141,125,322,5694,12.9%,1710,258,0.05655075518089217,0.014832984965479915,4.638224213420222
智利,24118,43781,2353,19213,450,1%,1830,239,42.69555555555556,17.70277616533525,0.00971127025326954
巴基斯坦,29300,42125,1352,11922,903,2.1%,20460,21,13.20265780730897,4.506026555395553,0.02585062290554131
卡塔尔,29055,33969,1632,4899,15,0%,270,1258,326.6,112.40750301152987,0.0010538115150616537
厄瓜多尔,27013,33182,419,3433,2736,8.2%,1710,194,1.254751461988304,0.46449911597686444,0.2950322362077255
瑞士,1216,30597,15,27500,1881,6.1%,860,356,14.619883040935672,120.22930132348415,0.5625
白俄罗斯,20271,30572,969,10130,171,0.6%,940,325,59.239766081871345,29.22389920668509,0.00832743960013096
瑞典,21708,30377,466,4971,3698,12.2%,1010,301,1.3442401297998918,0.6192372073889313,0.34269149865979637
葡萄牙,21548,29209,226,6430,1231,4.2%,1030,284,5.223395613322502,2.4240744446456755,0.08884645686681346
新加坡,18981,28343,682,9340,22,0.1%,590,480,424.54545454545456,223.66864472127634,0.0012409569492855869
爱尔兰,3099,24112,64,19470,1543,6.4%,480,502,12.618276085547635,40.71725100208982,0.25572806841778245
孟加拉国,18936,23870,1273,4585,349,1.5%,16470,14,13.137535816618911,6.937862176076738,0.0401973887591976
阿联酋,14626,23358,731,8512,220,0.9%,970,241,38.69090909090909,26.4535136680631,0.017671177807776654
波兰,10366,18746,210,7451,929,5%,3800,49,8.020452099031216,7.737268087045356,0.12027903804631833
乌克兰,12805,18616,433,5276,535,2.9%,4380,43,9.861682242990653,7.701430880898597,0.0791898303087752
印度尼西亚,12495,18010,489,4324,1191,6.6%,26950,7,3.6305625524769103,2.9056122868962864,0.2204397022453755
罗马尼亚,5999,17036,167,9930,1107,6.5%,1950,87,8.970189701897018,14.952808304545789,0.1858315761589671
以色列,3335,16621,2,13014,272,1.6%,860,193,47.845588235294116,143.46503218978745,0.06267037066989788
日本,4034,16366,27,11564,768,4.7%,12690,13,15.057291666666666,37.325958519253014,0.16463313306970312
奥地利,1026,16269,41,14614,629,3.9%,880,185,23.233704292527822,226.44935957629457,0.4195021409948697
科威特,11234,15691,1048,4339,118,0.8%,420,374,36.771186440677965,32.73205130913118,0.024207945761728248
哥伦比亚,11249,15574,635,3751,574,3.7%,4980,31,6.534843205574913,5.809265895257279,0.13603507846984425
南非,8245,15515,1160,7006,264,1.7%,5810,27,26.53787878787879,32.186632853703806,0.04570283428550457
菲律宾,9158,12718,208,2729,831,6.5%,10810,12,3.2839951865222625,3.585930537805484,0.3325039806448272
多米尼加共和国,6039,12314,204,5847,428,3.5%,1083.5,114,13.661214953271028,22.621650858206703,0.1212120079298708
埃及,8427,12229,510,3172,630,5.2%,10120,12,5.034920634920635,5.9747485877781354,0.23568632081083277
丹麦,1152,11125,136,9425,548,4.9%,580,192,17.19890510948905,149.296051297648,0.5047155909224874
韩国,898,11065,15,9904,263,2.4%,5130,22,37.657794676806084,419.3518338174397,0.29571188532405523
塞尔维亚,5667,10610,114,4713,230,2.2%,870,122,20.491304347826087,36.158998319791934,0.08611467831805752
巴拿马,3250,9606,181,6081,275,2.9%,420,229,22.112727272727273,68.03916083916084,0.1391471544406917
捷克,2714,8480,2,5468,298,3.5%,1060,80,18.348993288590606,67.60867092332575,0.20080656855805792
挪威,7984,8249,25,32,233,2.8%,540,153,0.13733905579399142,0.17201785545339607,9.119802104208418
阿根廷,5126,8068,326,2569,373,4.6%,4510,18,6.887399463806971,13.43620652322858,0.2832475262922808
巴林,4215,7156,275,2929,12,0.2%,160,447,244.08333333333334,579.0826413602215,0.009719955919999903
阿富汗,6098,7072,262,801,173,2.4%,3680,19,4.630057803468208,7.592748119823234,0.35418173986354384
澳大利亚,569,7060,8,6392,99,1.4%,2510,28,64.56565656565657,1134.7215565141753,0.27219877219107363
阿尔及利亚,2964,7019,198,3507,548,7.8%,4270,16,6.399635036496351,21.59121132421171,0.5271893075233762
马来西亚,1213,6941,22,5615,113,1.6%,3250,21,49.690265486725664,409.6476956861143,0.1659082116489588
摩洛哥,3006,6930,117,3732,192,2.8%,3660,19,19.4375,64.66234198270126,0.17114752274657544
哈萨克斯坦,3150,6440,307,3256,34,0.5%,1860,35,95.76470588235294,304.01493930905696,0.03315003315003315
芬兰,1080,6380,61,5000,300,4.7%,560,114,16.666666666666668,154.320987654321,0.5555555555555555
摩尔多瓦,3505,6060,126,2344,211,3.5%,400,152,11.109004739336493,31.694735347607683,0.25682472138777857
尼日利亚,4183,5959,509,1594,182,3.1%,20100,3,8.758241758241759,20.93770441845986,0.2729576096832162
阿曼,3858,5379,157,1496,25,0.5%,500,108,59.84,155.10627268014517,0.04331578524241593
亚美尼亚,2743,4823,189,2019,61,1.3%,290,166,33.09836065573771,120.66482193123481,0.1101457408718523
玻利维亚,3426,4088,249,493,169,4.1%,1121,36,2.9171597633136095,8.514768719537681,1.0005814029216977
卢森堡,136,3945,15,3702,107,2.7%,60,658,34.598130841121495,2543.980208905992,2.125242317348333
匈牙利,1673,3535,36,1400,462,13.1%,970,36,3.0303030303030303,18.112988824285896,1.972504482964734
伊拉克,1063,3404,144,2218,123,3.6%,4040,8,18.03252032520325,169.63800870369943,0.521687348954547
阿塞拜疆,1220,3274,136,2015,39,1.2%,1000,33,51.666666666666664,423.4972677595628,0.15864621893178213
泰国,118,3031,3,2857,56,1.8%,6930,4,51.017857142857146,4323.547215496368,1.66110000415275
希腊,1297,2834,15,1374,163,5.8%,1110,26,8.429447852760736,64.99188783932719,0.9146625456349273
乌兹别克斯坦,473,2779,22,2293,13,0.5%,3280,8,176.3846153846154,3729.0616360383806,0.11986107179770401
几内亚,1509,2658,127,1133,16,0.6%,1270,21,70.8125,469.2677269715043,0.09358383386061975
洪都拉斯,2185,2646,105,319,142,5.4%,911,29,2.2464788732394365,10.281367840912752,2.037258882520462
塞内加尔,1442,2544,51,1076,26,1%,1670,15,41.38461538461539,286.99455883921905,0.16756982505710263
波斯尼亚和黑塞哥维那,721,2290,23,1436,133,5.8%,350,65,10.796992481203008,149.75024245773935,1.28458230792114
保加利亚,1513,2235,37,612,110,4.9%,700,32,5.5636363636363635,36.77221654749744,1.1879614150132403
