地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数,每10万人确诊
百慕大群岛,27,27,5,-,-,5910,-
刚果,17,22,3,2,3,73.8,-
巴哈马,19,21,0,1,1,44,6
坦桑尼亚,17,20,0,2,1,3.1,0
圭亚那,18,20,0,-,2,670,3
马尔代夫,6,19,0,13,-,203,4
圣马丁岛,16,18,6,-,2,28,58
厄立特里亚,18,18,0,-,-,1200,0
加蓬,17,18,2,-,1,5288.5,1
新喀里多尼亚群岛,16,16,1,-,-,130,6
海地,15,16,0,1,-,253,0
缅甸,15,16,0,-,1,320,0
赤道几内亚,14,15,1,1,-,17.6,1
纳米比亚,12,14,0,2,-,1120,1
蒙古,12,14,2,2,-,-,0
圣卢西亚,12,13,0,1,-,59.7,7
贝宁,12,13,3,1,-,627.7,0
多米尼克国,12,12,1,-,-,7.6,-
荷属安的列斯群岛,10,11,4,-,1,9.6,-
老挝,10,10,1,-,-,1827,0
苏里南,10,10,1,-,-,3050,2
利比亚,10,10,0,-,-,139,0
格陵兰岛,10,10,0,-,-,160,13
塞舌尔,10,10,2,-,-,-,10
叙利亚,8,10,0,-,2,2925,0
莫桑比克,10,10,2,-,-,-,0
斯威士兰,8,9,0,1,-,4312,1
几内亚比绍,9,9,6,-,-,1490,1
格林纳达,9,9,0,-,-,10.4,-
中非,5,8,0,3,-,2898,0
安哥拉,5,8,0,1,2,470,0
开曼群岛,7,8,0,-,1,450,-
圣克里斯托弗和尼维斯,8,8,0,-,-,54,-
津巴布韦,7,8,0,-,1,0.1,0
苏丹,3,7,0,2,2,615,0
乍得,7,7,2,-,-,1518,0
安提瓜和巴布达,7,7,0,-,-,-,7
尼泊尔,5,6,0,1,-,210,0
利比里亚,6,6,0,-,-,-,0
毛里塔尼亚,3,6,1,2,1,-,0
佛得角,5,6,0,-,1,38.7,1
梵蒂冈,6,6,0,-,-,-,750
尼加拉瓜,4,5,0,-,1,129.6,0
索马里,4,5,2,1,-,808,0
