地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1102171,1550539,21615,356383,91985,5.9%,32910,471,3.8743599499918466,0.03515207667405373,0.002341806750220451
俄罗斯,220974,299941,8926,76130,2837,0.9%,14390,208,26.834684525907647,1.2143819872884434,0.0016864067381627751
西班牙,54534,278188,469,195945,27709,10%,4640,600,7.071529106066621,1.2967193138347857,0.025931002852370072
巴西,138056,255368,13140,100459,16853,6.6%,21240,120,5.960897169643387,0.4317738576840838,0.012151589332160146
英国,209692,246406,2711,1918,34796,14.1%,6700,368,0.055121278307851476,0.002628678171215472,0.8651648317527408
意大利,66553,225886,451,127326,32007,14.2%,5920,382,3.978067297778611,0.5977292229919929,0.03777115256003735
法国,89966,180051,234,61843,28242,15.7%,6550,275,2.1897528503647052,0.2433978225512644,0.0507605697440111
德国,12716,177842,366,156916,8210,4.6%,8240,216,19.11278928136419,15.030504310604112,0.041145790362460716
土耳其,34845,150593,1158,111577,4171,2.8%,8300,181,26.750659314313115,7.677043855449308,0.01072815502934551
伊朗,20311,124603,2294,97173,7119,5.7%,8280,150,13.649810366624527,6.720402917938322,0.036069662273550525
印度,59460,102287,8891,39658,3169,3.1%,136870,7,12.514357841590407,2.104668321828188,0.013438986754171645
秘鲁,61838,94933,2660,30306,2789,2.9%,3290,289,10.86626030835425,1.7572140606672675,0.014882108292285767
加拿大,33002,78072,1015,39228,5842,7.5%,3730,209,6.714823690516946,2.0346717442933597,0.04512582200755534
沙特阿拉伯,28277,57345,2593,28748,320,0.6%,3410,168,89.8375,31.77052021077201,0.00393648871082204
比利时,31996,55791,279,14687,9108,16.3%,1160,481,1.612538427755819,0.5039812563307348,0.19381805853667977
墨西哥,10913,51633,2075,35388,5332,10.3%,13230,39,6.636909227306827,6.081654198943304,0.13806702498425874
智利,25416,46059,2278,20165,478,1%,1830,252,42.18619246861925,16.598281581924475,0.009326581044750341
荷兰,38212,44249,146,322,5715,12.9%,1710,259,0.0563429571303587,0.014744833332554878,4.644731289900802
巴基斯坦,30538,43966,1974,12489,939,2.1%,20460,21,13.300319488817891,4.355334170154526,0.024620526499497437
卡塔尔,29957,35606,1365,5634,15,0%,270,1319,375.6,125.37971091898389,0.0008887428032718391
厄瓜多尔,27350,33582,400,3433,2799,8.3%,1710,196,1.2265094676670238,0.44844953113967967,0.29810671879717826
白俄罗斯,20713,31508,922,10620,175,0.6%,940,335,60.68571428571428,29.298370243670295,0.00795555581013334
瑞典,22085,30799,234,4971,3743,12.2%,1010,305,1.3280790809511087,0.6013489159842014,0.34094055232824916
瑞士,1132,30618,10,27600,1886,6.2%,860,356,14.634146341463415,129.27691114366974,0.6036513545347467
葡萄牙,21754,29432,173,6431,1247,4.2%,1030,286,5.157177225340818,2.370679978551447,0.08913511306299456
新加坡,18937,28794,305,9835,22,0.1%,590,488,447.04545454545456,236.0698392276784,0.0011812372595843242
孟加拉国,19758,25121,1602,4993,370,1.5%,16470,15,13.494594594594595,6.82993956604646,0.03750569148868341
阿联酋,14045,25063,832,10791,227,0.9%,970,258,47.5374449339207,33.84652540684991,0.014977606663570196
爱尔兰,3183,24200,88,19470,1547,6.4%,480,504,12.585649644473174,39.540212517980436,0.24962479634279502
波兰,10236,19080,491,7903,941,4.9%,3800,50,8.398512221041445,8.204877120986172,0.11632347409685144
乌克兰,12696,18876,325,5632,548,2.9%,4380,43,10.277372262773723,8.094968700987494,0.0766392063355674
印度尼西亚,12808,18496,496,4467,1221,6.6%,26950,7,3.6584766584766584,2.856399639660102,0.21341178217609966
罗马尼亚,5899,17191,165,10166,1126,6.5%,1950,88,9.02841918294849,15.304999462533463,0.18776294524622408
科威特,11962,16764,841,4681,121,0.7%,420,399,38.68595041322314,32.34070424111615,0.021609411073540898
以色列,3074,16650,35,13299,277,1.7%,860,194,48.01083032490975,156.18357295025942,0.06775742918627045
南非,8849,16433,918,7298,286,1.7%,5810,28,25.517482517482517,28.83657194878802,0.044286155333349175
日本,3735,16392,30,11884,773,4.7%,12690,13,15.373868046571799,41.16162796940241,0.1741511090924902
奥地利,1011,16321,27,14678,632,3.9%,880,185,23.224683544303797,229.71991636304446,0.42589156558143837
哥伦比亚,11800,16295,721,3903,592,3.6%,4980,33,6.592905405405405,5.587207970682547,0.12854084428753196
菲律宾,9262,12942,205,2843,837,6.5%,10810,12,3.3966547192353644,3.6673015755078433,0.31786581323177016
埃及,8679,12764,535,3440,645,5.1%,10120,13,5.333333333333333,6.1451012021354225,0.21603871413757345
多米尼加共和国,5678,12725,411,6613,434,3.4%,1083.5,117,15.237327188940093,26.83572946273352,0.11558349397397198
韩国,877,11078,13,9938,263,2.4%,5130,22,37.78707224334601,430.86741440531364,0.3017568674929374
塞尔维亚,5595,10733,89,4904,234,2.2%,870,123,20.957264957264957,37.457131290911455,0.08528355689287948
