地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,4765,67800,0,59882,3153
广东省,73,1413,6,1332,8
河南省,2,1274,1,1250,22
浙江省,16,1238,1,1221,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,1,936,0,934,1
山东省,10,768,2,751,7
江苏省,2,633,0,631,-
重庆市,1,577,1,570,6
四川省,4,543,0,536,3
北京市,128,537,10,401,8
黑龙江省,5,484,0,466,13
上海市,71,404,10,329,4
河北省,3,319,0,310,6
中国香港,213,317,44,100,4
福建省,17,313,6,295,1
广西壮族自治区,2,254,0,250,2
陕西省,6,248,0,239,3
中国台湾,165,195,16,28,2
云南省,2,176,0,172,2
海南省,1,168,0,161,6
贵州省,0,146,0,144,2
天津市,5,141,0,133,3
甘肃省,20,136,2,114,2
山西省,0,133,0,133,-
辽宁省,1,127,1,124,2
吉林省,0,93,0,92,1
新疆维吾尔自治区,0,76,0,73,3
内蒙古自治区,0,75,0,74,1
宁夏回族自治区,0,75,0,75,-
中国澳门,14,24,3,10,-
青海省,0,18,0,18,-
西藏自治区,0,1,0,1,-
意大利,46638,59138,5560,7024,5476
美国,34562,35211,6909,178,471
西班牙,24277,28572,3646,2575,1720
德国,24643,25003,2751,266,94
伊朗,12318,21638,1028,7635,1685
法国,13144,16018,1559,2200,674
韩国,5684,8961,64,3166,111
瑞士,6785,7014,901,131,98
英国,5309,5683,665,93,281
荷兰,4023,4204,573,2,179
比利时,3063,3401,586,263,75
奥地利,3219,3244,430,9,16
挪威,2250,2263,96,6,7
瑞典,1887,1927,163,17,23
澳大利亚,1514,1609,511,88,7
葡萄牙,1581,1600,320,5,14
巴西,1519,1546,418,2,25
加拿大,1436,1470,187,14,20
丹麦,1381,1395,69,1,13
马来西亚,1182,1306,123,114,10
土耳其,1206,1236,289,-,30
捷克,1114,1120,125,6,-
日本,827,1103,47,235,41
以色列,1032,1071,188,38,1
巴基斯坦,790,799,38,6,3
卢森堡,784,798,128,6,8
爱尔兰,777,785,0,5,3
泰国,675,721,122,45,1
钻石公主号邮轮,137,712,15,567,8
波兰,607,627,90,13,7
芬兰,615,626,103,10,1
希腊,590,624,94,19,15
冰岛,531,568,95,36,1
智利,536,537,103,-,1
厄瓜多尔,522,532,165,3,7
沙特阿拉伯,494,511,119,17,-
卡塔尔,461,494,13,33,-
新加坡,309,455,23,144,2
印度尼西亚,392,450,81,20,38
俄罗斯,421,438,71,16,1
罗马尼亚,379,433,66,52,2
