地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1169495,1793653,24665,519611,104547,5.8%,32910,545,4.970118702593092,0.042497990180317934,0.0017204215321796241
巴西,247213,468338,26354,193181,27944,6%,21240,220,6.913147724019468,0.279643373286173,0.005851306636828033
俄罗斯,224551,396575,8572,167469,4555,1.1%,14390,276,36.765971459934136,1.637310520101631,0.001211264421325801
西班牙,61565,285644,658,196958,27121,9.5%,4640,616,7.262195346779248,1.179598042195931,0.02236650824260753
英国,231143,271222,2095,1918,38161,14.1%,6700,405,0.0502607374020597,0.0021744434139065296,0.8607764928930034
意大利,46175,232248,516,152844,33229,14.3%,5920,392,4.5997171145686,0.9961488066201624,0.047082766442174434
法国,90318,186835,597,67803,28714,15.4%,6550,285,2.361322003204012,0.26144533793972546,0.04688894638034802
德国,7213,183489,929,167589,8687,4.7%,8240,223,19.291930470818464,26.746056385440824,0.07186350244195316
印度,86569,174355,3625,82804,4982,2.9%,136870,13,16.620634283420312,1.9199291066571536,0.006950083233845259
土耳其,31668,162120,1141,125963,4489,2.8%,8300,195,28.06036979282691,8.8607963221002,0.011253457462483813
伊朗,24389,148950,2819,116827,7734,5.2%,8280,180,15.10563744504784,6.193627227458214,0.027143568919753447
秘鲁,81264,148285,6506,62791,4230,2.9%,3290,451,14.844208037825059,1.8266647024297422,0.008289813731812819
智利,51096,90638,3695,38598,944,1%,1830,495,40.88771186440678,8.002135561375994,0.004786524534795855
加拿大,34921,89418,886,47518,6979,7.8%,3730,240,6.80871184983522,1.9497471005513072,0.04205797644384264
墨西哥,15602,84627,3377,59610,9415,11.1%,13230,64,6.331386086032926,4.058060560205695,0.10123272535850845
沙特阿拉伯,24295,81766,1581,57013,458,0.6%,3410,240,124.4825327510917,51.23792251537012,0.003306546850500227
巴基斯坦,40931,66457,2801,24131,1395,2.1%,20460,32,17.29820788530466,4.226187458235728,0.014123636538425225
比利时,32964,58186,212,15769,9453,16.2%,1160,502,1.6681476779858246,0.5060513523801191,0.18185514782116757
卡塔尔,29387,55262,1993,25839,36,0.1%,270,2047,717.75,244.24065062782864,0.0004741017363300498
荷兰,39873,46126,176,322,5931,12.9%,1710,270,0.054291013319844886,0.013615984079413359,4.619480515232135
孟加拉国,34623,44608,2523,9375,610,1.4%,16470,27,15.368852459016393,4.438914149269674,0.018792902598465375
白俄罗斯,23150,40764,906,17390,224,0.5%,940,434,77.63392857142857,33.535174328910834,0.0055641322127237295
厄瓜多尔,16047,38571,100,19190,3334,8.6%,1710,226,5.755848830233953,3.5868690909415797,0.10826716582571266
瑞典,27155,36476,749,4971,4350,11.9%,1010,361,1.1427586206896552,0.42082806874964285,0.3222520484395945
新加坡,14712,34366,611,19631,23,0.1%,590,582,853.5217391304348,580.153438778164,0.000796367809356139
阿联酋,15813,33170,638,17097,260,0.8%,970,342,65.75769230769231,41.58457744115115,0.009616990019646809
葡萄牙,11652,31946,350,18911,1383,4.3%,1030,310,13.673897324656544,11.73523628961255,0.06276350802754797
瑞士,526,30845,32,28400,1919,6.2%,860,359,14.799374674309536,281.3569329716642,1.2846087934450812
南非,13536,29240,1837,15093,611,2.1%,5810,50,24.70212765957447,18.249207786328657,0.029907168150062207
哥伦比亚,18922,26688,1322,6913,853,3.2%,4980,54,8.104337631887455,4.283023798693296,0.06521018557717963
科威特,15831,26192,1072,10156,205,0.8%,420,624,49.541463414634144,31.29395705554554,0.012750370948718904
印度尼西亚,17185,25773,678,7015,1573,6.1%,26950,10,4.459631277813096,2.59507202665877,0.13048227218328237
爱尔兰,1142,24876,35,22089,1645,6.6%,480,518,13.427963525835866,117.58286800206538,0.6521143290805965
波兰,11309,23376,139,11016,1051,4.5%,3800,62,10.481446241674595,9.26823436349332,0.08436349915199834
乌克兰,13197,23204,429,9311,696,3%,4380,53,13.37787356321839,10.137056575902394,0.05664188478410738
埃及,15692,22082,1289,5511,879,4%,10120,22,6.26962457337884,3.995427334551899,0.10164362952541375
罗马尼亚,4834,19133,191,13046,1253,6.5%,1950,98,10.411811652035116,21.538708423738342,0.19868590128015878
以色列,1948,17008,15,14776,284,1.7%,860,198,52.028169014084504,267.08505654047485,0.09866713211612371
日本,1693,16836,99,14254,889,5.3%,12690,13,16.033745781777277,94.70611802585516,0.3683901829693343
奥地利,497,16685,27,15520,668,4%,880,190,23.233532934131738,467.4755117531536,0.8660208674728785
菲律宾,11972,16634,1046,3720,942,5.7%,10810,15,3.949044585987261,3.298567144994371,0.2115150404707759
多米尼加共和国,6777,16531,463,9266,488,3%,1083.5,153,18.987704918032787,28.01786176484106,0.07771234971219837
阿根廷,10111,15419,717,4788,520,3.4%,4510,34,9.207692307692307,9.10660894836545,0.10741256596474207
阿富汗,12973,14525,623,1303,249,1.7%,3680,39,5.232931726907631,4.033709802595877,0.1473039908910525
巴拿马,4665,12531,400,7540,326,2.6%,420,298,23.12883435582822,49.57949486779897,0.09268183123377711
丹麦,766,11712,32,10378,568,4.8%,580,202,18.27112676056338,238.52645901518773,0.7145060322926535
韩国,774,11441,39,10398,269,2.4%,5130,22,38.6542750929368,499.409238926832,0.3342423731854615
塞尔维亚,4588,11354,54,6524,242,2.1%,870,131,26.958677685950413,58.7591056799268,0.08084962397574885
巴林,4734,10449,300,5700,15,0.1%,160,653,380.0,802.7038445289396,0.005558890890089609
哈萨克斯坦,5288,10382,356,5057,37,0.4%,1860,56,136.67567567567568,258.4638344850145,0.013836215703760786
阿曼,7384,9820,811,2396,40,0.4%,500,196,59.9,81.12134344528711,0.02260900706667125
尼日利亚,6344,9302,387,2697,261,2.8%,20100,5,10.333333333333334,16.28835645229088,0.15254444128055974
捷克,2379,9200,40,6502,319,3.5%,1060,87,20.38244514106583,85.67652434243728,0.20622878154734683
阿尔及利亚,3074,9134,137,5422,638,7%,4270,21,8.498432601880877,27.646169817439418,0.38278710773021163
亚美尼亚,5483,8927,460,3317,127,1.4%,290,308,26.118110236220474,47.63470770786152,0.06982967223326453
玻利维亚,7682,8731,619,749,300,3.4%,1121,78,2.4966666666666666,3.250021695738957,0.5213929255322292
挪威,462,8425,16,7727,236,2.8%,540,156,32.74152542372882,708.6910264876367,0.6610877582794239
摩尔多瓦,3329,7896,171,4278,289,3.7%,400,197,14.802768166089965,44.46611044184429,0.20292860381890568
马来西亚,1317,7762,103,6330,115,1.5%,3250,24,55.04347826086956,417.94592453203916,0.1379457597272752
摩洛哥,2241,7714,61,5271,202,2.6%,3660,21,26.094059405940595,116.43935477885138,0.17100802713372512
加纳,5161,7616,313,2421,34,0.4%,2950,26,71.20588235294117,137.96915782395112,0.02721136128756478
澳大利亚,476,7184,23,6605,103,1.4%,2510,29,64.12621359223301,1347.189361181366,0.32761022652815863
芬兰,1010,6826,33,5500,316,4.6%,560,122,17.40506329113924,172.32735931821028,0.5688568856885688
伊拉克,2644,5873,416,3044,185,3.2%,4040,15,16.454054054054055,62.23167191397146,0.2298611787579445
阿塞拜疆,1806,4989,230,3125,58,1.2%,1000,50,53.87931034482759,298.3350517432314,0.10276854928017719
洪都拉斯,4159,4886,112,528,199,4.1%,911,54,2.6532663316582914,6.379577618798489,0.9062128862561658
