地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,2895,67801,0,61732,3174
广东省,112,1456,12,1336,8
河南省,3,1275,0,1250,22
浙江省,24,1247,4,1222,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,1,936,0,934,1
山东省,13,772,2,752,7
江苏省,10,641,1,631,-
重庆市,2,578,0,570,6
北京市,153,569,4,408,8
四川省,9,548,1,536,3
黑龙江省,2,484,0,469,13
上海市,126,468,17,337,5
中国香港,339,453,43,110,4
福建省,35,331,3,295,1
河北省,3,319,0,310,6
中国台湾,236,267,17,29,2
广西壮族自治区,2,254,0,250,2
陕西省,8,253,1,242,3
云南省,6,180,2,172,2
海南省,0,168,0,162,6
天津市,19,155,4,133,3
贵州省,0,146,0,144,2
甘肃省,11,136,0,123,2
山西省,2,135,0,133,-
辽宁省,2,128,1,124,2
吉林省,2,95,0,92,1
内蒙古自治区,17,92,3,74,1
新疆维吾尔自治区,0,76,0,73,3
宁夏回族自治区,0,75,0,75,-
中国澳门,23,33,3,10,-
青海省,0,18,0,18,-
西藏自治区,0,1,0,1,-
美国,83942,85991,17119,753,1296
意大利,62063,80589,6153,10361,8165
西班牙,46626,57786,8587,7015,4145
德国,37998,43938,4149,5678,262
伊朗,16715,29406,2389,10457,2234
法国,22511,29155,3922,4948,1696
瑞士,11519,11811,949,131,161
英国,10945,11658,2129,135,578
韩国,5057,9332,91,4144,131
荷兰,6995,7431,1019,2,434
奥地利,6851,6909,838,9,49
比利时,5468,6235,1298,547,220
加拿大,3802,4043,634,202,39
土耳其,3570,3629,1196,-,59
葡萄牙,3462,3544,633,22,60
挪威,3295,3315,274,6,14
澳大利亚,2981,3166,186,172,13
巴西,2892,2975,431,6,77
以色列,2592,2666,439,66,8
瑞典,2451,2510,238,17,42
马来西亚,1793,2031,235,215,23
捷克,1905,1925,271,10,10
丹麦,1835,1877,153,1,41
爱尔兰,1795,1819,255,5,19
卢森堡,1438,1453,120,6,9
日本,987,1403,124,359,57
智利,1282,1306,164,22,2
波兰,1192,1221,170,13,16
厄瓜多尔,1179,1211,162,3,29
泰国,1035,1136,91,97,4
巴基斯坦,1094,1123,91,21,8
罗马尼亚,918,1029,122,94,17
沙特阿拉伯,980,1012,112,29,3
南非,925,927,155,-,2
印度尼西亚,785,893,103,30,78
希腊,847,892,71,19,26
