地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,6287,67800,0,58381,3132
广东省,62,1392,14,1322,8
河南省,1,1273,0,1250,22
浙江省,14,1234,1,1219,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,0,935,0,934,1
山东省,7,762,1,748,7
江苏省,0,631,0,631,-
重庆市,0,576,0,570,6
四川省,2,541,1,536,3
北京市,93,491,6,390,8
黑龙江省,8,484,1,463,13
上海市,42,371,8,326,3
河北省,2,318,0,310,6
福建省,3,299,3,295,1
广西壮族自治区,2,254,1,250,2
陕西省,7,247,0,237,3
中国香港,106,208,16,98,4
云南省,2,176,0,172,2
海南省,1,168,0,161,6
贵州省,0,146,0,144,2
天津市,1,137,1,133,3
甘肃省,34,134,1,98,2
山西省,0,133,0,133,-
辽宁省,2,126,1,122,2
中国台湾,81,108,8,26,1
吉林省,0,93,0,92,1
新疆维吾尔自治区,0,76,0,73,3
内蒙古自治区,0,75,0,74,1
宁夏回族自治区,0,75,0,75,-
青海省,0,18,0,18,-
中国澳门,7,17,2,10,-
西藏自治区,0,1,0,1,-
意大利,33190,41035,5322,4440,3405
伊朗,11144,18407,1046,5979,1284
西班牙,16137,18077,3431,1107,833
德国,15161,15320,2006,115,44
美国,13935,14267,4603,121,211
法国,9323,10995,1861,1300,372
韩国,6319,8652,87,2233,100
瑞士,3851,3888,1116,4,33
英国,3046,3269,643,79,144
荷兰,2382,2460,346,2,76
奥地利,2164,2179,367,9,6
比利时,1743,1795,243,31,21
挪威,1782,1790,110,1,7
瑞典,1427,1439,144,1,11
丹麦,1125,1132,80,1,6
日本,714,962,35,215,33
马来西亚,823,900,117,75,2
加拿大,850,873,146,11,12
澳大利亚,789,839,160,43,7
葡萄牙,781,785,194,3,1
钻石公主号邮轮,154,712,15,551,7
捷克,691,694,172,3,-
以色列,663,677,148,14,-
巴西,616,621,107,1,4
爱尔兰,554,557,191,-,3
卡塔尔,448,452,3,4,-
巴基斯坦,444,448,159,2,2
希腊,399,418,31,14,5
芬兰,390,400,41,10,-
土耳其,355,359,168,-,4
波兰,337,355,117,13,5
新加坡,221,345,47,124,-
智利,342,342,103,-,-
卢森堡,331,335,130,-,4
冰岛,325,330,80,5,-
泰国,278,322,50,43,1
印度尼西亚,269,309,55,15,25
斯洛文尼亚,285,286,34,-,1
罗马尼亚,252,277,17,25,-
沙特阿拉伯,266,274,36,8,-
巴林,168,269,19,100,1
爱沙尼亚,266,267,9,1,-
厄瓜多尔,257,260,105,-,3
埃及,221,256,46,28,7
秘鲁,234,234,89,-,-
菲律宾,192,217,15,8,17
印度,182,206,26,20,4
俄罗斯,190,199,52,8,1
伊拉克,130,192,28,49,13
墨西哥,162,164,46,1,1
黎巴嫩,154,158,25,1,3
南非,150,150,34,-,-
科威特,130,148,6,18,-
阿联酋,109,140,27,31,-
亚美尼亚,135,136,14,1,-
巴拿马,134,135,26,-,1
阿根廷,124,128,19,1,3
斯洛伐克,123,123,18,-,-
圣马力诺,91,109,8,4,14
保加利亚,105,107,15,-,2
塞尔维亚,103,103,14,-,-
哥伦比亚,101,102,27,1,-
乌拉圭,92,94,15,2,-
阿尔及利亚,49,90,15,32,9
哥斯达黎加,86,87,18,-,1
安道尔,73,75,21,2,-
越南,59,75,5,16,-
文莱,73,73,11,-,-
匈牙利,70,73,15,2,1
拉脱维亚,71,71,22,-,-
约旦,69,70,13,1,-
白俄罗斯,54,69,18,15,-
克罗地亚,67,69,11,2,-
塞浦路斯,67,67,9,-,-
波斯尼亚和黑塞哥维那,64,64,0,-,-
摩洛哥,59,63,9,2,2
斯里兰卡,59,60,9,1,-
阿尔巴尼亚,54,55,5,-,1
哈萨克斯坦,49,49,5,-,-
摩尔多瓦,47,49,13,1,1
阿曼,35,48,9,13,-
巴勒斯坦,47,47,3,-,-
法罗群岛,47,47,0,-,-
委内瑞拉,42,42,6,-,-
格鲁吉亚,39,40,3,1,-
新西兰,39,39,11,-,-
突尼斯,39,39,15,-,-
塞内加尔,33,38,2,5,-
马耳他,38,38,10,-,-
北马其顿,35,35,4,-,-
柬埔寨,34,35,12,1,-
阿塞拜疆,27,34,3,6,1
立陶宛,33,33,11,-,-
布基纳法索,26,27,5,-,1
阿富汗,24,24,2,-,-
洪都拉斯,24,24,12,-,-
乌兹别克斯坦,23,23,8,-,-
多米尼加共和国,20,21,0,-,1
乌克兰,16,18,2,-,2
瓜德罗普岛,18,18,0,-,-
孟加拉国,13,17,4,3,1
古巴,15,16,5,-,1
马提尼克,16,16,0,-,-
牙买加,14,15,2,-,1
刚果,14,14,7,-,-
喀麦隆,13,13,1,-,-
马尔代夫,13,13,0,-,-
尼日利亚,12,12,4,-,-
摩纳哥,11,11,2,-,-
卢旺达,11,11,3,-,-
玻利维亚,11,11,2,-,-
埃塞俄比亚,9,9,3,-,-
多哥,9,9,8,-,-
加纳,9,9,1,-,-
科特迪瓦,8,9,3,1,-
留尼汪岛,9,9,3,-,-
巴拉圭,9,9,1,-,-
毛里求斯,7,7,4,-,-
法属圭亚那,6,7,0,-,1
列支敦士登,7,7,0,-,-
肯尼亚,7,7,1,-,-
吉尔吉斯斯坦,6,6,3,-,-
赤道几内亚,6,6,2,-,-
坦桑尼亚,6,6,3,-,-
危地马拉,5,6,1,-,1
蒙古,6,6,1,-,-
圭亚那,5,5,1,-,-
泽西岛,5,5,2,-,-
特立尼达和多巴哥,5,5,1,-,-
塞舌尔,4,4,2,-,-
刚果,3,3,2,-,-
直布罗陀,3,3,0,-,-
加蓬,3,3,2,-,-
毛里塔尼亚,2,2,1,-,-
赞比亚,2,2,0,-,-
巴巴多斯,2,2,2,-,-
黑山,2,2,2,-,-
利比里亚,2,2,0,-,-
纳米比亚,2,2,2,-,-
波多黎各,2,2,2,-,-
圣马丁岛,2,2,0,-,-
尼日尔,1,1,0,-,-
萨尔瓦多,1,1,1,-,-
斐济,1,1,1,-,-
冈比亚,1,1,0,-,-
吉布提,1,1,0,-,-
格陵兰岛,1,1,1,-,-
贝宁,1,1,1,-,-
索马里,1,1,0,-,-
安提瓜和巴布达,1,1,1,-,-
巴哈马,1,1,1,-,-
中非,1,1,0,-,-
斯威士兰,1,1,1,-,-
圣文森特岛,1,1,1,-,-
苏里南,1,1,1,-,-
苏丹,0,1,0,-,1
几内亚,1,1,1,-,-
根西岛,1,1,0,-,-
圣巴泰勒米岛,1,1,0,-,-
梵蒂冈,1,1,0,-,-
不丹,1,1,0,-,-
尼泊尔,0,1,0,1,-
