地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
湖北省,97,68128,0,63519,4512,-1,-1
广东省,63,1582,0,1511,8,-1,-1
河南省,0,1276,0,1254,22,-1,-1
浙江省,15,1268,0,1252,1,-1,-1
中国香港,351,1033,4,678,4,-1,-1
湖南省,0,1019,0,1015,4,-1,-1
安徽省,1,991,0,984,6,-1,-1
江西省,0,937,0,936,1,-1,-1
黑龙江省,431,921,8,477,13,-1,-1
山东省,14,787,0,766,7,-1,-1
江苏省,8,653,0,645,-1,-1,-1
上海市,100,639,1,532,7,-1,-1
北京市,67,593,0,518,8,-1,-1
重庆市,3,579,0,570,6,-1,-1
四川省,2,561,0,556,3,-1,-1
中国台湾,184,426,3,236,6,-1,-1
福建省,12,355,0,342,1,-1,-1
河北省,5,328,0,317,6,-1,-1
陕西省,23,279,21,253,3,-1,-1
广西壮族自治区,0,254,0,252,2,-1,-1
山西省,57,197,0,140,-1,-1,-1
内蒙古自治区,85,194,0,108,1,-1,-1
天津市,10,189,0,176,3,-1,-1
云南省,4,184,0,178,2,-1,-1
海南省,0,168,0,162,6,-1,-1
贵州省,0,147,0,145,2,-1,-1
辽宁省,1,146,0,143,2,-1,-1
甘肃省,0,139,0,137,2,-1,-1
吉林省,7,106,0,98,1,-1,-1
新疆维吾尔自治区,0,76,0,73,3,-1,-1
宁夏回族自治区,0,75,0,75,-1,-1,-1
中国澳门,21,45,0,24,-1,-1,-1
青海省,0,18,0,18,-1,-1,-1
西藏自治区,0,1,0,1,-1,-1,-1
美国,696728,825041,26953,82973,45340,32910,251
西班牙,100757,208389,3968,85915,21717,4640,449
意大利,107709,183957,2729,51600,24648,5920,311
法国,98649,159297,2667,39819,20829,6550,243
德国,35022,149358,1754,109198,5138,8240,181
英国,110876,130172,4301,1918,17378,6700,194
土耳其,78414,95591,4611,14918,2259,8300,115
伊朗,17492,85996,1297,63113,5391,8280,104
俄罗斯,53066,57999,5642,4420,513,14390,40
巴西,16282,43368,233,24325,2761,21240,20
比利时,26194,41889,973,9433,6262,1160,361
加拿大,23446,38422,1263,13143,1833,3730,103
荷兰,29896,34134,729,322,3916,1710,200
瑞士,8027,28063,119,18600,1436,860,326
葡萄牙,19700,21379,516,917,762,1030,208
印度,15557,20178,446,3976,645,136870,1
秘鲁,10371,17837,1512,6982,484,3290,54
爱尔兰,6077,16040,388,9233,730,480,334
瑞典,13007,15322,545,550,1765,1010,152
奥地利,3411,14873,78,10971,491,880,169
以色列,9178,14326,229,4961,187,860,167
日本,10249,11894,391,1356,289,12690,9
沙特阿拉伯,9882,11631,1147,1640,109,3410,34
智利,5716,10832,325,4969,147,1830,59
韩国,2179,10694,11,8277,238,5130,21
厄瓜多尔,8671,10398,270,1207,520,1710,61
新加坡,9291,10141,1111,839,11,590,172
波兰,8117,10034,144,1513,404,3800,26
巴基斯坦,7384,9749,798,2156,209,20460,5
墨西哥,6017,9501,511,2627,857,13230,7
罗马尼亚,6591,9242,306,2153,498,1950,47
丹麦,2653,7912,131,4889,370,580,136
阿联酋,6266,7755,490,1443,46,970,80
印度尼西亚,5870,7418,375,913,635,26950,3
白俄罗斯,6454,7281,459,769,58,940,77
挪威,7027,7241,53,32,182,540,134
捷克,5037,7041,127,1800,204,1060,66
塞尔维亚,5783,6890,260,977,130,870,79
菲律宾,5571,6710,140,693,446,10810,6
澳大利亚,1888,6647,23,4685,74,2510,26
乌克兰,5994,6592,415,424,174,4380,15
卡塔尔,5910,6533,518,614,9,270,242
马来西亚,2041,5482,57,3349,92,3250,17
多米尼加共和国,4336,5044,80,463,245,1083.5,47
巴拿马,4449,4821,191,231,141,420,115
哥伦比亚,3149,4149,172,804,196,4980,8
芬兰,1988,4129,146,2000,141,560,74
孟加拉国,3560,3772,434,92,120,16470,2
卢森堡,2870,3618,60,670,78,60,603
埃及,2356,3490,189,870,264,10120,3
南非,2352,3465,142,1055,58,5810,6
摩洛哥,2671,3209,196,393,145,3660,9
阿根廷,2153,3144,90,840,151,4510,7
泰国,425,2826,19,2352,49,6930,4
阿尔及利亚,1267,2811,93,1152,392,4270,7
摩尔多瓦,2036,2614,66,505,73,400,65
希腊,1703,2401,156,577,121,1110,22
匈牙利,1648,2168,114,295,225,970,22
科威特,1657,2080,85,412,11,420,50
哈萨克斯坦,1517,2025,192,489,19,1860,11
巴林,1182,1973,57,784,7,160,123
克罗地亚,1059,1908,27,801,48,410,47
冰岛,351,1778,5,1417,10,30,593
乌兹别克斯坦,1329,1692,75,357,6,3280,5
阿曼,1368,1614,98,238,8,500,32
伊拉克,423,1602,28,1096,83,4040,4
爱沙尼亚,1340,1552,17,169,43,130,119
阿塞拜疆,595,1480,44,865,20,1000,15
亚美尼亚,816,1473,62,633,24,290,51
新西兰,401,1451,5,1036,14,480,30
立陶宛,975,1370,24,357,38,290,47
斯洛文尼亚,1070,1344,9,197,77,210,64
波斯尼亚和黑塞哥维那,854,1342,33,437,51,350,38
波多黎各,1234,1298,46,-1,64,341.1,38
北马其顿,952,1231,6,224,55,210,59
斯洛伐克,927,1199,26,258,14,550,22
喀麦隆,791,1163,0,329,43,2405,5
阿富汗,957,1143,66,150,36,3680,3
古巴,790,1137,52,309,38,1122,10
加纳,934,1042,0,99,9,2950,4
保加利亚,794,1015,51,174,47,700,15
吉布提,831,945,99,112,2,94,101
科特迪瓦,600,916,32,303,13,2490,4
突尼斯,693,901,5,170,38,1180,8
塞浦路斯,674,784,5,98,12,120,65
尼日利亚,560,782,38,197,25,20100,0
拉脱维亚,617,761,9,133,11,190,40
安道尔,432,717,4,248,37,7.3,988
钻石公主号邮轮,56,712,0,644,12,-1,-1
几内亚,555,688,43,127,6,610,5
黎巴嫩,554,677,0,102,21,500,11
哥斯达黎加,513,669,7,150,6,2150,13
尼日尔,510,657,7,127,20,640,3
吉尔吉斯斯坦,351,612,22,254,7,1121,10
玻利维亚,528,609,34,44,37,290,5
阿尔巴尼亚,238,609,25,345,26,1919,21
布基纳法索,200,600,5,362,38,350,3
乌拉圭,207,543,7,324,12,911,16
洪都拉斯,434,510,17,30,46,3.2,6
圣马力诺,374,476,14,62,40,505.2,1488
巴勒斯坦,391,466,12,71,4,40,9
马耳他,290,443,12,150,3,1010,111
约旦,124,428,8,297,7,1670,4
塞内加尔,165,412,35,242,5,82.7,2
留尼汪岛,172,410,2,238,-1,390,50
格鲁吉亚,307,408,9,97,4,8130,10
刚果,289,359,18,45,25,126,0
毛里求斯,111,328,0,208,9,1658.2,26
危地马拉,284,316,5,24,8,62.2,2
黑山,207,313,2,101,5,21.6,50
马约特岛,190,311,30,117,4,2100,144
斯里兰卡,201,310,7,102,7,8.5,1
马恩岛,89,307,2,209,9,5140,363
肯尼亚,208,296,15,74,14,3280,1
委内瑞拉,156,288,29,122,10,1518,1
索马里,274,286,73,4,8,5910,2
坦桑尼亚,263,284,84,11,10,9740,0
越南,70,268,0,198,-1,1951.7,0
马里,187,258,34,57,14,9.8,1
泽西岛,233,245,47,-1,12,642,250
萨尔瓦多,167,237,7,63,7,284,4
牙买加,200,233,27,27,6,705.3,8
巴拉圭,142,213,0,62,9,6.5,3
根西岛,203,209,0,-1,6,4.8,320
法罗群岛,7,185,0,178,-1,-1,381
刚果,143,165,5,16,6,203,-1
马提尼克,77,164,0,73,14,1200,43
加蓬,139,156,11,16,1,40,8
卢旺达,66,150,3,84,-1,4312,1
瓜德罗普岛,63,148,0,73,12,40,37
苏丹,119,140,15,8,13,16.6,0
文莱,21,138,0,116,1,3.4,35
关岛,34,136,0,97,5,1650,82
直布罗陀,11,132,0,120,1,2520,384
柬埔寨,12,122,0,110,-1,5288.5,1
马达加斯加,77,121,0,44,-1,121.8,0
缅甸,109,121,8,7,5,10500,0
特立尼达和多巴哥,79,115,0,28,8,470,9
