地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
巴巴多斯,52,67,3,11,4,284,24
牙买加,48,65,0,13,4,-,2
刚果,50,60,0,5,5,28,-
乌干达,53,53,0,-,-,10.8,0
法属波里尼西亚,51,51,0,-,-,3.1,18
维尔京群岛,49,50,0,-,1,6.5,46
圣马丁岛,39,50,7,3,8,6.4,161
百慕大群岛,19,48,9,25,4,203,73
开曼群岛,37,45,0,6,2,37.2,70
加蓬,42,44,10,1,1,1760,2
巴哈马,29,42,1,5,8,73.8,11
赞比亚,10,40,1,28,2,160,0
圭亚那,26,40,0,8,6,470,5
几内亚比绍,38,38,3,-,-,1120,2
利比里亚,30,37,0,3,4,670,1
贝宁,29,35,0,5,1,5910,0
厄立特里亚,34,34,0,-,-,1200,1
坦桑尼亚,24,32,7,5,3,5288.5,0
海地,29,31,0,-,2,627.7,0
缅甸,23,28,4,2,3,10.4,0
利比亚,15,24,3,8,1,1518,0
安提瓜和巴布达,19,21,0,-,2,3050,20
索马里,19,21,0,1,1,1827,0
莫桑比克,19,20,0,1,-,2925,0
叙利亚,13,19,0,4,2,44,0
安哥拉,15,19,0,2,2,706.2,0
马尔代夫,6,19,0,13,-,130,4
老挝,18,18,0,-,-,28,0
赤道几内亚,15,18,0,3,-,4312,1
新喀里多尼亚群岛,18,18,0,-,-,88.5,6
苏丹,13,17,0,2,2,320,0
斐济,16,16,1,-,-,253,2
蒙古,12,16,0,4,-,7.2,1
纳米比亚,13,16,0,3,-,17.6,1
多米尼克国,11,16,1,5,-,11.2,22
圣卢西亚,14,15,0,1,-,17.6,9
格林纳达,14,14,0,-,-,1690,13
荷属安的列斯群岛,6,14,0,7,1,225,8
津巴布韦,10,13,0,-,3,5.7,0
博茨瓦纳,12,13,0,-,1,11,1
圣克里斯托弗和尼维斯,12,12,0,-,-,139,21
圣文森特岛,11,12,4,1,-,9.6,11
斯威士兰,5,12,0,7,-,16,1
塞舌尔,11,11,0,-,-,1490,11
马里亚纳群岛,9,11,0,-,2,7.6,7
乍得,9,11,1,2,-,38.7,0
格陵兰岛,0,11,0,11,-,59.7,14
伯利兹,8,10,2,-,2,2898,3
苏里南,5,10,0,4,1,1809.2,2
尼泊尔,8,9,0,1,-,1.3,0
马拉维,8,9,1,-,1,760,0
蒙特塞拉特岛,9,9,0,-,-,3.5,69
塞拉利昂,8,8,0,-,-,474,0
特克斯和凯科斯群岛,7,8,0,-,1,0.1,23
中非,5,8,0,3,-,450,0
梵蒂冈,6,8,0,2,-,54,1000
毛里塔尼亚,4,7,0,2,1,615,0
佛得角,5,7,0,1,1,0.5,1
尼加拉瓜,6,7,1,-,1,0.3,0
圣巴泰勒米岛,6,6,0,-,-,75.4,119
福克兰群岛,4,5,0,1,-,1253,171
不丹,3,5,0,2,-,20.4,1
南苏丹,4,4,1,-,-,210,0
圣多美和普林西比,4,4,0,-,-,1.5,2
冈比亚,1,4,0,2,1,1086,0
安圭拉岛,3,3,0,-,-,3.1,20
布隆迪,3,3,0,-,-,129.6,0
维尔京群岛,3,3,0,-,-,808,10
东帝汶,2,2,1,-,-,-,0
