地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
格鲁吉亚,290,370,27,77,3,1670,9
塞内加尔,139,335,21,194,2,126,2
毛里求斯,250,324,0,65,9,62.2,26
黑山,244,303,0,55,4,8.5,49
马恩岛,131,289,27,154,4,8130,341
刚果,241,287,13,23,23,9740,0
越南,91,268,0,177,-1,5140,0
肯尼亚,182,246,9,53,11,21.6,0
马约特岛,124,245,16,117,4,2100,113
斯里兰卡,168,238,5,63,7,1658.2,1
危地马拉,186,214,16,21,7,6.5,1
根西岛,203,209,0,-1,6,3280,320
委内瑞拉,84,204,0,111,9,705.3,1
巴拉圭,161,199,13,30,8,9.8,3
泽西岛,194,198,0,-1,4,4.8,202
法罗群岛,18,184,0,166,-1,642,379
萨尔瓦多,137,177,0,33,7,1951.7,3
马里,124,171,25,34,13,38,1
马提尼克,77,158,0,73,8,40,42
瓜德罗普岛,70,145,0,67,8,284,36
牙买加,117,143,20,21,5,1200,5
卢旺达,84,138,2,54,-1,40,1
文莱,27,136,0,108,1,16.6,34
关岛,111,135,0,19,5,3.4,81
直布罗陀,25,131,0,105,1,1650,381
柬埔寨,26,122,0,96,-1,-1,1
刚果,101,117,0,11,5,2520,-1
特立尼达和多巴哥,87,114,0,19,8,29,9
马达加斯加,78,111,1,33,-1,10.5,0
法属圭亚那,35,96,0,61,-1,203,33
阿鲁巴岛,54,95,1,39,2,5910,90
加蓬,88,95,0,6,1,3.8,5
坦桑尼亚,79,94,35,11,4,10500,0
摩纳哥,78,93,0,12,3,5288.5,243
埃塞俄比亚,74,92,7,15,3,425,0
缅甸,79,85,11,2,4,6.5,0
多哥,41,81,0,35,5,1518,2
百慕大群岛,43,81,24,33,5,3.8,124
索马里,73,80,20,2,5,28.1,1
列支敦士登,24,80,0,55,1,470,211
巴巴多斯,55,75,3,15,5,6.4,27
利比里亚,63,73,0,4,6,3.1,2
开曼群岛,52,61,6,7,2,54,95
圣马丁岛,36,57,5,12,9,73.8,184
佛得角,54,56,45,1,1,28,10
圭亚那,41,55,8,8,6,4430,7
法属波里尼西亚,55,55,0,-1,-1,10.8,20
乌干达,43,55,0,12,-1,37.2,0
维尔京群岛,52,53,0,-1,1,130,49
巴哈马,39,53,4,6,8,627.7,14
赤道几内亚,47,51,0,4,-1,1760,4
利比亚,37,49,13,11,1,160,1
赞比亚,16,48,0,30,2,1200,0
几内亚比绍,40,43,0,3,-1,670,3
海地,38,41,1,-1,3,1120,0
厄立特里亚,35,35,0,-1,-1,1827,1
贝宁,16,35,0,18,1,4312,0
叙利亚,26,33,4,5,2,3050,0
苏丹,23,32,0,4,5,320,0
莫桑比克,29,31,1,2,-1,44,0
蒙古,26,31,1,5,-1,1490,1
马尔代夫,12,28,2,16,-1,760,6
乍得,22,27,4,5,-1,1690,0
塞拉利昂,26,26,2,-1,-1,10.4,0
津巴布韦,19,24,5,2,3,2925,0
安提瓜和巴布达,17,23,0,3,3,706.2,22
安哥拉,10,19,0,5,4,28,0
老挝,18,19,0,1,-1,38.7,0
新喀里多尼亚群岛,17,18,0,1,-1,129.6,6
伯利兹,16,18,0,-1,2,88.5,5
东帝汶,17,18,10,1,-1,7.2,1
斐济,17,17,1,-1,-1,253,2
多米尼克国,8,16,0,8,-1,1809.2,22
