地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1028465,1408636,24052,296746,83425,5.9%,32910,428,3.5570392568175007,0.03458590478837394,0.002733517289028084
西班牙,60764,271095,1377,183227,27104,10%,4640,584,6.760146103896104,1.1125248673385728,0.024344315213323364
俄罗斯,192056,242271,10899,48003,2212,0.9%,14390,168,21.70117540687161,1.1299399866118012,0.0023993238068585085
英国,194601,229705,3403,1918,33186,14.4%,6700,343,0.05779545591514494,0.0029699465015670494,0.8891217584491041
意大利,81266,221216,1402,109039,30911,14%,5920,374,3.527514477047006,0.43407014951480394,0.0348836814031638
法国,93449,178225,802,57785,26991,15.1%,6550,272,2.14089881812456,0.2290980982273283,0.0499837918420609
巴西,93156,178214,8446,72597,12461,7%,21240,84,5.825936923200385,0.6253957794667423,0.018425674274974026
德国,13680,173904,413,152390,7834,4.5%,8240,211,19.45238703089099,14.21958116293201,0.037578634996617254
土耳其,38692,141475,1704,98889,3894,2.8%,8300,170,25.39522342064715,6.563430016708143,0.010177164231759475
伊朗,16514,112725,1481,89428,6783,6%,8280,136,13.184136812619785,7.983611973246812,0.045929954867329016
印度,47602,74925,1825,24887,2436,3.3%,136870,5,10.216338259441708,2.1461993738586,0.020562671437580102
秘鲁,46678,72059,3237,23324,2057,2.9%,3290,219,11.338842975206612,2.429162126742065,0.018893787185627682
加拿大,31946,71157,23,34042,5169,7.3%,3730,191,6.585799961307797,2.061541338918111,0.047530783957284
比利时,31201,53981,330,13937,8843,16.4%,1160,465,1.5760488521994798,0.5051276728949328,0.20335825729511758
沙特阿拉伯,26935,44830,1911,17622,273,0.6%,3410,131,64.54945054945055,23.964897178188437,0.005751623775038446
荷兰,37152,42984,196,322,5510,12.8%,1710,251,0.05843920145190563,0.01572975921939751,4.6058896539179655
墨西哥,8463,38324,1305,25935,3926,10.2%,13230,29,6.605960264900662,7.805695692899282,0.17887090407100112
巴基斯坦,24787,34336,1733,8812,737,2.1%,20460,17,11.956580732700136,4.823730476741895,0.03374186104649288
智利,17261,31721,1658,14125,335,1.1%,1830,173,42.16417910447761,24.427425470411688,0.013740115960426414
厄瓜多尔,24615,30419,860,3477,2327,7.6%,1710,178,1.4941985388912764,0.6070276412314753,0.2718891346640478
瑞士,1746,30413,36,26800,1867,6.1%,860,354,14.35457953936797,82.2140867088658,0.39899300747123495
葡萄牙,23737,27913,234,3013,1163,4.2%,1030,271,2.590713671539123,1.0914242202212254,0.1626128094905925
瑞典,18988,27272,602,4971,3313,12.1%,1010,270,1.5004527618472683,0.7902110605894609,0.3509929955231813
卡塔尔,23382,26539,1526,3143,14,0.1%,270,983,224.5,96.01402788469764,0.0019050307862500213
新加坡,21474,25346,849,3851,21,0.1%,590,430,183.38095238095238,85.39673669598228,0.0025394100108911666
白俄罗斯,17757,24873,967,6974,142,0.6%,940,265,49.11267605633803,27.658205809730266,0.011466656601849212
爱尔兰,4644,23242,107,17110,1488,6.4%,480,484,11.498655913978494,24.760240986172466,0.18726676603886994
阿联酋,13446,19661,783,6012,203,1%,970,203,29.61576354679803,22.025705449054016,0.0251121535994895
孟加拉国,14192,17822,969,3361,269,1.5%,16470,11,12.49442379182156,8.80384990968261,0.05639494339037846
波兰,9805,17062,355,6410,847,5%,3800,45,7.56788665879575,7.718395368481133,0.13476520702847491
