地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1153963,1746335,19623,490256,102116,5.8%,32910,531,4.800971444239884,0.041604206064144895,0.0018050074264629092
巴西,222317,414661,20599,166647,25697,6.2%,21240,195,6.485076078919718,0.29170401179035876,0.006936050577467468
俄罗斯,223916,379051,8338,150993,4142,1.1%,14390,263,36.45412844036697,1.628026958340046,0.0012250904466855777
西班牙,59773,283849,510,196958,27118,9.6%,4640,612,7.262998746220223,1.2150969076707248,0.023034509949618625
英国,227862,267240,2013,1918,37460,14%,6700,399,0.051201281366791244,0.0022470302800287564,0.8571311236447202
意大利,50966,231139,584,147101,33072,14.3%,5920,390,4.447901548137398,0.8727193713725617,0.044112765403512035
法国,87733,182913,191,66584,28596,15.6%,6550,279,2.328437543712407,0.26540042443691736,0.048952223901723026
德国,7189,182487,800,166696,8602,4.7%,8240,221,19.378749128109742,26.956112293934822,0.07178038376193072
土耳其,32573,159797,1035,122793,4431,2.8%,8300,193,27.712254570074474,8.507737871879923,0.011078230085827789
印度,86584,159054,7293,67929,4541,2.9%,136870,12,14.95903985906188,1.7276910120879008,0.007720734801438214
伊朗,23234,143849,2080,112988,7627,5.3%,8280,174,14.814212665530352,6.37609222068105,0.02905343189041636
秘鲁,75753,135905,6154,56169,3983,2.9%,3290,413,14.102184283203615,1.8616007660691476,0.00936081748972846
加拿大,34590,87519,874,46164,6765,7.7%,3730,235,6.823946784922395,1.9728091312293712,0.04236564342083538
智利,47908,82289,4328,33540,841,1%,1830,450,39.88109393579072,8.324516560029792,0.005233893684819976
沙特阿拉伯,25191,80185,1815,54553,441,0.5%,3410,235,123.70294784580499,49.10600922782143,0.003209035659439506
墨西哥,15043,78023,3455,54383,8597,11%,13230,59,6.3258113295335585,4.20515278171479,0.10508707638975652
巴基斯坦,39736,61227,1446,20231,1260,2.1%,20460,30,16.056349206349207,4.040756293121906,0.01567361042770576
比利时,32889,57849,137,15572,9388,16.2%,1160,499,1.6587132509586706,0.5043367846266748,0.18330656409246845
卡塔尔,35482,50914,1740,15399,33,0.1%,270,1886,466.6363636363636,131.51354592085104,0.0006039671660168364
荷兰,39725,45950,190,322,5903,12.8%,1710,269,0.05454853464340166,0.01373153798449381,4.614801293051218
孟加拉国,31337,40321,1541,8425,559,1.4%,16470,24,15.071556350626118,4.809508360923546,0.021173101562993436
白俄罗斯,22979,39858,897,16660,219,0.5%,940,424,76.0730593607306,33.10546993373541,0.005720552723461115
厄瓜多尔,16403,38103,748,18425,3275,8.6%,1710,223,5.625954198473282,3.429832468739427,0.10836287600366978
瑞典,26490,35727,648,4971,4266,11.9%,1010,354,1.1652601969057665,0.439886824048987,0.32396278938796325
新加坡,15950,33249,533,17276,23,0.1%,590,564,751.1304347826087,470.92817227749765,0.0008346875836955757
阿联酋,15589,32532,883,16685,258,0.8%,970,335,64.67054263565892,41.48472810036495,0.009919167817190815
葡萄牙,11590,31596,285,18637,1369,4.3%,1030,307,13.613586559532505,11.74597632401424,0.0633787992499913
瑞士,579,30796,15,28300,1917,6.2%,860,358,14.76264997391758,254.96804790876647,1.1699225544224539
南非,11934,25937,1673,13451,552,2.1%,5810,45,24.367753623188406,20.41876455772449,0.03438733119885188
爱尔兰,1083,24803,68,22089,1631,6.6%,480,517,13.54322501532802,125.05286256073887,0.6817881509901166
印度尼西亚,16802,24538,686,6240,1496,6.1%,26950,9,4.171122994652406,2.4825157687492,0.14268753109367324
科威特,15229,24112,692,8698,185,0.8%,420,574,47.016216216216215,30.87281910579566,0.013966286230565932
哥伦比亚,17190,24104,1101,6111,803,3.3%,4980,48,7.610211706102117,4.427115594009376,0.07644118041556015
波兰,11010,22600,606,10560,1030,4.6%,3800,59,10.25242718446602,9.311922965000926,0.08859026229598436
乌克兰,13274,22382,321,8439,669,3%,4380,51,12.614349775784753,9.503050908380859,0.05972185896632121
埃及,13645,19666,910,5205,816,4.1%,10120,19,6.3786764705882355,4.674735412670015,0.11489361252762781
罗马尼亚,4933,18791,165,12629,1229,6.5%,1950,96,10.275834011391375,20.830800752871223,0.19727488740282986
以色列,1926,16809,50,14602,281,1.7%,860,195,51.9644128113879,269.80484325746573,0.09991661052135421
日本,2042,16734,34,13810,882,5.3%,12690,13,15.657596371882086,76.67774912772813,0.3127657356271379
奥地利,674,16628,34,15286,668,4%,880,189,22.88323353293413,339.5138506370049,0.6483696996262363
多米尼加共和国,6459,15723,459,8790,474,3%,1083.5,145,18.544303797468356,28.710797023484062,0.08348802396000606
菲律宾,11069,15588,380,3598,921,5.9%,10810,14,3.9066232356134636,3.529337099659828,0.23125444210656776
