地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,3431,67801,0,61201,3169
广东省,101,1445,11,1336,8
河南省,3,1275,1,1250,22
浙江省,20,1243,2,1222,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,1,936,0,934,1
山东省,12,771,0,752,7
江苏省,9,640,2,631,-
重庆市,2,578,0,570,6
北京市,152,566,6,406,8
四川省,8,547,0,536,3
黑龙江省,2,484,0,469,13
上海市,115,451,18,331,5
中国香港,300,410,24,106,4
福建省,32,328,6,295,1
河北省,3,319,0,310,6
广西壮族自治区,2,254,0,250,2
陕西省,8,253,3,242,3
中国台湾,221,252,19,29,2
云南省,4,178,2,172,2
海南省,0,168,0,162,6
天津市,15,151,2,133,3
贵州省,0,146,0,144,2
甘肃省,13,136,0,121,2
山西省,2,135,1,133,-
辽宁省,2,128,0,124,2
吉林省,2,95,1,92,1
内蒙古自治区,14,89,12,74,1
新疆维吾尔自治区,0,76,0,73,3
宁夏回族自治区,0,75,0,75,-
中国澳门,21,31,4,10,-
青海省,0,18,0,18,-
西藏自治区,0,1,0,1,-
意大利,57521,74386,5210,9362,7503
美国,67505,69171,12017,616,1050
西班牙,42074,49515,7937,3794,3647
德国,33577,37323,3983,3540,206
伊朗,16027,27017,2206,8913,2077
法国,20367,25600,2933,3900,1333
瑞士,9531,9765,929,131,103
英国,8929,9529,1452,135,465
韩国,4966,9241,104,4144,131
荷兰,6054,6412,811,2,356
奥地利,5521,5560,406,9,30
比利时,4405,4937,526,410,122
加拿大,3188,3409,837,185,36
挪威,3021,3041,245,6,14
葡萄牙,2930,2995,633,22,43
澳大利亚,2672,2799,482,119,8
瑞典,2451,2510,238,17,42
以色列,2439,2495,439,53,3
土耳其,2374,2433,561,-,59
巴西,2374,2433,232,2,57
马来西亚,1578,1796,172,199,19
丹麦,1689,1724,133,1,34
捷克,1634,1654,260,10,10
爱尔兰,1550,1564,235,5,9
卢森堡,1319,1333,234,6,8
日本,968,1314,66,301,45
巴基斯坦,1037,1063,91,18,8
厄瓜多尔,1019,1049,68,3,27
泰国,971,1045,111,70,4
智利,903,922,176,17,2
罗马尼亚,811,907,144,79,17
波兰,878,901,152,13,10
沙特阿拉伯,870,900,133,29,1
芬兰,867,880,88,10,3
希腊,780,821,78,19,22
印度尼西亚,702,790,107,30,58
冰岛,681,739,91,56,2
钻石公主号邮轮,112,712,0,590,10
南非,709,709,155,-,-
俄罗斯,628,658,163,29,1
印度,602,657,121,42,13
菲律宾,572,636,84,26,38
新加坡,474,631,73,155,2
巴拿马,550,558,115,2,6
卡塔尔,496,537,11,41,-
斯洛文尼亚,516,526,50,5,5
阿根廷,442,502,117,52,8
秘鲁,472,480,64,1,7
墨西哥,465,475,70,4,6
哥伦比亚,461,470,92,6,3
埃及,340,456,54,95,21
巴林,225,419,5,190,4
克罗地亚,401,418,36,16,1
爱沙尼亚,399,404,35,4,1
塞尔维亚,365,384,81,15,4
伊拉克,244,346,30,75,27
阿联酋,279,333,50,52,2
黎巴嫩,321,333,19,8,4
多米尼加共和国,303,312,0,3,6
新西兰,256,278,73,22,-
亚美尼亚,249,265,14,16,-
阿尔及利亚,213,264,34,32,19
立陶宛,250,255,46,1,4
保加利亚,236,242,24,3,3
匈牙利,195,226,39,21,10
摩洛哥,212,225,55,7,6
拉脱维亚,220,221,24,1,-
乌拉圭,211,217,28,6,-
斯洛伐克,209,216,12,7,-
圣马力诺,183,208,21,4,21
