地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,2054,67801,0,62565,3182
广东省,118,1475,9,1349,8
河南省,5,1278,1,1251,22
浙江省,28,1254,3,1225,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,2,937,1,934,1
山东省,13,772,0,752,7
江苏省,13,644,3,631,-
中国香港,519,641,64,118,4
重庆市,3,579,1,570,6
北京市,157,577,4,412,8
四川省,11,550,2,536,3
上海市,150,492,7,337,5
黑龙江省,2,484,0,469,13
福建省,42,338,1,295,1
河北省,3,319,0,310,6
中国台湾,266,298,15,30,2
广西壮族自治区,2,254,0,250,2
陕西省,8,253,1,242,3
云南省,6,180,0,172,2
海南省,0,168,0,162,6
天津市,30,166,7,133,3
贵州省,1,147,1,144,2
甘肃省,11,138,0,125,2
山西省,3,136,1,133,-
辽宁省,8,134,3,124,2
吉林省,5,98,1,92,1
内蒙古自治区,20,95,1,74,1
新疆维吾尔自治区,0,76,0,73,3
宁夏回族自治区,0,75,0,75,-
中国澳门,27,37,4,10,-
青海省,0,18,0,18,-
西藏自治区,0,1,0,1,-
美国,119883,124686,20400,2612,2191
意大利,70065,92472,5974,12384,10023
西班牙,57560,78797,8189,14709,6528
德国,48816,57695,8259,8481,398
伊朗,23278,38309,2901,12391,2640
法国,29561,37575,4611,5700,2314
英国,18144,19522,2510,150,1228
瑞士,12549,14336,1052,1530,257
荷兰,7595,10866,1172,2500,771
比利时,9046,10836,1702,1359,431
韩国,4398,9583,105,5033,152
奥地利,7620,7697,1001,9,68
土耳其,7224,7402,1704,70,108
葡萄牙,5800,5962,792,43,119
加拿大,5115,5655,819,479,61
挪威,4206,4237,260,6,25
澳大利亚,3720,3980,469,244,16
巴西,3784,3904,487,6,114
以色列,3761,3865,246,89,15
瑞典,3581,3700,401,17,102
捷克,2645,2669,200,11,13
马来西亚,2048,2470,150,388,34
爱尔兰,2374,2415,294,5,36
丹麦,2135,2201,155,1,65
智利,1860,1909,299,43,6
厄瓜多尔,1798,1835,208,3,34
卢森堡,1807,1831,226,6,18
日本,1340,1799,219,404,55
波兰,1607,1638,249,13,18
俄罗斯,1462,1534,270,64,8
巴基斯坦,1463,1500,79,25,12
菲律宾,1305,1418,343,42,71
泰国,1284,1388,143,97,7
沙特阿拉伯,1225,1299,96,66,8
罗马尼亚,1153,1292,263,115,24
印度尼西亚,1125,1285,130,46,114
南非,1186,1187,17,-,1
芬兰,1144,1163,67,10,9
希腊,1010,1061,95,19,32
印度,868,979,106,86,25
冰岛,864,963,73,97,2
巴拿马,882,901,127,2,17
墨西哥,828,848,131,4,16
新加坡,629,844,42,212,3
阿根廷,674,745,55,52,19
塞尔维亚,720,741,71,15,6
多米尼加共和国,706,719,138,3,10
