地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1121219,1666829,21785,446927,98683,5.9%,32910,506,4.528915821367408,0.0403927851861894,0.0019693155166193702
巴西,184361,349113,16508,142587,22165,6.3%,21240,164,6.432979923302504,0.34893388098906514,0.008431769949824582
俄罗斯,227641,344481,9434,113299,3541,1%,14390,239,31.99632872070037,1.4055608928400583,0.0013729330676399709
西班牙,56734,282370,466,196958,28678,10.2%,4640,609,6.867912685682405,1.210546177897276,0.02566444225260709
英国,218561,257154,2959,1918,36675,14.3%,6700,384,0.052297205180640766,0.0023927967560836913,0.8748807293648889
意大利,57752,229327,669,138840,32735,14.3%,5920,387,4.241331907744005,0.7344043336584023,0.040825424712125066
法国,89590,182469,250,64547,28332,15.5%,6550,279,2.278236622899901,0.25429586146890293,0.048993857477259414
德国,10255,180808,898,162090,8463,4.7%,8240,219,19.152782701169798,18.676531156674596,0.050913441464386804
土耳其,33776,155686,1186,117602,4308,2.8%,8300,188,27.298514391829155,8.082222404023316,0.01084557972155254
伊朗,22483,135701,1869,105801,7417,5.5%,8280,164,14.26466226237023,6.3446436251257525,0.031180584064451504
印度,74037,132755,2564,54819,3899,2.9%,136870,10,14.059758912541678,1.8990179116579113,0.009606679757074927
秘鲁,64466,115754,4056,47915,3373,2.9%,3290,352,14.205455084494515,2.2035577024314392,0.010919785936325139
加拿大,33961,83621,1201,43305,6355,7.6%,3730,224,6.814319433516916,2.006513186748599,0.04321127114773124
沙特阿拉伯,28546,70161,2442,41236,379,0.5%,3410,206,108.80211081794195,38.11466083442232,0.0032197149011946465
墨西哥,13758,65856,2960,44919,7179,10.9%,13230,50,6.256999582114501,4.547899100243132,0.11616587523870436
智利,38174,65393,3536,26546,673,1%,1830,357,39.444279346211,10.33276034636428,0.006641226696187159
比利时,32418,56810,299,15155,9237,16.3%,1160,490,1.6406842048284076,0.5061028455883791,0.18801339212247703
巴基斯坦,36270,54601,1743,17198,1133,2.1%,20460,27,15.179170344218887,4.185048344146371,0.018163703738545527
荷兰,38931,45064,176,322,5811,12.9%,1710,264,0.055412149371880916,0.014233425643287077,4.635530515766786
卡塔尔,33679,42213,1732,8513,21,0%,270,1563,405.3809523809524,120.36608936754428,0.0007324491400309415
厄瓜多尔,29605,36258,430,3557,3096,8.5%,1710,212,1.1489018087855296,0.38807694942932935,0.2940031756331384
白俄罗斯,21522,35244,941,13528,194,0.6%,940,375,69.73195876288659,32.40031538095279,0.006663240799191024
孟加拉国,26229,33610,1873,6901,480,1.4%,16470,20,14.377083333333333,5.481369222362017,0.026518409751296594
瑞典,24225,33188,379,4971,3992,12%,1010,329,1.2452404809619237,0.5140311582918158,0.3314995809544688
新加坡,17711,31616,642,13882,23,0.1%,590,536,603.5652173913044,340.785510355883,0.0009354761355116413
瑞士,830,30736,18,28000,1906,6.2%,860,357,14.690451206715634,176.9933880327185,0.8201376936316696
葡萄牙,21464,30471,271,7705,1302,4.3%,1030,296,5.917818740399386,2.7570903561309104,0.07872772132466707
阿联酋,14184,29485,812,15056,245,0.8%,970,304,61.453061224489794,43.32562128066117,0.01147249179300081
爱尔兰,1918,24582,76,21060,1604,6.5%,480,512,13.129675810473815,68.4550355082055,0.397097720698694
印度尼西亚,15497,22271,949,5402,1372,6.2%,26950,8,3.93731778425656,2.5406967698629153,0.16388978989782857
南非,10832,21343,1218,10104,407,1.9%,5810,37,24.825552825552826,22.918715680901794,0.03718710930693023
科威特,15029,21302,900,6117,156,0.7%,420,507,39.21153846153846,26.090583845590828,0.016968991550127495
波兰,11047,21236,459,9194,995,4.7%,3800,56,9.240201005025126,8.364443744930865,0.09796574089796363
乌克兰,13261,20986,432,7108,617,2.9%,4380,48,11.520259319286872,8.687323217922382,0.06545780979993165
哥伦比亚,14754,20177,1046,4718,705,3.5%,4980,41,6.692198581560284,4.53585372208234,0.10127946564436754
罗马尼亚,5492,18070,145,11399,1179,6.5%,1950,93,9.668363019508059,17.604448323940385,0.18832870620830452
以色列,2343,16712,22,14090,279,1.7%,860,194,50.50179211469534,215.54328687449998,0.08451249467253227
日本,2739,16569,26,13005,825,5%,12690,13,15.763636363636364,57.55252414617146,0.23160693523806877
埃及,11150,16513,727,4628,735,4.5%,10120,16,6.296598639455782,5.647173667673346,0.142435787621458
奥地利,800,16503,50,15063,640,3.9%,880,188,23.5359375,294.19921875,0.5311027019849963
多米尼加共和国,6110,14422,433,7854,458,3.2%,1083.5,133,17.148471615720524,28.06623832360151,0.09544064612900657
菲律宾,9918,14035,180,3249,868,6.2%,10810,13,3.743087557603687,3.7740346416653425,0.2693679430176322
丹麦,892,11487,59,10034,561,4.9%,580,198,17.885918003565063,200.51477582472043,0.6267926717322538
阿根廷,7378,11353,704,3530,445,3.9%,4510,25,7.932584269662922,10.7516729054797,0.17086245994331206
韩国,711,11190,25,10213,266,2.4%,5130,22,38.39473684210526,540.0103634613961,0.36631837501168846
塞尔维亚,5155,11092,68,5699,238,2.1%,870,127,23.945378151260503,46.45078205870127,0.08101205156383043
阿富汗,9289,10582,782,1075,218,2.1%,3680,29,4.931192660550459,5.308636732210635,0.2183127329900082
巴拿马,3999,10577,151,6279,299,2.8%,420,252,21.0,52.51312828207052,0.11907738839471772
巴林,4499,9093,436,4581,13,0.1%,160,568,352.38461538461536,783.2509788500008,0.006307642451190615
捷克,2529,8891,63,6047,315,3.5%,1060,84,19.196825396825396,75.90678290559667,0.20597843582329875
挪威,384,8346,31,7727,235,2.8%,540,155,32.88085106382979,856.2721631205674,0.7920009921918814
哈萨克斯坦,4073,8322,322,4214,35,0.4%,1860,45,120.4,295.6052050085932,0.020391966217853087
阿尔及利亚,3095,8113,195,4426,592,7.3%,4270,19,7.476351351351352,24.156224075448634,0.43216505200945804
阿曼,5801,7770,463,1933,36,0.5%,500,155,53.69444444444444,92.56066961634967,0.032104638290863206
尼日利亚,5131,7526,245,2174,221,2.9%,20100,4,9.83710407239819,19.17190425335839,0.19812109484047843
摩洛哥,2545,7429,75,4686,198,2.7%,3660,20,23.666666666666668,92.99279633267847,0.16602562328786075
马来西亚,1185,7245,48,5945,115,1.6%,3250,22,51.69565217391305,436.2502293157219,0.16324039277057983
澳大利亚,504,7114,16,6508,102,1.4%,2510,28,63.80392156862745,1265.9508247743543,0.31097257587730853
摩尔多瓦,3300,6994,147,3452,242,3.5%,400,175,14.264462809917354,43.22564487853744,0.21243723445345697
加纳,4653,6683,131,1998,32,0.5%,2950,23,62.4375,134.18762088974853,0.034420838203344115
亚美尼亚,3516,6661,374,3064,81,1.2%,290,230,37.82716049382716,107.5857806991671,0.07518780242204974
芬兰,1472,6579,31,4800,307,4.7%,560,117,15.635179153094462,106.21724968134825,0.4344995471014493
玻利维亚,5066,5915,392,609,240,4.1%,1121,53,2.5375,5.008882747729965,0.7779089418688097
伊拉克,1535,4272,308,2585,152,3.6%,4040,11,17.00657894736842,110.79204525972914,0.3830669296051512
卢森堡,123,3990,9,3758,109,2.7%,60,665,34.477064220183486,2803.0133512344296,2.3581129903901488
阿塞拜疆,1427,3982,127,2506,49,1.2%,1000,40,51.142857142857146,358.39423365702277,0.1370222328360079
洪都拉斯,3114,3743,273,455,174,4.6%,911,41,2.6149425287356323,8.39737485143106,1.2280590315272395
匈牙利,1565,3741,35,1690,486,13%,970,39,3.477366255144033,22.21959268462641,1.837533319469913
几内亚,1525,3176,109,1631,20,0.6%,1270,25,81.55,534.7540983606557,0.08040928325175141
乌兹别克斯坦,572,3150,83,2565,13,0.4%,3280,10,197.30769230769232,3449.435180204411,0.08860535176324649
危地马拉,2755,3054,231,244,55,1.8%,1658.2,18,4.4363636363636365,16.102953308034976,0.8181845229240428
塞内加尔,1556,3047,67,1456,35,1.1%,1670,18,41.6,267.3521850899743,0.15448882736800476
泰国,68,3040,3,2916,56,1.8%,6930,4,52.07142857142857,7657.563025210084,2.824174937464698
希腊,1331,2876,2,1374,171,5.9%,1110,26,8.035087719298245,60.36880330051273,0.9350424378032737
保加利亚,1457,2427,36,840,130,5.4%,700,35,6.461538461538462,44.348239269309964,1.0621956400954342
波斯尼亚和黑塞哥维那,588,2391,19,1662,141,5.9%,350,68,11.787234042553191,200.46316398899984,1.4428153933053367
科特迪瓦,1148,2366,40,1188,30,1.3%,2490,10,39.6,344.94773519163766,0.2199697321648541
吉布提,1196,2270,223,1064,10,0.4%,94,241,106.4,889.6321070234114,0.07858274448663465
刚果,1761,2141,80,317,63,2.9%,8130,3,5.031746031746032,28.57323129895532,1.1285529264452194
北马其顿,417,1941,20,1411,113,5.8%,210,92,12.486725663716815,299.44186243925213,1.9205047018373964
加蓬,1463,1934,161,459,12,0.6%,203,95,38.25,261.4490772385509,0.1786998691023459
古巴,179,1931,15,1671,81,4.2%,1122,17,20.62962962962963,1152.4932753983032,2.708042887375505
爱沙尼亚,227,1823,14,1532,64,3.5%,130,140,23.9375,1054.5154185022027,1.8403284986370068
萨尔瓦多,1209,1819,94,575,35,1.9%,642,28,16.428571428571427,135.8856197565875,0.5034703491926493
冰岛,3,1804,1,1791,10,0.6%,30,601,179.1,597000.0,18.611576400521123
立陶宛,422,1623,12,1138,63,3.9%,290,56,18.063492063492063,428.044835627774,1.3118550046227273
马约特岛,608,1521,46,894,19,1.2%,21.6,704,47.05263157894737,773.8919667590027,0.3495525727069352
斯洛伐克,180,1509,1,1301,28,1.9%,550,27,46.464285714285715,2581.3492063492067,1.1956614569988897
吉尔吉斯斯坦,409,1403,15,980,14,1%,640,22,70.0,1711.4914425427874,0.34928396786587496
马尔代夫,1181,1313,58,128,4,0.3%,44,298,32.0,270.95681625740895,0.2646062658763759
肯尼亚,762,1192,31,380,50,4.2%,5140,2,7.6,99.73753280839895,1.7267578394805911
几内亚比绍,1066,1114,5,42,6,0.5%,160,70,7.0,65.66604127579738,1.3401232913428036
黎巴嫩,404,1097,73,667,26,2.4%,610,18,25.653846153846153,634.996191926885,0.9648641026021643
斯里兰卡,420,1089,25,660,9,0.8%,2100,5,73.33333333333333,1746.031746031746,0.3246753246753247
突尼斯,86,1048,2,914,48,4.6%,1180,9,19.041666666666668,2214.1472868217056,6.1065594626227675
拉脱维亚,313,1047,16,712,22,2.1%,190,55,32.36363636363637,1033.9819924484464,0.9871845496643573
马里,378,1015,22,574,63,6.2%,1951.7,5,9.11111111111111,241.03468547912993,2.9036004645760745
委内瑞拉,738,1010,62,262,10,1%,3280,3,26.2,355.0135501355013,0.5171807443265273
阿尔巴尼亚,175,989,8,783,31,3.1%,290,34,25.258064516129032,1443.3179723502303,2.262360883050538
赤道几内亚,784,960,57,165,11,1.1%,130,74,15.0,191.3265306122449,0.8503401360544217
尼日尔,107,943,13,775,61,6.5%,2150,4,12.704918032786885,1187.3755170828865,7.356044618631293
塞浦路斯,316,927,4,594,17,1.8%,120,77,34.94117647058823,1105.7334326135517,0.9056812854281209
赞比亚,577,920,54,336,7,0.8%,1760,5,48.0,831.8890814558059,0.36106296938186017
哥斯达黎加,301,918,8,607,10,1.1%,500,18,60.7,2016.6112956810634,0.5473244046478788
海地,817,865,78,22,26,3%,1200,7,0.8461538461538461,10.3568402222013,14.465338822743965
巴拉圭,541,850,2,298,11,1.3%,705.3,12,27.09090909090909,500.75617543270033,0.6823059459861802
布基纳法索,90,814,2,672,52,6.4%,1919,4,12.923076923076923,1435.8974358974358,8.597883597883598
乌拉圭,126,764,4,616,22,2.9%,350,22,28.0,2222.222222222222,2.834467120181406
格鲁吉亚,196,730,5,522,12,1.6%,390,19,43.5,2219.387755102041,1.172882946281961
约旦,225,704,16,470,9,1.3%,1010,7,52.22222222222222,2320.9876543209875,0.851063829787234
圣马力诺,357,665,4,266,42,6.3%,3.2,2078,6.333333333333333,177.40429505135387,4.42282176028306
南苏丹,641,655,82,6,8,1.2%,1253,5,0.75,11.700468018720748,20.800832033281328
乍得,384,648,23,204,60,9.3%,1490,4,3.4,88.54166666666667,7.659313725490196
塞拉利昂,341,621,15,241,39,6.3%,760,8,6.17948717948718,181.21663282953605,4.7456224674803185
马耳他,130,609,9,473,6,1%,40,152,78.83333333333333,6064.1025641025635,0.9757684176288828
尼泊尔,511,584,77,70,3,0.5%,2898,2,23.333333333333332,456.62100456621005,0.8386916410399776
中非,533,552,43,18,1,0.2%,474,12,18.0,337.7110694183865,1.0423181154888472
牙买加,341,550,10,200,9,1.6%,284,19,22.22222222222222,651.6780710329097,1.3196480938416422
马达加斯加,348,488,40,138,2,0.4%,2520,2,69.0,1982.7586206896553,0.41645843744794275
留尼汪岛,40,452,3,411,1,0.2%,82.7,55,411.0,102750.0,0.6082725060827251
多哥,228,373,9,133,12,3.2%,425,9,11.083333333333334,486.11111111111114,3.957261574990107
佛得角,226,371,9,142,3,0.8%,54,69,47.333333333333336,2094.395280235988,0.934812414308862
法属圭亚那,135,279,12,143,1,0.4%,29,96,143.0,10592.592592592593,0.518000518000518
利比里亚,93,255,6,136,26,10.2%,470,5,5.230769230769231,562.4483043837882,20.55660974067046
斯威士兰,117,238,5,119,2,0.8%,139,17,59.5,5085.470085470085,1.4364720247073188
毛里塔尼亚,214,227,27,7,6,2.6%,450,5,1.1666666666666667,54.517133956386296,40.053404539385845
马提尼克,92,197,5,91,14,7.1%,38,52,6.5,706.5217391304348,16.722408026755854
瓜德罗普岛,28,156,1,115,13,8.3%,40,39,8.846153846153847,3159.34065934066,40.37267080745342
百慕大群岛,43,133,3,81,9,6.8%,6.5,204,9.0,2093.0232558139537,25.839793281653744
开曼群岛,67,129,8,61,1,0.8%,6.4,201,61.0,9104.477611940298,2.446782481037436
利比亚,33,75,1,39,3,4%,627.7,1,13.0,3939.393939393939,23.31002331002331
