地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1143691,1708265,20820,464728,99846,5.8%,32910,519,4.654447849688521,0.040696725336550874,0.001878551595872872
巴西,199314,376669,11687,153833,23522,6.2%,21240,177,6.539962588215288,0.32812359333590657,0.007671617320874681
俄罗斯,227406,362342,8946,131129,3807,1.1%,14390,252,34.44418177042291,1.5146558037352977,0.0012766804511219851
英国,222352,261184,1625,1918,36914,14.1%,6700,390,0.05195860649076231,0.0023367726168760485,0.8655685434242377
意大利,55300,230158,300,141981,32877,14.3%,5920,389,4.318550962679076,0.780931457988983,0.04187326442693291
法国,89311,182942,358,65199,28432,15.5%,6550,279,2.2931555993247046,0.25676071249058957,0.048827166640188074
德国,8377,181548,245,164647,8524,4.7%,8240,220,19.31569685593618,23.058012242970253,0.061801797070538116
土耳其,33430,157814,987,120015,4369,2.8%,8300,190,27.469672693980314,8.217072298528361,0.010889555148212915
印度,81082,146498,2692,61228,4188,2.9%,136870,11,14.61986628462273,1.803096406677528,0.008435914061752958
伊朗,22566,139511,2023,109437,7508,5.4%,8280,168,14.57605221097496,6.459298152519259,0.030402234249666798
秘鲁,69401,123979,4020,50949,3629,2.9%,3290,377,14.039404794709286,2.0229398416030437,0.010263265779446114
加拿大,34528,85711,1012,44638,6545,7.6%,3730,230,6.8201680672268905,1.9752572020467132,0.04246523189470929
沙特阿拉伯,28728,74795,2235,45668,399,0.5%,3410,219,114.45614035087719,39.84131869635101,0.003041273734100221
智利,43934,73997,4895,29302,761,1%,1830,404,38.50459921156373,8.764191562699441,0.005911349635009659
墨西哥,13582,71105,2764,49890,7633,10.7%,13230,54,6.536093279182497,4.812320187882857,0.11264658555699288
巴基斯坦,38194,57705,1748,18314,1197,2.1%,20460,28,15.299916457811195,4.005842922399119,0.017112592031934534
比利时,32801,57455,250,15320,9334,16.2%,1160,495,1.6413113349046498,0.5003845416007591,0.18574705938962727
卡塔尔,35335,47207,1751,11844,28,0.1%,270,1748,423.0,119.71133437102023,0.0006690437792142148
荷兰,39400,45578,209,322,5856,12.8%,1710,267,0.054986338797814206,0.013955923552744724,4.615821168458556
白俄罗斯,22765,38059,946,15086,208,0.5%,940,405,72.52884615384616,31.859805031340287,0.006056497983200731
厄瓜多尔,16149,37355,599,18003,3203,8.6%,1710,218,5.620668123634093,3.480505371003835,0.11017077960190388
孟加拉国,28650,36751,1975,7579,522,1.4%,16470,22,14.519157088122606,5.067768617145761,0.02403997267180118
瑞典,25344,34440,384,4971,4125,12%,1010,341,1.205090909090909,0.4754935720844811,0.32741986857104544
新加坡,16582,32343,344,15738,23,0.1%,590,548,684.2608695652174,412.6527979527303,0.0008813357444839992
阿联酋,14851,31086,822,15982,253,0.8%,970,320,63.1699604743083,42.53582955646643,0.010659423000292878
葡萄牙,11569,31007,165,18096,1342,4.3%,1030,301,13.48435171385991,11.655589691295626,0.06410237303736877
瑞士,646,30761,10,28200,1915,6.2%,860,358,14.725848563968668,227.9543121357379,1.0512043563225961
爱尔兰,2030,24698,59,21060,1608,6.5%,480,515,13.097014925373134,64.51731490331593,0.37612451405554853
南非,11217,23615,1032,11917,481,2%,5810,41,24.775467775467774,22.087427810883277,0.03598333542163855
印度尼西亚,15870,23165,479,5877,1418,6.1%,26950,9,4.144569816643159,2.611575183770107,0.15203501222659566
科威特,15097,22575,665,7306,172,0.8%,420,538,42.47674418604651,28.135884073687826,0.015594021332004673
哥伦比亚,15966,21981,806,5265,750,3.4%,4980,44,7.02,4.39684329199549,0.08922093351505854
波兰,10834,21867,204,10020,1013,4.6%,3800,58,9.891411648568608,9.129971985018098,0.09331530772680227
乌克兰,13365,21584,259,7575,644,3%,4380,49,11.762422360248447,8.800914598016048,0.06361129940154508
罗马尼亚,5345,18429,213,11874,1210,6.6%,1950,95,9.813223140495868,18.359631694098912,0.1906516710461404
埃及,12284,17967,702,4900,783,4.4%,10120,18,6.257982120051086,5.094417225700981,0.13008459652177382
以色列,2100,16743,3,14362,281,1.7%,860,195,51.11032028469751,243.38247754617862,0.09316914344069335
日本,2190,16662,12,13612,860,5.2%,12690,13,15.827906976744186,72.27354783901455,0.2884910842836766
奥地利,732,16557,36,15182,643,3.9%,880,188,23.611197511664074,322.55734305552016,0.5785899753302912
多米尼加共和国,6328,15073,272,8285,460,3.1%,1083.5,139,18.01086956521739,28.46218325729676,0.08774024614572358
菲律宾,10371,14669,284,3412,886,6%,10810,14,3.851015801354402,3.7132540751657523,0.2503825540218729
阿根廷,7990,12628,723,4167,471,3.7%,4510,28,8.847133757961783,11.072758145133646,0.14146552881526675
阿富汗,10483,11831,591,1128,220,1.9%,3680,32,5.127272727272727,4.891035702826221,0.18604928073348068
丹麦,861,11586,28,10162,563,4.9%,580,200,18.04973357015986,209.63685911916212,0.643466664655119
韩国,681,11225,19,10275,269,2.4%,5130,22,38.19702602230483,560.8961236755482,0.38443536948312024
塞尔维亚,5034,11193,34,5920,239,2.1%,870,129,24.769874476987447,49.205153907404544,0.08019789753997143
巴拿马,4594,11183,606,6279,310,2.8%,420,266,20.25483870967742,44.0897664555451,0.10746826063590842
