地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1101758,1924189,22660,712252,110179,5.7%,32910,585,6.464498679421668,0.05867439745771456,0.0014040382399638244
巴西,306834,615870,35449,274997,34039,5.5%,21240,290,8.078880108111283,0.263298073489616,0.004034087882710215
俄罗斯,231626,449834,8831,212680,5528,1.2%,14390,313,38.473227206946454,1.6610064158145654,0.0011221581691488315
西班牙,63649,287740,334,196958,27133,9.4%,4640,620,7.258983525596138,1.1404709462200722,0.021643754762941243
英国,239839,281661,1805,1918,39904,14.2%,6700,420,0.04806535685645549,0.002004067597699102,0.8674571364025174
意大利,38429,234013,177,161895,33689,14.4%,5920,395,4.805574519872955,1.2505073043464454,0.05414964332934777
印度,111444,227273,2487,109462,6367,2.8%,136870,17,17.192084184074133,1.5426657499797327,0.005219330272445906
德国,6419,185431,596,170214,8798,4.7%,8240,225,19.346897022050467,30.14004832847868,0.08052325169481905
秘鲁,101939,183198,4284,76228,5031,2.7%,3290,557,15.151659709799244,1.4863457273270528,0.006474398445160562
土耳其,31002,167410,988,131778,4630,2.8%,8300,202,28.461771058315335,9.180624172090619,0.011333090768964153
伊朗,29281,167156,3574,129741,8134,4.9%,8280,202,15.950454880747479,5.447373682848085,0.021411200703596377
法国,53403,152444,767,69976,29065,19.1%,6550,233,2.4075692413555823,0.45083033562825725,0.07777778284432754
智利,26188,118292,4664,90748,1356,1.1%,1830,646,66.92330383480827,25.554950295863854,0.005705849271094419
墨西哥,17687,105680,3912,75448,12545,11.9%,13230,80,6.014188919888402,3.4003442753934534,0.09400885388499917
加拿大,34350,93726,663,51739,7637,8.1%,3730,251,6.774780673039151,1.972279671918239,0.042971253120683874
沙特阿拉伯,23581,93157,1975,68965,611,0.7%,3410,273,112.87234042553192,47.86579891672614,0.0037570783455953315
巴基斯坦,56213,89249,4801,31198,1838,2.1%,20460,44,16.973884657236127,3.0195656978343313,0.010480499697726537
卡塔尔,24511,65495,1581,40935,49,0.1%,270,2426,835.4081632653061,340.829898113217,0.0004883601914744699
孟加拉国,46776,60391,2423,12804,811,1.3%,16470,37,15.787916152897656,3.375217238091683,0.0135410427101117
比利时,33171,58767,82,16048,9548,16.2%,1160,507,1.6807708420611647,0.5066988761451764,0.1793630293587598
荷兰,40825,47152,209,322,6005,12.7%,1710,276,0.053621981681931725,0.013134594410760987,4.568051028286924
白俄罗斯,24543,46868,865,22066,259,0.6%,940,499,85.1969111969112,34.713324042256936,0.004782428687830195
瑞典,32350,41883,1080,4971,4562,10.9%,1010,415,1.0896536606751426,0.33683266172338255,0.2836855617294372
厄瓜多尔,17461,40966,552,20019,3486,8.5%,1710,240,5.742685025817556,3.288863768293658,0.09972772015145259
南非,18633,40792,3267,21311,848,2.1%,5810,70,25.130896226415093,13.48730544003386,0.021355475173513425
新加坡,13255,37183,517,23904,24,0.1%,590,630,996.0,751.4145605431913,0.0007574621382550193
阿联酋,17173,37018,659,19572,273,0.7%,970,382,71.6923076923077,41.74710748984318,0.008122341963592414
哥伦比亚,21112,35120,1766,12921,1087,3.1%,4980,71,11.886844526218951,5.630373496693326,0.03984777168767946
葡萄牙,11814,33592,331,20323,1455,4.3%,1030,326,13.967697594501718,11.823004566194108,0.0606007793834999
瑞士,415,30936,20,28600,1921,6.2%,860,360,14.888079125455493,358.74889458928897,1.618501979947763
科威特,12123,30644,562,18277,244,0.8%,420,730,74.90573770491804,61.7881198588782,0.011012218232143527
埃及,20885,29767,1152,7756,1126,3.8%,10120,29,6.88809946714032,3.2981084353077903,0.06951301257666959
印度尼西亚,18308,29521,585,9443,1770,6%,26950,11,5.33502824858757,2.9140420846556534,0.10238170857880745
乌克兰,13830,25964,588,11372,762,2.9%,4380,59,14.923884514435695,10.790950480430727,0.04845024083966174
波兰,11640,25177,281,12410,1127,4.5%,3800,66,11.011535048802129,9.460081657046501,0.07801877988873843
爱尔兰,780,25142,31,22698,1664,6.6%,480,524,13.640625,174.8798076923077,0.9398772285370224
菲律宾,15309,20626,634,4330,987,4.8%,10810,19,4.387031408308004,2.8656551102671655,0.14889579511938592
阿根廷,13596,20197,929,5993,608,3%,4510,45,9.856907894736842,7.249858704572553,0.0746187802607995
