地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1030515,1367638,19021,256336,80787,5.9%,32910,416,3.172985752658225,0.030790291773125332,0.003058282222977998
西班牙,63553,268143,1880,177846,26744,10%,4640,578,6.6499401734968595,1.0463613320373326,0.023661714272169846
俄罗斯,179534,221344,11012,39801,2009,0.9%,14390,154,19.81134892981583,1.1034873021163583,0.0028115074966571884
英国,185410,219183,3923,1918,31855,14.5%,6700,327,0.0602103280489719,0.0032474153524066607,0.8957686369789829
意大利,83324,219070,802,105186,30560,13.9%,5920,370,3.4419502617801045,0.4130802964068101,0.03486786047959338
法国,94373,176970,312,56217,26380,14.9%,6550,270,2.131046247156937,0.22581101026320424,0.0497232336488071
德国,16646,172957,912,148650,7661,4.4%,8240,210,19.403472131575512,11.656537385303084,0.030960691964393064
巴西,87302,163427,6760,64957,11168,6.8%,21240,77,5.816350286532951,0.6662333378998134,0.019693606371271297
土耳其,42180,138657,1542,92691,3786,2.7%,8300,167,24.48256735340729,5.804307101329372,0.009683591635850669
伊朗,15179,109286,1383,87422,6685,6.1%,8280,132,13.077337322363501,8.615414271271824,0.050377604524603097
加拿大,31882,68848,1268,32096,4870,7.1%,3730,185,6.590554414784394,2.067170947488989,0.04759183962446767
印度,44349,67714,4258,21150,2215,3.3%,136870,5,9.548532731376975,2.153043525530897,0.023614542016213862
秘鲁,44069,67307,2292,21349,1889,2.8%,3290,205,11.301746956061407,2.564557161737595,0.020078035831887726
比利时,31045,53449,485,13697,8707,16.3%,1160,461,1.5731021017572069,0.5067167343395738,0.20476297204411617
荷兰,37010,42788,245,322,5456,12.8%,1710,250,0.05901759530791789,0.015946391599005103,4.578248954034581
沙特阿拉伯,27345,39048,1912,11457,246,0.6%,3410,115,46.573170731707314,17.03169527581178,0.007852108034856272
墨西哥,9733,35022,1938,21824,3465,9.9%,13230,26,6.298412698412698,6.47119356664204,0.16312561521660596
巴基斯坦,22062,30941,1991,8212,667,2.2%,20460,15,12.31184407796102,5.580565713879531,0.03681561103780371
瑞士,1910,30344,54,26600,1834,6%,860,353,14.50381679389313,75.9362135805923,0.36098098649765775
厄瓜多尔,23999,29559,488,3433,2127,7.2%,1710,173,1.614010343206394,0.6725323318498246,0.2581668886169607
智利,15442,28866,1647,13112,312,1.1%,1830,158,42.02564102564103,27.21515414171806,0.015409271434632409
葡萄牙,23897,27581,175,2549,1135,4.1%,1030,268,2.245814977973568,0.9397895041107955,0.18632993929928746
瑞典,18443,26670,401,4971,3256,12.2%,1010,264,1.5267199017199018,0.8278045338176554,0.3551477493716661
白俄罗斯,17240,23906,921,6531,135,0.6%,940,254,48.37777777777778,28.06135601959268,0.011989934849358458
新加坡,21081,23822,876,2721,20,0.1%,590,404,136.05,64.53678667994878,0.0034866651879719604
卡塔尔,20769,23623,1189,2840,14,0.1%,270,875,202.85714285714286,97.67304292799021,0.002373526633342353
爱尔兰,4428,22996,236,17110,1458,6.3%,480,479,11.73525377229081,26.502379792888007,0.19244201793274507
阿联酋,13196,18198,781,4804,198,1.1%,970,188,24.262626262626263,18.38634909262372,0.031233444696863958
以色列,4690,16492,14,11548,254,1.5%,860,192,45.46456692913386,96.939375115424,0.04689797585382011
波兰,9587,16206,311,5816,803,5%,3800,43,7.242839352428393,7.554854858066541,0.14401522924283214
奥地利,1201,15882,38,14061,620,3.9%,880,180,22.679032258064517,188.83457333942144,0.3671406511689492
日本,6923,15847,70,8293,631,4%,12690,12,13.142630744849445,18.984010898236956,0.10990649604696293
孟加拉国,12550,15691,887,2902,239,1.5%,16470,10,12.142259414225942,9.675107102968878,0.06562310372568993
乌克兰,11952,15648,522,3288,408,2.6%,4380,36,8.058823529411764,6.742656902118276,0.10382161248399925
罗马尼亚,7371,15588,231,7245,972,6.2%,1950,80,7.453703703703703,10.112201470226161,0.1820126043728528
印度尼西亚,10393,14265,387,2881,991,6.9%,26950,5,2.907164480322906,2.797233214974412,0.3309706393641383
菲律宾,8361,11086,184,1999,726,6.5%,10810,10,2.753443526170799,3.2931988113512722,0.43437578136036087
哥伦比亚,7895,11063,568,2705,463,4.2%,4980,22,5.842332613390929,7.400041308918213,0.21680115283895957
韩国,1021,10909,35,9632,256,2.3%,5130,21,37.625,368.511263467189,0.2603141340813026
丹麦,1683,10627,110,8415,529,5%,580,183,15.907372400756143,94.5179584120983,0.37352307458210776
