地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,4318,67801,1,60323,3160
广东省,87,1428,15,1333,8
河南省,2,1274,0,1250,22
浙江省,18,1240,2,1221,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,1,936,0,934,1
山东省,9,768,1,752,7
江苏省,5,636,3,631,-
重庆市,2,578,1,570,6
北京市,149,558,32,401,8
四川省,6,545,2,536,3
黑龙江省,3,484,0,468,13
上海市,80,414,10,330,4
中国香港,251,356,39,101,4
河北省,3,319,0,310,6
福建省,22,318,5,295,1
广西壮族自治区,2,254,0,250,2
陕西省,6,249,0,240,3
中国台湾,184,215,26,29,2
云南省,2,176,0,172,2
海南省,0,168,0,162,6
贵州省,0,146,0,144,2
天津市,6,142,4,133,3
甘肃省,16,136,0,118,2
山西省,1,134,1,133,-
辽宁省,1,127,1,124,2
吉林省,0,93,0,92,1
新疆维吾尔自治区,0,76,0,73,3
内蒙古自治区,0,75,0,74,1
宁夏回族自治区,0,75,0,75,-
中国澳门,15,25,4,10,-
青海省,0,18,0,18,-
西藏自治区,0,1,0,1,-
意大利,50418,63927,4789,7432,6077
美国,45621,46332,12157,178,533
西班牙,29470,35136,4517,3355,2311
德国,28480,29056,3877,453,123
伊朗,13602,23049,1411,7635,1812
法国,17054,20123,3176,2207,862
韩国,5410,9037,76,3507,120
瑞士,7831,8060,1046,131,98
英国,6222,6650,967,93,335
荷兰,4568,4749,573,2,179
奥地利,3894,3924,680,9,21
比利时,3305,3743,586,350,88
挪威,2557,2573,311,6,10
加拿大,2053,2091,714,14,24
葡萄牙,2032,2060,460,5,23
瑞典,1974,2016,89,17,25
巴西,1855,1891,345,2,34
澳大利亚,1728,1823,214,88,7
土耳其,1492,1529,293,-,37
马来西亚,1394,1518,212,114,10
丹麦,1435,1460,65,1,24
以色列,1403,1442,371,38,1
捷克,1229,1236,116,7,-
日本,815,1142,39,285,42
爱尔兰,1114,1125,219,5,6
厄瓜多尔,960,981,0,3,18
卢森堡,861,875,77,6,8
巴基斯坦,863,875,99,6,6
泰国,778,827,106,45,4
波兰,728,749,115,13,8
智利,733,746,114,11,2
钻石公主号邮轮,137,712,15,567,8
芬兰,689,700,74,10,1
希腊,659,695,71,19,17
冰岛,551,588,20,36,1
印度尼西亚,500,579,65,30,49
罗马尼亚,517,576,143,52,7
沙特阿拉伯,543,562,51,19,-
新加坡,355,509,54,152,2
卡塔尔,464,501,7,37,-
菲律宾,449,501,105,19,33
印度,447,492,75,36,9
斯洛文尼亚,434,442,28,5,3
俄罗斯,421,438,71,16,1
南非,402,402,128,-,-
秘鲁,389,395,32,1,5
墨西哥,359,367,51,4,4
埃及,279,366,39,68,19
爱沙尼亚,348,352,26,4,-
巴林,177,339,5,160,2
克罗地亚,309,315,61,5,1
巴拿马,309,313,68,1,3
阿根廷,270,301,36,27,4
哥伦比亚,271,277,42,3,3
伊拉克,181,266,33,62,23
黎巴嫩,244,256,8,8,4
塞尔维亚,246,249,61,-,3
亚美尼亚,234,235,45,1,-
阿尔及利亚,181,230,29,32,17
圣马力诺,200,224,16,4,20
保加利亚,195,201,14,3,3
阿联酋,155,198,45,41,2
科威特,159,189,1,30,-
斯洛伐克,179,186,1,7,-
拉脱维亚,179,180,41,1,-
匈牙利,144,167,28,16,7
立陶宛,158,160,31,1,1
哥斯达黎加,154,158,24,2,2
乌拉圭,156,158,23,2,-
摩洛哥,134,143,28,5,4
新西兰,130,142,40,12,-
北马其顿,133,136,22,1,2
安道尔,130,133,19,2,1
波斯尼亚和黑塞哥维那,128,131,5,2,1
约旦,126,127,15,1,-
越南,106,123,7,17,-
塞浦路斯,112,116,21,3,1
摩尔多瓦,107,109,15,1,1
阿尔巴尼亚,100,104,15,2,2
布基纳法索,90,99,24,5,4
斯里兰卡,91,92,5,1,-
文莱,87,91,3,4,-
马耳他,88,90,17,2,-
突尼斯,86,89,14,-,3
阿曼,67,84,18,17,-
委内瑞拉,84,84,7,-,-
柬埔寨,82,84,31,2,-
白俄罗斯,66,81,12,15,-
塞内加尔,71,79,12,8,-
乌克兰,62,73,26,8,3
阿塞拜疆,61,72,9,10,1
哈萨克斯坦,66,66,6,-,-
格鲁吉亚,53,61,7,8,-
巴勒斯坦,42,59,2,17,-
法罗群岛,47,47,0,-,-
阿富汗,41,42,2,-,1
乌兹别克斯坦,42,42,0,-,-
喀麦隆,40,40,13,-,-
列支敦士登,37,37,0,-,-
毛里求斯,34,36,8,-,2
刚果,34,36,6,-,2
尼日利亚,35,36,10,-,1
孟加拉国,25,33,6,5,3
黑山,27,27,6,-,-
加纳,25,27,3,-,2
洪都拉斯,24,24,12,-,-
巴拉圭,21,22,4,-,1
古巴,20,21,5,-,1
多米尼加共和国,20,21,0,-,1
瓜德罗普岛,18,18,0,-,-
摩纳哥,18,18,0,-,-
卢旺达,17,17,6,-,-
危地马拉,16,17,5,-,1
肯尼亚,16,16,1,-,-
马提尼克,16,16,0,-,-
多哥,16,16,7,-,-
法属波里尼西亚,15,15,0,-,-
关岛,15,15,0,-,-
牙买加,14,15,2,-,1
科特迪瓦,13,14,5,1,-
马尔代夫,13,13,0,-,-
马达加斯加,12,12,9,-,-
吉尔吉斯斯坦,12,12,6,-,-
坦桑尼亚,12,12,6,-,-
埃塞俄比亚,11,11,2,-,-
玻利维亚,11,11,2,-,-
蒙古,10,10,4,-,-
乌干达,9,9,8,-,-
留尼汪岛,9,9,3,-,-
法属圭亚那,6,7,0,-,1
赤道几内亚,6,6,2,-,-
斯威士兰,5,5,1,-,-
泽西岛,5,5,2,-,-
特立尼达和多巴哥,5,5,1,-,-
加蓬,4,5,1,-,1
圭亚那,5,5,1,-,-
塞舌尔,4,4,2,-,-
利比里亚,3,3,1,-,-
中非,3,3,2,-,-
直布罗陀,3,3,0,-,-
刚果,3,3,2,-,-
缅甸,2,2,0,-,-
冈比亚,1,2,0,-,1
赞比亚,2,2,0,-,-
巴巴多斯,2,2,2,-,-
纳米比亚,2,2,2,-,-
波多黎各,2,2,2,-,-
圣马丁岛,2,2,0,-,-
圣卢西亚,2,2,0,-,-
尼加拉瓜,2,2,0,-,-
新喀里多尼亚群岛,2,2,0,-,-
安哥拉,2,2,0,-,-
津巴布韦,2,2,1,-,-
海地,2,2,0,-,-
毛里塔尼亚,2,2,1,-,-
苏里南,2,2,0,-,-
苏丹,1,2,1,-,1
几内亚,2,2,1,-,-
尼泊尔,1,2,1,1,-
伯利兹,1,1,1,-,-
根西岛,1,1,0,-,-
圣巴泰勒米岛,1,1,0,-,-
梵蒂冈,1,1,0,-,-
不丹,1,1,0,-,-
吉布提,1,1,0,-,-
格陵兰岛,1,1,1,-,-
贝宁,1,1,1,-,-
索马里,1,1,0,-,-
巴哈马,1,1,1,-,-
圣文森特岛,1,1,1,-,-
安提瓜和巴布达,1,1,1,-,-
厄立特里亚,1,1,0,-,-
乍得,1,1,0,-,-
东帝汶,1,1,0,-,-
巴布亚新几内亚,1,1,0,-,-
佛得角,1,1,0,-,-
尼日尔,1,1,0,-,-
萨尔瓦多,1,1,1,-,-
斐济,1,1,1,-,-
马恩岛,1,1,0,-,-
叙利亚,1,1,0,-,-
