地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1034892,1430348,20455,310259,85197,6%,32910,435,3.6416657863539794,0.03518884855959829,0.002653413193975892
西班牙,58845,272646,1575,186480,27321,10%,4640,588,6.825518831667948,1.1599148324696997,0.024897443964484494
俄罗斯,196410,252245,10028,53530,2305,0.9%,14390,175,23.2234273318872,1.182395363366794,0.002192351019499816
英国,194601,229705,3242,1918,33186,14.4%,6700,343,0.05779545591514494,0.0029699465015670494,0.8891217584491041
意大利,78457,222104,888,112541,31106,14%,5920,375,3.6179836687455795,0.4611422395382922,0.0352291123047979
巴西,98473,190137,11385,78424,13240,7%,21240,90,5.923262839879154,0.6015113624931864,0.017144381671295218
德国,15775,174894,925,151188,7931,4.5%,8240,212,19.062917664859413,12.084258424633543,0.033253798432002275
土耳其,37447,143114,1639,101715,3952,2.8%,8300,172,25.737601214574898,6.873074268853286,0.010375640167579664
伊朗,17140,114533,1958,90539,6854,6%,8280,138,13.20965859352203,7.706918665998851,0.04416696825518811
印度,49571,78810,5462,26675,2564,3.3%,136870,6,10.403666146645866,2.0987404221512307,0.019390361806644024
秘鲁,49813,76306,4247,24324,2169,2.8%,3290,232,11.214384508990317,2.2512967516492313,0.01790118823383173
加拿大,32966,73568,2297,35177,5425,7.4%,3730,197,6.484239631336406,1.9669476525318224,0.04678155887540417
比利时,31274,54288,202,14111,8903,16.4%,1160,468,1.584971357969224,0.5068016109129705,0.2017414554471999
沙特阿拉伯,26935,44830,1905,17622,273,0.6%,3410,131,64.54945054945055,23.964897178188437,0.005751623775038446
荷兰,37507,43410,227,322,5581,12.9%,1710,254,0.05769575344920265,0.015382662822727131,4.621083567506322
墨西哥,10031,40186,1997,25935,4220,10.5%,13230,30,6.145734597156398,6.12674169789293,0.1622116224742819
巴基斯坦,25323,35788,2624,9695,770,2.2%,20460,17,12.590909090909092,4.972123796907591,0.031363733630091276
智利,19170,34381,2660,14865,346,1%,1830,188,42.96242774566474,22.411282079115672,0.01214196767604669
厄瓜多尔,24719,30486,67,3433,2334,7.7%,1710,178,1.4708654670094259,0.5950343731580671,0.2750401845611554
瑞士,1493,30463,33,27100,1870,6.1%,860,354,14.491978609625669,97.06616617297836,0.4621814469986628
卡塔尔,24902,28272,1390,3356,14,0%,270,1047,239.71428571428572,96.26306550248401,0.0016752200210043873
葡萄牙,23775,28132,219,3182,1175,4.2%,1030,273,2.7080851063829785,1.1390473633577196,0.15531634635148683
瑞典,19478,27909,637,4971,3460,12.4%,1010,276,1.4367052023121387,0.737604067312937,0.3573452175198552
白俄罗斯,18453,26772,952,8168,151,0.6%,940,285,54.09271523178808,29.31377837304941,0.010018304703274267
新加坡,21268,26098,675,4809,21,0.1%,590,442,229.0,107.67350009403799,0.0020532312521507595
爱尔兰,2434,23401,159,19470,1497,6.4%,480,488,13.006012024048097,53.4347248317506,0.31588956146425895
阿联酋,13946,21084,725,6930,208,1%,970,217,33.31730769230769,23.890224933534846,0.021521891592162636
孟加拉国,15219,18863,1162,3361,283,1.5%,16470,11,11.876325088339222,7.803617247085368,0.05532632276489134
波兰,9904,17469,501,6696,869,5%,3800,46,7.7054085155350975,7.780097451065324,0.13103692702030292
乌克兰,12248,16847,402,4143,456,2.7%,4380,38,9.085526315789474,7.417967272852281,0.08986379014250977
以色列,3939,16567,13,12364,264,1.6%,860,193,46.833333333333336,118.8965050351189,0.054207446476922536
罗马尼亚,6148,16247,224,9053,1046,6.4%,1950,83,8.654875717017209,14.077546709527017,0.1879339774641648
日本,5603,16171,54,9868,700,4.3%,12690,13,14.097142857142858,25.15999082124372,0.12660424763761902
奥地利,1027,16058,36,14405,626,3.9%,880,182,23.011182108626198,224.0621432193398,0.42314637721471665
印度尼西亚,11445,16006,689,3518,1043,6.5%,26950,6,3.3729626078619366,2.9471058172668734,0.2590434862733031
哥伦比亚,9288,12930,658,3133,509,3.9%,4980,26,6.155206286836935,6.627052419075081,0.17491827295938076
南非,7110,12074,724,4745,219,1.8%,5810,21,21.666666666666668,30.473511486169713,0.06491398896462189
科威特,8436,11975,751,3451,88,0.7%,420,285,39.21590909090909,46.48637872322083,0.03022742427034089
菲律宾,8749,11876,268,2337,790,6.7%,10810,11,2.958227848101266,3.3812182513444577,0.38637584010456993
多米尼加共和国,7566,11196,296,3221,409,3.7%,1083.5,103,7.875305623471883,10.408809970224533,0.16782870606201392
韩国,969,10991,29,9762,260,2.4%,5130,21,37.54615384615385,387.47320790664446,0.27485950979017865
丹麦,1471,10865,76,8861,533,4.9%,580,187,16.624765478424013,113.0167605603264,0.408913830501458
埃及,7389,10431,347,2486,556,5.3%,10120,10,4.471223021582734,6.051188282017504,0.30268297975497266
塞尔维亚,6249,10295,52,3824,222,2.2%,870,118,17.225225225225227,27.56477072367615,0.0929018935916776
巴拿马,2621,8944,167,6067,256,2.9%,420,213,23.69921875,90.42052174742466,0.16099001817866582
捷克,2927,8275,46,5058,290,3.5%,1060,78,17.44137931034483,59.58790334931612,0.19588286636884367
挪威,7911,8175,26,32,232,2.8%,540,151,0.13793103448275862,0.17435347551859262,9.164454556946025
澳大利亚,594,6989,10,6297,98,1.4%,2510,28,64.25510204081633,1081.7357245928674,0.2620028028952914
阿根廷,4284,6879,285,2266,329,4.8%,4510,15,6.887537993920972,16.077352926986396,0.33891167529088717
马来西亚,1356,6819,37,5351,112,1.6%,3250,21,47.776785714285715,352.33617783396545,0.15435595254436496
摩洛哥,3182,6593,86,3222,189,2.9%,3660,18,17.047619047619047,53.57516985423962,0.1843470077847108
阿尔及利亚,2673,6253,186,3058,522,8.3%,4270,15,5.85823754789272,21.916339498289265,0.6386075712432808
芬兰,1561,6145,51,4300,284,4.6%,560,110,15.140845070422536,96.99452319296947,0.42310385411855844
巴林,3601,5816,371,2205,10,0.2%,160,364,220.5,612.3299083587892,0.012594133274896556
阿富汗,4812,5639,263,691,136,2.4%,3680,15,5.080882352941177,10.558774632047333,0.40901123938826356
哈萨克斯坦,3131,5571,138,2408,32,0.6%,1860,30,75.25,240.33854998403066,0.042443425566434045
加纳,4870,5408,281,514,24,0.4%,2950,18,21.416666666666668,43.97672826830938,0.09587804312913974
摩尔多瓦,3045,5406,252,2176,185,3.4%,400,135,11.762162162162163,38.62779035192828,0.27920651019028303
尼日利亚,3737,4971,146,1070,164,3.3%,20100,2,6.524390243902439,17.458898164041848,0.410144575963027
阿曼,3021,4341,298,1303,17,0.4%,500,87,76.6470588235294,253.7141967015207,0.0431870739563399
卢森堡,172,3904,10,3629,103,2.6%,60,651,35.23300970873787,2048.4307970196437,1.650143866911892
亚美尼亚,2239,3860,180,1572,49,1.3%,290,133,32.08163265306123,143.2855411034445,0.13921609406234836
匈牙利,1775,3380,28,1169,436,12.9%,970,35,2.6811926605504586,15.105310763664555,2.101230135302835
玻利维亚,2667,3148,133,339,142,4.5%,1121,28,2.387323943661972,8.951345870498583,1.5706001351600962
伊拉克,951,3032,119,1966,115,3.8%,4040,8,17.095652173913045,179.76500708636217,0.6150831217982249
喀麦隆,1262,2954,111,1553,139,4.7%,2405,12,11.172661870503598,88.53139358560696,0.7092249243068219
希腊,1231,2760,16,1374,155,5.6%,1110,25,8.864516129032259,72.01069154372264,0.9164038656871196
阿塞拜疆,934,2758,65,1789,35,1.3%,1000,28,51.114285714285714,547.2621596818599,0.20946469203304036
乌兹别克斯坦,533,2620,49,2076,11,0.4%,3280,8,188.72727272727272,3540.8493945079313,0.09941184338477443
几内亚,1504,2374,85,856,14,0.6%,1270,19,61.142857142857146,406.53495440729483,0.10874428315768542
克罗地亚,285,2213,6,1834,94,4.2%,410,54,19.51063829787234,684.5837999253453,1.7983891025273104
波斯尼亚和黑塞哥维那,833,2181,23,1228,120,5.5%,350,62,10.233333333333333,122.84913965586234,1.1731076795539064
塞内加尔,1302,2105,110,782,21,1%,1670,13,37.23809523809524,286.00687586862705,0.20625360943816518
保加利亚,1470,2100,65,531,99,4.7%,700,30,5.363636363636363,36.48732220160792,1.2683039317421885
科特迪瓦,986,1912,127,902,24,1.3%,2490,8,37.583333333333336,381.1697092630156,0.2698533347125837
苏丹,1530,1818,135,198,90,5%,4312,4,2.2,14.379084967320264,2.9708853238265
古巴,405,1810,21,1326,79,4.4%,1122,16,16.78481012658228,414.43975621190816,1.471053758635458
冰岛,12,1802,1,1780,10,0.6%,30,601,178.0,148333.33333333334,4.681647940074907
爱沙尼亚,787,1758,5,909,62,3.5%,130,135,14.661290322580646,186.29339672910604,0.866668623660333
北马其顿,393,1723,20,1235,95,5.5%,210,82,13.0,330.7888040712468,1.9573302016050107
立陶宛,523,1511,14,934,54,3.6%,290,52,17.296296296296298,330.7131223001204,1.1054655033348209
斯洛伐克,338,1477,4,1112,27,1.8%,550,27,41.18518518518518,1218.4966031119877,0.7183602230641523
斯洛文尼亚,1094,1464,2,267,103,7%,210,70,2.592233009708738,23.695000088745317,3.5262138049558707
危地马拉,1192,1342,85,121,29,2.2%,1658.2,8,4.172413793103448,35.00347141865309,2.010649509124189
吉布提,365,1268,12,900,3,0.2%,94,135,300.0,8219.17808219178,0.09132420091324202
索马里,1037,1219,49,130,52,4.3%,1518,8,2.5,24.108003857280618,3.857280617164899
刚果,971,1169,67,148,50,4.3%,8130,1,2.96,30.48403707518023,3.4792774236646533
马约特岛,502,1143,48,627,14,1.2%,21.6,529,44.785714285714285,892.145702902675,0.4447918056641059
萨尔瓦多,687,1112,39,405,20,1.8%,642,17,20.25,294.7598253275109,0.7188168275019318
吉尔吉斯斯坦,335,1082,7,735,12,1.1%,640,17,61.25,1828.358208955224,0.4873591227535791
拉脱维亚,316,962,1,627,19,2%,190,51,33.0,1044.3037974683543,0.9589566551591869
马尔代夫,911,955,7,40,4,0.4%,44,217,10.0,109.76948408342481,1.0976948408342482
斯里兰卡,524,915,19,382,9,1%,2100,4,42.44444444444444,810.008481764207,0.4496223172535071
塞浦路斯,439,905,2,449,17,1.9%,120,75,26.41176470588235,601.6347313412837,0.8624582088264988
阿尔巴尼亚,173,898,4,694,31,3.5%,290,31,22.387096774193548,1294.0518366585866,2.58199930036148
黎巴嫩,624,886,8,236,26,2.9%,610,15,9.076923076923077,145.46351084812622,1.7655367231638417
尼日尔,153,860,22,658,49,5.7%,2150,4,13.428571428571429,877.6844070961719,4.867195104992351
几内亚比绍,807,836,59,26,3,0.4%,160,52,8.666666666666666,107.39363899215199,1.4297969688304262
哥斯达黎加,280,815,3,527,8,1%,500,16,65.875,2352.6785714285716,0.5421523448088913
布基纳法索,130,773,6,592,51,6.6%,1919,4,11.607843137254902,892.9110105580694,6.626819126819126
马里,302,758,18,412,44,5.8%,1951.7,4,9.363636363636363,310.0541842263696,3.5362952485051116
肯尼亚,416,737,22,281,40,5.4%,5140,1,7.025,168.87019230769232,3.4218450588557356
乌拉圭,155,719,6,545,19,2.6%,350,21,28.68421052631579,1850.5942275042444,2.2491861497484464
赞比亚,523,654,5,124,7,1.1%,1760,4,17.714285714285715,338.7052717836657,1.0793807438475298
格鲁吉亚,257,652,8,383,12,1.8%,390,17,31.916666666666668,1241.89364461738,1.2191281202060327
圣马力诺,441,643,5,161,41,6.4%,3.2,2009,3.926829268292683,89.04374758033293,5.774566555400627
约旦,181,582,14,392,9,1.5%,1010,6,43.55555555555556,2406.3842848373233,1.2684631863795244
马耳他,73,522,2,443,6,1.1%,40,131,73.83333333333333,10114.155251141552,1.8553449395466772
赤道几内亚,503,522,83,13,6,1.1%,130,40,2.1666666666666665,43.074884029158376,9.175714941122497
牙买加,387,509,2,113,9,1.8%,284,18,12.555555555555555,324.4329600918748,2.058036633052068
委内瑞拉,210,440,1,220,10,2.3%,3280,1,22.0,1047.6190476190477,2.1645021645021645
乍得,252,372,35,78,42,11.3%,1490,2,1.8571428571428572,73.69614512471655,21.367521367521366
佛得角,226,289,3,61,2,0.7%,54,54,30.5,1349.5575221238937,1.450747134774409
海地,199,234,10,17,18,7.7%,1200,2,0.9444444444444444,47.45951982132886,53.207212533254506
圣多美和普林西比,210,220,12,4,6,2.7%,20.4,108,0.6666666666666666,31.746031746031747,71.42857142857143
