地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1052879,1457822,26608,318027,86916,6%,32910,443,3.659015601270192,0.034752479641727035,0.002595716603788291
西班牙,57941,274367,1551,188967,27459,10%,4640,591,6.8817873921118755,1.1877232688617516,0.02507914707420408
俄罗斯,202199,262843,9974,58226,2418,0.9%,14390,183,24.08023159636063,1.1909174425373334,0.0020538103450884727
英国,197619,233151,3446,1918,33614,14.4%,6700,348,0.05705955851728446,0.002887351849634117,0.8868351446599504
意大利,76440,223096,992,115288,31368,14.1%,5920,377,3.67533792399898,0.4808134385137336,0.03559443025327221
巴西,111258,204795,13944,79479,14058,6.9%,21240,96,5.653649167733675,0.5081566420152865,0.01589790494904814
法国,91840,178870,810,59605,27425,15.3%,6550,273,2.1733819507748406,0.23664873157391556,0.050099347416952544
德国,14861,175693,664,152817,8015,4.6%,8240,213,19.06637554585153,12.829806571463246,0.03529261372661795
土耳其,36712,144749,1635,104030,4007,2.8%,8300,174,25.9620663838283,7.07182021786563,0.010491865130930622
伊朗,17897,116635,1808,91836,6902,5.9%,8280,141,13.30570849029267,7.434602721289975,0.04199346949589874
印度,51573,82834,3942,28604,2657,3.2%,136870,6,10.765525028227325,2.087434321879147,0.01801118926932362
秘鲁,53186,80604,4298,25151,2267,2.8%,3290,245,11.094397882664314,2.085962073226848,0.016947238199942673
加拿大,32966,73568,1290,35177,5425,7.4%,3730,197,6.484239631336406,1.9669476525318224,0.04678155887540417
比利时,31384,54644,307,14301,8959,16.4%,1160,471,1.5962719053465788,0.508626021331436,0.19961116751647237
沙特阿拉伯,27535,46869,2039,19051,283,0.6%,3410,137,67.31802120141343,24.448164591034477,0.005394902219637202
荷兰,37716,43681,270,322,5643,12.9%,1710,255,0.057061846535530744,0.015129347368631547,4.6465279246200275
墨西哥,9643,42595,1862,28475,4477,10.5%,13230,32,6.360285905740451,6.5957543355184605,0.16304639274423524
巴基斯坦,26260,37218,490,10155,803,2.2%,20460,18,12.646326276463263,4.815813509696596,0.030112089722777527
智利,21017,37040,2659,15655,368,1%,1830,202,42.54076086956522,20.24111950781045,0.01118469182838361
瑞士,1540,30514,50,27100,1874,6.1%,860,355,14.461045891141943,93.9028953970256,0.4490343604734749
厄瓜多尔,24731,30502,16,3433,2338,7.7%,1710,178,1.4683490162532078,0.5937281210841486,0.27537786336294584
卡塔尔,25865,29425,1733,3546,14,0%,270,1090,253.28571428571428,97.92604457209136,0.001526429749505246
瑞典,20590,29207,673,4971,3646,12.5%,1010,289,1.3634119583104773,0.6621719078729856,0.3562185689138821
葡萄牙,24065,28583,187,3328,1190,4.2%,1030,278,2.7966386554621847,1.1621187016256742,0.14858596109894676
新加坡,20897,26891,752,5973,21,0.1%,590,456,284.42857142857144,136.10976285044333,0.0016824525986405736
白俄罗斯,18453,26772,947,8168,151,0.6%,940,285,54.09271523178808,29.31377837304941,0.010018304703274267
爱尔兰,2851,23827,426,19470,1506,6.3%,480,496,12.928286852589641,45.34649895682091,0.2713075021928888
阿联酋,13946,21084,698,6930,208,1%,970,217,33.31730769230769,23.890224933534846,0.021521891592162636
孟加拉国,15885,20065,1041,3882,298,1.5%,16470,12,13.026845637583893,8.200721207166442,0.048325183728943066
波兰,10036,17615,553,6696,883,5%,3800,46,7.583238958097395,7.556037224090669,0.1313967447178211
乌克兰,12381,17330,422,4473,476,2.7%,4380,40,9.397058823529411,7.589902934762468,0.08595127649653495
以色列,3736,16589,40,12587,266,1.6%,860,193,47.31954887218045,126.65832139234594,0.05656561807336994
印度尼西亚,11617,16496,568,3803,1076,6.5%,26950,6,3.5343866171003717,3.042426286563116,0.24355214373306724
罗马尼亚,6011,16437,245,9370,1056,6.4%,1950,84,8.87310606060606,14.761447447356614,0.18748977994274815
日本,4713,16249,100,10809,727,4.5%,12690,13,14.867950481430537,31.546680418906295,0.1427090300090786
奥地利,1009,16108,61,14471,628,3.9%,880,183,23.04299363057325,228.37456521876365,0.43010048667787715
哥伦比亚,9727,13610,680,3358,525,3.9%,4980,27,6.396190476190476,6.575707285072968,0.1607310181412967
科威特,9124,12860,947,3640,96,0.7%,420,306,37.916666666666664,41.557065614496565,0.028905772000905713
南非,6825,12739,665,5676,238,1.9%,5810,22,23.84873949579832,34.94320805245175,0.06143727073959632
菲律宾,8825,12091,258,2460,806,6.7%,10810,11,3.0521091811414394,3.4584806585172116,0.37126603560653165
多米尼加共和国,7547,11320,124,3351,422,3.7%,1083.5,104,7.940758293838862,10.52174147851976,0.16686439306418266
韩国,937,11018,27,9821,260,2.4%,5130,21,37.77307692307692,403.12782201789673,0.28253876730726535
埃及,7632,10829,736,2626,571,5.3%,10120,11,4.5989492119089315,6.025876849985497,0.2849069377184453
塞尔维亚,6066,10374,79,4084,224,2.2%,870,119,18.232142857142858,30.05628562008384,0.09041903734080195
巴拿马,2778,9118,161,6080,260,2.9%,420,217,23.384615384615383,84.17788115412306,0.1539350536167633
捷克,2817,8351,52,5241,293,3.5%,1060,79,17.887372013651877,63.497948220276456,0.19845708758331218
挪威,7932,8196,29,32,232,2.8%,540,152,0.13793103448275862,0.17389187403272643,9.140191628845184
阿根廷,4396,7134,316,2385,353,4.9%,4510,16,6.756373937677054,15.369367465143434,0.33668877557833216
澳大利亚,587,7019,9,6334,98,1.4%,2510,28,64.63265306122449,1101.0673434620867,0.26357845950762465
马来西亚,1304,6855,40,5439,112,1.6%,3250,21,48.5625,372.4118098159509,0.1579142683437162
摩洛哥,3050,6623,127,3383,190,2.9%,3660,18,17.805263157894736,58.37791199309749,0.18414153700033437
阿尔及利亚,2755,6442,189,3158,529,8.2%,4270,15,5.969754253308128,21.668799467543117,0.6080257094878447
巴林,3771,6418,36,2637,10,0.2%,160,401,263.7,699.2840095465394,0.010056186933252158
芬兰,1641,6228,91,4300,287,4.6%,560,111,14.982578397212544,91.30151369416541,0.40672873885747485
阿富汗,5155,6053,413,745,153,2.5%,3680,16,4.869281045751634,9.445744026676302,0.3983882202071358
哈萨克斯坦,3124,5689,154,2531,34,0.6%,1860,31,74.44117647058823,238.28801687128114,0.043000721906237174
摩尔多瓦,3131,5553,147,2228,194,3.5%,400,139,11.484536082474227,36.68008969170944,0.2781015925186658
加纳,4832,5530,122,674,24,0.4%,2950,19,28.083333333333332,58.119481236203086,0.07369269165012676
尼日利亚,3815,5162,184,1180,167,3.2%,20100,3,7.065868263473054,18.52127985182976,0.37097096652375766
阿曼,3019,4341,322,1303,19,0.4%,500,87,68.57894736842105,227.15782500305085,0.0482998822753922
亚美尼亚,2326,4044,142,1666,52,1.3%,290,139,32.03846153846154,137.740591308949,0.13418953135854514
卢森堡,147,3915,11,3665,103,2.6%,60,653,35.58252427184466,2420.5798824384124,1.9118152035711966
匈牙利,1688,3417,39,1287,442,12.9%,970,35,2.911764705882353,17.24979091162531,2.0345636459380536
玻利维亚,2864,3372,184,356,152,4.5%,1121,30,2.3421052631578947,8.177741840635107,1.4908040926495512
伊拉克,1000,3143,111,2028,115,3.7%,4040,8,17.63478260869565,176.3478260869565,0.5670611439842209
泰国,115,3025,1,2854,56,1.9%,6930,4,50.964285714285715,4431.677018633541,1.7062246732275066
喀麦隆,1262,2954,154,1553,139,4.7%,2405,12,11.172661870503598,88.53139358560696,0.7092249243068219
阿塞拜疆,1011,2879,121,1833,35,1.2%,1000,29,52.371428571428574,518.0161085205596,0.18886627889721522
希腊,1240,2770,10,1374,156,5.6%,1110,25,8.807692307692308,71.02977667493798,0.9156219185800818
乌兹别克斯坦,505,2652,68,2136,11,0.4%,3280,8,194.1818181818182,3845.184518451845,0.10197648978380983
几内亚,1563,2473,76,895,15,0.6%,1270,19,59.666666666666664,381.74450842397096,0.10722825679022936
洪都拉斯,1932,2318,175,253,133,5.7%,911,25,1.9022556390977443,9.846043680630146,2.720971530045254
塞内加尔,1395,2310,84,890,25,1.1%,1670,14,35.6,255.19713261648747,0.20136120172365188
波斯尼亚和黑塞哥维那,772,2236,37,1336,128,5.7%,350,64,10.4375,135.20077720207254,1.2410412335949863
克罗地亚,258,2222,8,1869,95,4.3%,410,54,19.673684210526314,762.5458996328028,1.9701287012496838
保加利亚,1491,2138,31,545,102,4.8%,700,31,5.3431372549019605,35.835930616378,1.2552378491130267
