地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,2526,67801,0,62098,3177
广东省,118,1467,11,1341,8
河南省,2,1275,0,1251,22
浙江省,25,1251,4,1225,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,1,936,0,934,1
山东省,13,772,1,752,7
江苏省,10,641,0,631,-
重庆市,2,578,0,570,6
北京市,156,573,3,409,8
中国香港,445,561,65,112,4
四川省,9,548,0,536,3
上海市,143,485,17,337,5
黑龙江省,2,484,0,469,13
福建省,41,337,6,295,1
河北省,3,319,0,310,6
中国台湾,252,283,15,29,2
广西壮族自治区,2,254,0,250,2
陕西省,8,253,1,242,3
云南省,6,180,0,172,2
海南省,0,168,0,162,6
天津市,25,161,4,133,3
贵州省,0,146,0,144,2
甘肃省,9,136,0,125,2
山西省,2,135,0,133,-
辽宁省,6,132,3,124,2
吉林省,4,97,2,92,1
内蒙古自治区,19,94,2,74,1
新疆维吾尔自治区,0,76,0,73,3
宁夏回族自治区,0,75,0,75,-
中国澳门,25,35,2,10,-
青海省,0,18,0,18,-
西藏自治区,0,1,0,1,-
美国,102232,104837,18313,894,1711
意大利,67003,86498,5959,10361,9134
西班牙,54273,72248,7862,12285,5690
德国,42896,50871,9934,7632,343
伊朗,21212,35408,2926,11679,2517
法国,25707,33402,3809,5700,1995
英国,15920,17089,2921,150,1019
瑞士,11448,13213,1447,1530,235
荷兰,6623,9762,1172,2500,639
韩国,4523,9478,146,4811,144
比利时,8234,9134,1850,547,353
奥地利,7620,7697,1001,9,68
土耳其,5606,5698,2069,-,92
加拿大,4378,4633,590,202,53
葡萄牙,4149,4268,724,43,76
挪威,3696,3721,406,6,19
澳大利亚,3449,3635,212,172,14
以色列,3369,3460,425,79,12
瑞典,2937,3046,240,17,92
巴西,2892,2975,431,6,77
捷克,2401,2422,143,11,10
马来西亚,1973,2320,159,320,27
爱尔兰,2094,2121,302,5,22
丹麦,1993,2046,169,1,52
智利,1562,1610,304,43,5
卢森堡,1584,1605,152,6,15
日本,1170,1595,106,372,53
波兰,1360,1389,168,13,16
厄瓜多尔,1345,1382,171,3,34
巴基斯坦,1264,1296,61,23,9
罗马尼亚,1153,1292,263,115,24
俄罗斯,1224,1264,228,38,2
沙特阿拉伯,1162,1203,99,37,4
南非,1169,1170,243,-,1
芬兰,1144,1163,67,10,9
印度尼西亚,1007,1155,109,46,102
泰国,1035,1136,91,97,4
菲律宾,972,1075,272,35,68
希腊,919,966,74,19,28
印度,819,918,149,80,19
冰岛,806,890,88,82,2
巴拿马,770,786,112,2,14
新加坡,547,732,49,183,2
墨西哥,701,717,132,4,12
钻石公主号邮轮,99,712,0,603,10
阿根廷,621,690,101,52,17
秘鲁,610,635,55,14,11
斯洛文尼亚,613,632,70,10,9
克罗地亚,546,586,91,37,3
爱沙尼亚,563,575,37,11,1
卡塔尔,519,562,13,43,-
哥伦比亚,523,539,48,10,6
埃及,390,536,41,116,30
塞尔维亚,507,528,71,15,6
伊拉克,333,506,48,131,42
多米尼加共和国,475,488,96,3,10
巴林,215,473,7,254,4
阿联酋,411,468,63,55,2
新西兰,401,451,83,50,-
黎巴嫩,377,412,21,27,8
阿尔及利亚,351,409,42,32,26
亚美尼亚,343,372,42,28,1
摩洛哥,324,358,13,11,23
立陶宛,352,358,68,1,5
匈牙利,298,343,43,34,11
保加利亚,307,313,29,3,3
乌克兰,297,310,92,8,5
