地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
湖北省,146,67803,0,64435,3222,-1,-1
广东省,92,1571,5,1471,8,-1,-1
河南省,0,1276,0,1254,22,-1,-1
浙江省,23,1268,0,1244,1,-1,-1
湖南省,1,1019,0,1014,4,-1,-1
中国香港,553,1016,4,459,4,-1,-1
安徽省,1,991,0,984,6,-1,-1
江西省,0,937,0,936,1,-1,-1
黑龙江省,377,861,20,471,13,-1,-1
山东省,16,784,0,761,7,-1,-1
江苏省,11,653,0,642,-1,-1,-1
上海市,132,628,6,489,7,-1,-1
北京市,82,593,3,503,8,-1,-1
重庆市,3,579,0,570,6,-1,-1
四川省,5,560,0,552,3,-1,-1
中国台湾,234,395,2,155,6,-1,-1
福建省,19,353,0,333,1,-1,-1
河北省,7,328,1,315,6,-1,-1
陕西省,2,256,0,251,3,-1,-1
广西壮族自治区,0,254,0,252,2,-1,-1
山西省,59,194,8,135,-1,-1,-1
内蒙古自治区,98,193,3,94,1,-1,-1
天津市,11,186,0,172,3,-1,-1
云南省,6,184,0,176,2,-1,-1
海南省,0,168,0,162,6,-1,-1
贵州省,1,147,0,144,2,-1,-1
辽宁省,5,145,0,138,2,-1,-1
甘肃省,1,139,0,136,2,-1,-1
吉林省,5,102,0,96,1,-1,-1
新疆维吾尔自治区,0,76,0,73,3,-1,-1
宁夏回族自治区,0,75,0,75,-1,-1,-1
中国澳门,29,45,0,16,-1,-1,-1
青海省,0,18,0,18,-1,-1,-1
西藏自治区,0,1,0,1,-1,-1,-1
美国,561241,644806,30606,52640,30925,32910,196
西班牙,88889,182816,5092,74797,19130,4640,394
意大利,105418,165155,2667,38092,21645,5920,279
法国,99741,147863,4560,30955,17167,6550,226
德国,43223,135307,2345,88227,3857,8240,164
英国,87446,103093,4603,1918,13729,6700,154
伊朗,20897,77995,1512,52229,4869,8280,94
土耳其,62200,69392,4281,5674,1518,8300,84
比利时,22390,34809,2454,7562,4857,1160,300
荷兰,25595,29214,734,304,3315,1710,171
巴西,13229,29015,1961,14026,1760,21240,14
加拿大,18264,28253,1383,8979,1010,3730,76
俄罗斯,25402,27938,3388,2304,232,14390,19
瑞士,10063,26732,502,15400,1269,860,311
葡萄牙,17719,18841,643,493,629,1030,183
奥地利,5921,14412,175,8098,393,880,164
印度,10821,12759,1118,1515,423,136870,1
以色列,9827,12591,332,2624,140,860,146
爱尔兰,12026,12547,1068,77,444,480,261
瑞典,10826,12540,482,381,1333,1010,124
秘鲁,8113,11475,1172,3108,254,3290,35
韩国,2627,10613,22,7757,229,5130,21
日本,8133,9220,473,901,186,12690,7
智利,5242,8273,356,2937,94,1830,45
厄瓜多尔,6695,7858,255,780,383,1710,46
波兰,6705,7771,359,774,292,3800,20
罗马尼亚,5963,7707,337,1357,387,1950,40
巴基斯坦,5146,6919,272,1645,128,20460,3
丹麦,3535,6879,193,3023,321,580,119
挪威,6616,6798,81,32,150,540,126
澳大利亚,2658,6468,47,3747,63,2510,26
沙特阿拉伯,5307,6380,493,990,83,3410,19
捷克,5306,6303,92,831,166,1060,59
墨西哥,3273,5847,325,2125,449,13230,4
菲律宾,4863,5660,230,435,362,10810,5
印度尼西亚,4470,5516,297,548,498,26950,2
阿联酋,4298,5365,432,1034,33,970,55
塞尔维亚,4772,5318,408,443,103,870,61
马来西亚,2332,5182,85,2766,84,3250,16
白俄罗斯,3961,4204,447,203,40,940,45
乌克兰,3859,4161,392,186,116,4380,10
卡塔尔,3681,4103,283,415,7,270,152
巴拿马,3573,3751,102,75,103,420,89
新加坡,3037,3699,447,652,10,590,63
多米尼加共和国,3217,3614,119,208,189,1083.5,33
卢森堡,2778,3373,66,526,69,60,562
芬兰,2994,3369,76,300,75,560,60
哥伦比亚,2522,3105,127,452,131,4980,6
泰国,1032,2671,30,1593,46,6930,4
阿根廷,1825,2571,166,631,115,4510,6
南非,2062,2506,91,410,34,5810,4
埃及,1733,2505,160,589,183,10120,2
摩洛哥,1876,2251,150,247,128,3660,6
希腊,1821,2192,22,269,102,1110,20
阿尔及利亚,1116,2160,87,708,336,4270,5
摩尔多瓦,1827,2049,115,171,51,400,51
克罗地亚,1227,1791,37,529,35,410,44
冰岛,642,1727,7,1077,8,30,576
巴林,988,1698,149,703,7,160,106
匈牙利,1311,1652,67,199,142,970,17
孟加拉国,1463,1572,219,49,60,16470,1
科威特,1296,1524,50,225,3,420,36
爱沙尼亚,1265,1434,27,133,36,130,110
伊拉克,524,1415,15,812,79,4040,4
新西兰,622,1401,20,770,9,480,29
哈萨克斯坦,1072,1362,111,273,17,1860,7
乌兹别克斯坦,1238,1349,162,107,4,3280,4
阿塞拜疆,808,1283,56,460,15,1000,13
斯洛文尼亚,1033,1268,28,174,61,210,60
亚美尼亚,783,1159,44,358,18,290,40
波斯尼亚和黑塞哥维那,843,1155,27,269,43,350,33
立陶宛,920,1128,21,178,30,290,39
阿曼,839,1019,97,176,4,500,20
斯洛伐克,818,977,28,151,8,550,18
北马其顿,831,974,66,98,45,210,46
波多黎各,923,974,51,-1,51,341.1,29
喀麦隆,666,848,0,165,17,2405,4
阿富汗,756,840,70,54,30,3680,2
古巴,639,814,40,151,24,1122,7
保加利亚,624,783,40,122,37,700,11
突尼斯,702,780,21,43,35,1180,7
塞浦路斯,638,715,20,65,12,120,60
钻石公主号邮轮,55,712,0,645,12,-1,-1
拉脱维亚,613,675,9,57,5,7.3,36
安道尔,471,673,14,169,33,610,927
黎巴嫩,557,663,17,85,21,2490,11
科特迪瓦,534,654,12,114,6,2950,3
加纳,550,641,0,83,8,500,2
哥斯达黎加,555,626,14,67,4,2150,13
尼日尔,480,584,22,90,14,1919,3
布基纳法索,284,542,13,226,32,290,3
阿尔巴尼亚,215,518,19,277,26,350,18
乌拉圭,212,493,0,272,9,640,14
吉尔吉斯斯坦,370,466,19,91,5,1121,7
玻利维亚,398,441,43,14,29,94,4
吉布提,362,435,137,71,2,3.2,46
圣马力诺,333,426,1,55,38,911,1331
洪都拉斯,382,426,12,9,35,40,5
马耳他,327,412,6,82,3,20100,103
尼日利亚,287,407,30,108,12,1270,0
几内亚,372,404,85,31,1,1010,3
约旦,144,401,6,250,7,82.7,4
留尼汪岛,154,391,0,237,-1,505.2,47
巴勒斯坦,308,373,0,63,2,390,7
格鲁吉亚,259,336,10,74,3,1670,9
塞内加尔,139,335,15,194,2,126,2
毛里求斯,250,324,0,65,9,62.2,26
黑山,238,288,10,46,4,8.5,46
马恩岛,126,283,14,153,4,8130,334
刚果,222,267,13,23,22,9740,0
越南,98,267,1,169,-1,2100,0
斯里兰卡,168,238,14,63,7,21.6,1
马约特岛,161,233,10,69,3,5140,108
肯尼亚,162,225,9,53,10,6.5,0
根西岛,203,209,0,-1,6,9.8,320
泽西岛,194,198,0,-1,4,3280,202
委内瑞拉,77,197,8,111,9,1658.2,1
危地马拉,172,196,13,19,5,4.8,1
法罗群岛,18,184,0,166,-1,705.3,379
巴拉圭,136,174,2,30,8,642,2
萨尔瓦多,123,159,10,30,6,38,2
马提尼克,77,158,1,73,8,1951.7,42
马里,101,148,0,34,13,40,1
瓜德罗普岛,70,145,0,67,8,40,36
文莱,27,136,0,108,1,1200,34
卢旺达,82,136,7,54,-1,16.6,1
关岛,111,135,2,19,5,3.4,81
直布罗陀,26,131,2,104,1,284,381
牙买加,99,125,32,21,5,1650,4
柬埔寨,26,122,0,96,-1,-1,1
刚果,101,117,47,11,5,2520,-1
特立尼达和多巴哥,87,114,1,19,8,5910,9
马达加斯加,78,111,2,33,-1,3.8,0
