地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,1283,67802,1,63326,3193
广东省,136,1501,11,1357,8
河南省,3,1276,0,1251,22
浙江省,30,1257,0,1226,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,1,937,0,935,1
山东省,14,774,0,753,7
中国香港,633,765,32,128,4
江苏省,15,646,0,631,-
北京市,154,580,0,418,8
重庆市,3,579,0,570,6
四川省,13,552,2,536,3
上海市,169,516,7,341,6
黑龙江省,2,484,0,469,13
福建省,49,345,2,295,1
中国台湾,285,329,16,39,5
河北省,7,323,2,310,6
陕西省,10,255,2,242,3
广西壮族自治区,2,254,0,250,2
云南省,8,182,1,172,2
天津市,38,176,0,135,3
海南省,0,168,0,162,6
贵州省,1,147,0,144,2
辽宁省,14,140,1,124,2
甘肃省,11,138,0,125,2
山西省,4,137,1,133,-
内蒙古自治区,36,111,4,74,1
吉林省,5,98,0,92,1
新疆维吾尔自治区,0,76,0,73,3
宁夏回族自治区,0,75,0,75,-
中国澳门,31,41,2,10,-
青海省,0,18,0,18,-
西藏自治区,0,1,0,1,-
美国,178090,189297,24523,7136,4071
意大利,77956,106128,4053,15729,12443
西班牙,70436,102136,9222,22647,9053
德国,53987,71985,4900,17220,778
法国,39791,52836,7578,9513,3532
伊朗,29084,47593,3111,15473,3036
英国,23509,25481,3009,179,1793
瑞士,14883,17139,701,1823,433
比利时,11004,13964,876,2132,828
荷兰,12188,13614,912,253,1173
土耳其,13074,13531,2704,243,214
奥地利,9221,10444,676,1095,128
韩国,4155,9887,101,5567,165
加拿大,6898,8591,1388,1592,101
葡萄牙,8021,8251,1035,43,187
巴西,5460,5812,405,150,202
以色列,5344,5591,484,226,21
瑞典,4690,4947,407,18,239
澳大利亚,4482,4860,314,358,20
挪威,4651,4705,279,13,41
捷克,3181,3257,143,45,31
爱尔兰,3159,3235,295,5,71
丹麦,2872,3039,270,77,90
俄罗斯,2563,2777,501,190,24
马来西亚,2186,2766,140,537,43
智利,2570,2738,289,156,12
菲律宾,2173,2311,538,50,88
波兰,2265,2311,310,13,33
日本,1811,2301,254,424,66
罗马尼亚,1940,2245,293,220,85
厄瓜多尔,2111,2240,42,54,75
卢森堡,2075,2178,190,80,23
巴基斯坦,1854,1938,240,58,26
泰国,1417,1771,127,342,12
印度尼西亚,1439,1677,114,81,157
印度,1466,1637,180,133,38
沙特阿拉伯,1388,1563,110,165,10
芬兰,1423,1446,75,10,13
南非,1317,1353,46,31,5
希腊,1213,1314,102,52,49
墨西哥,1151,1215,101,35,29
冰岛,935,1135,49,198,2
多米尼加共和国,1053,1109,42,5,51
巴拿马,1039,1075,86,9,27
秘鲁,641,1065,98,394,30
阿根廷,787,1054,146,240,27
新加坡,683,926,47,240,3
哥伦比亚,859,906,96,31,16
塞尔维亚,835,900,115,42,23
克罗地亚,794,867,77,67,6
斯洛文尼亚,777,802,46,10,15
卡塔尔,717,781,59,62,2
爱沙尼亚,742,779,30,33,4
阿尔及利亚,595,716,73,77,44
钻石公主号邮轮,82,712,0,619,11
埃及,507,710,47,157,46
新西兰,633,708,58,74,1
伊拉克,474,694,64,170,50
乌克兰,642,669,69,10,17
阿联酋,597,664,53,61,6
摩洛哥,578,638,58,24,36
亚美尼亚,537,571,50,31,3
巴林,249,569,52,316,4
立陶宛,522,537,49,7,8
匈牙利,439,492,45,37,16
黎巴嫩,421,470,17,37,12
波斯尼亚和黑塞哥维那,394,424,57,17,13
斯洛伐克,393,400,27,7,-
保加利亚,374,399,25,17,8
拉脱维亚,397,398,22,1,-
突尼斯,381,394,50,3,10
安道尔,354,376,36,10,12
哈萨克斯坦,343,372,34,26,3
摩尔多瓦,327,353,90,22,4
哥斯达黎加,341,347,16,4,2
乌拉圭,296,338,16,41,1
北马其顿,308,329,26,12,9
科威特,237,317,23,80,-
阿塞拜疆,267,298,89,26,5
约旦,239,274,9,30,5
塞浦路斯,233,262,16,22,7
布基纳法索,215,261,24,32,14
阿尔巴尼亚,176,243,20,52,15
波多黎各,231,239,95,-,8
圣马力诺,197,236,6,13,26
喀麦隆,222,233,54,5,6
越南,155,212,13,57,-
阿曼,175,210,13,34,1
留尼汪岛,206,207,62,1,-
阿富汗,187,196,29,5,4
加纳,187,195,0,3,5
塞内加尔,144,190,13,45,1
马耳他,186,188,13,2,-
古巴,172,186,31,8,6
科特迪瓦,171,179,3,7,1
乌兹别克斯坦,163,172,18,7,2
法罗群岛,168,168,9,-,-
白俄罗斯,104,152,58,47,1
斯里兰卡,124,143,20,17,2
毛里求斯,140,143,33,-,3
洪都拉斯,131,141,2,3,7
尼日利亚,128,139,24,9,2
委内瑞拉,93,135,16,39,3
巴勒斯坦,115,134,2,18,1
文莱,78,131,2,52,1
格鲁吉亚,93,115,12,22,-
马提尼克,109,111,6,-,2
刚果,98,109,17,3,8
黑山,107,109,20,-,2
柬埔寨,86,109,2,23,-
玻利维亚,101,107,11,-,6
吉尔吉斯斯坦,104,107,23,3,-
瓜德罗普岛,102,106,10,-,4
特立尼达和多巴哥,83,87,7,1,3
马约特岛,82,82,32,-,-
卢旺达,75,75,0,-,-
关岛,72,73,0,-,1
直布罗陀,55,69,9,14,-
列支敦士登,68,68,1,-,-
巴拉圭,61,65,1,1,3
泽西岛,61,63,2,-,2
肯尼亚,57,59,17,1,1
马达加斯加,57,57,7,-,-
孟加拉国,23,54,3,25,6
摩纳哥,49,52,3,2,1
阿鲁巴岛,49,50,4,1,-
根西岛,45,45,9,-,-
乌干达,44,44,0,-,-
法属圭亚那,37,43,12,6,-
危地马拉,25,38,2,12,1
多哥,24,36,4,10,2
法属波里尼西亚,36,36,1,-,-
牙买加,33,36,4,2,1
赞比亚,36,36,1,-,-
尼日尔,31,34,0,-,3
巴巴多斯,34,34,0,-,-
马恩岛,32,32,0,-,-
萨尔瓦多,31,32,0,-,1
几内亚,30,30,0,-,-
维尔京群岛,30,30,8,-,-
吉布提,30,30,7,-,-
埃塞俄比亚,27,29,4,2,-
马里,26,28,3,-,2
百慕大群岛,22,22,5,-,-
刚果,17,22,0,2,3
圭亚那,19,20,0,-,1
坦桑尼亚,18,19,0,1,-
圣马丁岛,17,18,0,-,1
马尔代夫,5,18,1,13,-
加蓬,17,18,9,-,1
新喀里多尼亚群岛,15,15,0,-,-
赤道几内亚,14,15,0,1,-
海地,15,15,0,-,-
缅甸,14,15,1,-,1
厄立特里亚,15,15,3,-,-
蒙古,14,14,0,-,-
巴哈马,13,14,0,1,-
多米尼克国,12,12,0,-,-
荷属安的列斯群岛,10,11,0,-,1
纳米比亚,9,11,0,2,-
叙利亚,8,10,0,-,2
塞舌尔,10,10,0,-,-
格陵兰岛,10,10,0,-,-
老挝,9,9,0,-,-
贝宁,9,9,0,-,-
格林纳达,9,9,0,-,-
斯威士兰,9,9,0,-,-
苏里南,9,9,0,-,-
圣卢西亚,8,9,0,1,-
几内亚比绍,8,8,0,-,-
津巴布韦,7,8,1,-,1
利比亚,8,8,0,-,-
开曼群岛,7,8,0,-,1
莫桑比克,8,8,0,-,-
圣克里斯托弗和尼维斯,8,8,6,-,-
乍得,7,7,0,-,-
苏丹,5,7,1,-,2
安提瓜和巴布达,7,7,0,-,-
安哥拉,5,7,0,-,2
毛里塔尼亚,3,6,0,2,1
梵蒂冈,6,6,0,-,-
佛得角,5,6,0,-,1
中非,6,6,0,-,-
特克斯和凯科斯群岛,5,5,2,-,-
索马里,5,5,0,-,-
斐济,5,5,0,-,-
尼泊尔,4,5,0,1,-
蒙特塞拉特岛,5,5,0,-,-
博茨瓦纳,3,4,3,-,1
不丹,4,4,0,-,-
尼加拉瓜,3,4,0,-,1
冈比亚,3,4,0,-,1
伯利兹,3,3,0,-,-
圣巴泰勒米岛,3,3,0,-,-
利比里亚,3,3,0,-,-
安圭拉岛,2,2,0,-,-
马里亚纳群岛,2,2,0,-,-
维尔京群岛,2,2,0,-,-
布隆迪,2,2,2,-,-
巴布亚新几内亚,1,1,0,-,-
东帝汶,1,1,0,-,-
塞拉利昂,1,1,1,-,-
圣文森特岛,1,1,0,-,-
