地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1052654,1457593,26608,318027,86912,6%,32910,443,3.659184002209131,0.03476150760087485,0.0025961519422293936
西班牙,60428,274367,1551,186480,27459,10%,4640,591,6.7912159947558175,1.1238525178321006,0.024367682986204203
俄罗斯,202199,262843,9974,58226,2418,0.9%,14390,183,24.08023159636063,1.1909174425373334,0.0020538103450884727
英国,197619,233151,3446,1918,33614,14.4%,6700,348,0.05705955851728446,0.002887351849634117,0.8868351446599504
意大利,76440,223096,992,115288,31368,14.1%,5920,377,3.67533792399898,0.4808134385137336,0.03559443025327221
巴西,109687,203165,13944,79479,13999,6.9%,21240,96,5.677476962640188,0.5176070967972676,0.016057926320256165
法国,91840,178870,810,59605,27425,15.3%,6550,273,2.1733819507748406,0.23664873157391556,0.050099347416952544
德国,15215,175493,664,152263,8015,4.6%,8240,213,18.997255146600125,12.485872590601462,0.03459690011041203
土耳其,36712,144749,1635,104030,4007,2.8%,8300,174,25.9620663838283,7.07182021786563,0.010491865130930622
伊朗,17140,114533,1808,90539,6854,6%,8280,138,13.20965859352203,7.706918665998851,0.04416696825518811
印度,51477,82103,3942,27977,2649,3.2%,136870,6,10.561343903359758,2.0516626655321324,0.01839363594527915
秘鲁,53186,80604,4298,25151,2267,2.8%,3290,245,11.094397882664314,2.085962073226848,0.016947238199942673
加拿大,32966,73568,1290,35177,5425,7.4%,3730,197,6.484239631336406,1.9669476525318224,0.04678155887540417
比利时,31274,54288,307,14111,8903,16.4%,1160,468,1.584971357969224,0.5068016109129705,0.2017414554471999
沙特阿拉伯,27535,46869,2039,19051,283,0.6%,3410,137,67.31802120141343,24.448164591034477,0.005394902219637202
荷兰,37569,43481,270,322,5590,12.9%,1710,254,0.05760286225402504,0.015332551373213299,4.620897135192571
墨西哥,9643,42595,1862,28475,4477,10.5%,13230,32,6.360285905740451,6.5957543355184605,0.16304639274423524
巴基斯坦,26260,37218,490,10155,803,2.2%,20460,18,12.646326276463263,4.815813509696596,0.030112089722777527
智利,21017,37040,2659,15655,368,1%,1830,202,42.54076086956522,20.24111950781045,0.01118469182838361
厄瓜多尔,24731,30502,16,3433,2338,7.7%,1710,178,1.4683490162532078,0.5937281210841486,0.27537786336294584
瑞士,1493,30463,50,27100,1870,6.1%,860,354,14.491978609625669,97.06616617297836,0.4621814469986628
瑞典,20082,28582,673,4971,3529,12.3%,1010,283,1.408614338339473,0.7014313008363077,0.3535093723859314
葡萄牙,23937,28319,187,3198,1184,4.2%,1030,275,2.7010135135135136,1.1283843061008119,0.15466908744689747
卡塔尔,24902,28272,1733,3356,14,0%,270,1047,239.71428571428572,96.26306550248401,0.0016752200210043873
新加坡,20897,26891,752,5973,21,0.1%,590,456,284.42857142857144,136.10976285044333,0.0016824525986405736
