地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,万人确诊治愈死亡比,万人确诊死亡治愈比
伊拉克,617,2085,82,1375,93,4.5%,4040,5,239.62635715655006,1.0962133490496537
乌兹别克斯坦,884,2075,48,1182,9,0.4%,3280,6,1485.6711915535445,0.08613363346119393
加纳,1845,2074,403,212,17,0.8%,2950,7,67.59126414793559,0.43462698777931175
尼日利亚,1555,1932,196,319,58,3%,20100,1,35.36977491961415,1.169248757673195
阿塞拜疆,464,1854,38,1365,25,1.3%,1000,19,1176.7241379310344,0.3947202223064292
喀麦隆,837,1832,26,934,61,3.3%,2405,8,182.93280059541297,0.7802926225251291
波斯尼亚和黑塞哥维那,956,1781,80,755,70,3.9%,350,51,112.82127913927077,0.9698246002937183
爱沙尼亚,1389,1694,23,253,52,3.1%,130,130,35.027966993409756,1.4797235193516536
保加利亚,1199,1541,51,276,66,4.3%,700,22,34.87754947304572,1.994415636218588
古巴,759,1501,30,681,61,4.1%,1122,13,147.08741009525042,1.1801601535369013
几内亚,1159,1495,111,329,7,0.5%,1270,12,405.5220017256255,0.18357718502744477
北马其顿,606,1494,23,807,81,5.4%,210,71,164.4053294218311,1.6562994589421767
新西兰,208,1479,2,1252,19,1.3%,480,31,3168.0161943319836,0.7296018677807814
斯洛文尼亚,1109,1434,11,233,92,6.4%,210,68,22.836868310659817,3.560412853090399
斯洛伐克,822,1403,5,558,23,1.6%,550,26,295.1443986036179,0.5014432845843253
立陶宛,760,1399,10,594,45,3.2%,290,48,173.68421052631578,0.9968102073365231
科特迪瓦,667,1238,55,557,14,1.1%,2490,5,596.4874705504391,0.37683133298700744
玻利维亚,973,1167,57,132,62,5.3%,1121,10,21.881112621423597,4.827306985580368
吉布提,423,1097,12,672,2,0.2%,94,117,7943.2624113475185,0.0703591129123044
塞内加尔,659,1024,51,356,9,0.9%,1670,6,600.2360478839994,0.38362517263132767
突尼斯,648,994,5,305,41,4.1%,1180,8,114.79975910870222,2.0744788504351344
拉脱维亚,506,870,9,348,16,1.8%,190,46,429.8418972332016,0.9086365907955114
塞浦路斯,539,850,6,296,15,1.8%,120,71,366.11008039579474,0.9401795116080831
洪都拉斯,617,804,33,112,75,9.3%,911,9,24.203133441383038,10.853206760824264
阿尔巴尼亚,272,773,7,470,31,4%,290,27,557.4003795066413,2.424906132665832
吉尔吉斯斯坦,244,756,17,504,8,1.1%,640,12,2581.967213114754,0.6505334374186833
黎巴嫩,513,729,4,192,24,3.3%,610,12,155.94541910331384,2.4366471734892787
