地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数,每10万人确诊
塞浦路斯,398,446,30,37,11,350,37
乌拉圭,296,406,14,104,6,3280,12
乌兹别克斯坦,358,390,71,30,2,3680,1
阿富汗,345,367,38,15,7,290,1
阿尔巴尼亚,237,361,28,104,20,1010,12
约旦,230,345,13,110,5,1919,3
布基纳法索,238,345,16,90,17,82.7,2
留尼汪岛,333,334,13,1,-,500,40
阿曼,268,331,21,61,2,1122,7
古巴,299,320,19,15,6,911,3
洪都拉斯,270,298,4,6,22,3.2,3
圣马力诺,199,266,15,35,32,2490,831
科特迪瓦,221,261,27,37,3,505.2,1
巴勒斯坦,219,246,16,26,1,40,5
马耳他,236,241,14,5,-,9740,60
越南,151,241,2,90,-,20100,0
尼日利亚,194,232,14,33,5,126,0
毛里求斯,213,227,31,7,7,1670,18
塞内加尔,132,226,3,92,2,62.2,1
黑山,220,223,6,1,2,640,36
吉尔吉斯斯坦,203,216,3,9,4,2950,3
加纳,178,214,9,31,5,390,1
格鲁吉亚,150,188,14,36,2,2150,5
尼日尔,161,184,24,13,10,4.8,1
法罗群岛,76,183,2,107,-,1121,377
玻利维亚,170,183,18,2,11,2100,2
斯里兰卡,138,176,9,33,5,3280,1
委内瑞拉,100,159,2,52,7,5140,0
肯尼亚,148,158,0,4,6,8130,0
刚果,133,154,6,3,18,21.6,0
马约特岛,145,147,19,-,2,38,68
马提尼克,142,145,7,-,3,6.5,38
根西岛,134,136,22,-,2,40,208
文莱,61,135,0,73,1,40,34
瓜德罗普岛,123,130,0,-,7,8.5,33
马恩岛,125,126,12,-,1,16470,149
孟加拉国,77,123,18,33,13,9.8,0
泽西岛,120,123,5,-,3,1270,126
几内亚,116,121,38,5,-,1650,1
柬埔寨,64,114,0,50,-,705.3,1
巴拉圭,96,113,8,12,5,121.8,2
特立尼达和多巴哥,97,105,2,1,7,1200,9
卢旺达,100,104,13,4,-,3.4,1
直布罗陀,83,98,3,14,1,16.6,285
关岛,89,93,9,-,4,3.8,56
列支敦士登,76,77,2,-,1,3.8,203
摩纳哥,69,73,2,3,1,2520,191
马达加斯加,70,70,0,-,-,642,0
萨尔瓦多,64,69,6,2,3,10.5,1
阿鲁巴岛,63,64,2,1,-,29,61
法属圭亚那,56,62,5,6,-,1658.2,21
危地马拉,44,61,11,15,2,94,0
吉布提,50,59,9,9,-,284,6
牙买加,45,55,2,7,3,425,2
多哥,27,52,3,22,3,28.1,1
巴巴多斯,52,52,1,-,-,-,19
刚果,42,49,0,2,5,1951.7,-
乌干达,48,48,0,-,-,10500,0
马里,41,47,0,1,5,28,0
埃塞俄比亚,38,43,5,4,1,10.8,0
法属波里尼西亚,40,40,1,-,-,1760,14
维尔京群岛,40,40,3,-,-,3.1,37
赞比亚,35,39,0,3,1,-,0
圣马丁岛,35,37,1,-,2,670,119
百慕大群岛,35,35,0,-,-,37.2,-
圭亚那,25,29,1,-,4,-,4
厄立特里亚,29,29,7,-,-,5288.5,0
巴哈马,23,28,4,1,4,1200,8
开曼群岛,27,28,0,-,1,5910,-
加蓬,22,24,0,1,1,44,1
缅甸,20,21,0,-,1,1827,0
海地,20,21,1,1,-,28,0
坦桑尼亚,16,20,0,3,1,160,0
马尔代夫,6,19,0,13,-,627.7,4
叙利亚,15,19,3,2,2,130,0
新喀里多尼亚群岛,18,18,0,-,-,253,6
几内亚比绍,18,18,3,-,-,1120,1
利比亚,17,18,7,-,1,320,0
赤道几内亚,15,16,0,1,-,10.4,1
纳米比亚,13,16,2,3,-,88.5,1
贝宁,14,16,0,2,-,17.6,0
蒙古,13,15,0,2,-,-,0
安提瓜和巴布达,15,15,0,-,-,706.2,14
斐济,14,14,0,-,-,-,2
圣卢西亚,13,14,1,1,-,3050,8
多米尼克国,14,14,0,-,-,2925,-
利比里亚,7,13,3,3,3,7.6,0
老挝,12,12,1,-,-,59.7,0
格林纳达,12,12,0,-,-,-,-
荷属安的列斯群岛,10,11,0,-,1,139,-
塞舌尔,10,10,0,-,-,2898,10
莫桑比克,9,10,0,1,-,1490,0
安哥拉,6,10,2,2,2,4312,0
格陵兰岛,10,10,0,-,-,474,13
苏里南,10,10,0,-,-,-,2
圣克里斯托弗和尼维斯,9,9,0,-,-,1518,-
津巴布韦,8,9,0,-,1,54,0
斯威士兰,8,9,0,1,-,-,1
尼泊尔,8,9,0,1,-,38.7,0
乍得,9,9,0,-,-,75.4,0
苏丹,4,8,0,2,2,-,0
中非,5,8,0,3,-,-,0
马里亚纳群岛,7,8,0,-,1,-,-
梵蒂冈,7,7,0,-,-,11,875
索马里,6,7,0,1,-,-,0
佛得角,6,7,0,-,1,129.6,1
