地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,954962,1212955,23731,188068,69925,5.8%,32910,369,2.6895673936360387,0.028164130024399284,0.003893421999792261
西班牙,101462,250561,1179,123486,25613,10.2%,4640,540,4.821223597391949,0.47517529689853827,0.02044274953392295
意大利,99980,211938,1221,82879,29079,13.7%,5920,358,2.8501323979504107,0.28507025384581025,0.03509310798078244
英国,159932,190584,3099,1918,28734,15.1%,6700,284,0.06675019141087214,0.004173660769006337,0.9367250111537236
法国,93008,169583,769,51371,25204,14.9%,6550,259,2.0382082209173147,0.2191433232536249,0.052751054474407394
德国,22492,166994,513,137386,7116,4.3%,8240,203,19.306632939853852,8.583777760916705,0.023028485947157055
俄罗斯,134054,155370,10582,19865,1451,0.9%,14390,108,13.690558235699518,1.0212718930952838,0.00544877739743192
土耳其,56032,127659,1614,68166,3461,2.7%,8300,154,19.695463738803813,3.515038502784804,0.009061449296023465
巴西,55438,108620,679,45815,7367,6.8%,21240,51,6.218949368806841,1.1217845825619326,0.029005170641174947
伊朗,13155,99970,1223,80475,6340,6.3%,8280,121,12.693217665615142,9.64896819887126,0.05988767047234393
加拿大,31496,60772,1142,25422,3854,6.3%,3730,163,6.5962636222106905,2.0943178886876717,0.04813340599854043
比利时,30052,50509,361,12441,8016,15.9%,1160,435,1.5520209580838322,0.5164451477718063,0.21440210170548848
秘鲁,31601,47372,1444,14427,1344,2.8%,3290,144,10.734375,3.3968466187778867,0.02947965597425726
印度,32056,46476,2573,12849,1571,3.4%,136870,3,8.178866963717377,2.5514309220480964,0.03814147873333115
荷兰,35366,40770,199,322,5082,12.5%,1710,238,0.06336088154269973,0.017915761336509566,4.46265019952841
厄瓜多尔,26879,31881,2343,3433,1569,4.9%,1710,186,2.1880178457616317,0.814025017955144,0.1700341022953119
瑞士,3025,30009,76,25200,1784,5.9%,860,349,14.125560538116591,46.696067894600304,0.2340285976649613
沙特阿拉伯,23989,28656,1645,4476,191,0.7%,3410,84,23.43455497382199,9.76887530694151,0.01778816482427845
葡萄牙,22749,25524,242,1712,1063,4.2%,1030,248,1.6105362182502352,0.7079591271045915,0.27294000393567674
墨西哥,9187,24905,1383,13447,2271,9.1%,13230,19,5.921180096873624,6.4451726318424125,0.18383068816406964
瑞典,15878,22721,404,4074,2769,12.2%,1010,225,1.4712892741061756,0.926621283603839,0.42806146498865333
爱尔兰,7067,21772,266,13386,1319,6.1%,480,454,10.148597422289614,14.360545383174776,0.1394308527728378
