地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,964787,1238083,25102,201011,72285,5.8%,32910,376,2.78081206336031,0.028823067302526983,0.003727322048041752
西班牙,68466,253682,2260,159359,25857,10.2%,4640,547,6.163089298835905,0.9001678641713996,0.023698812441042744
意大利,98467,213013,1075,85231,29315,13.8%,5920,360,2.9074194098584343,0.2952684056443716,0.034930243095711945
英国,164824,196243,3985,1918,29501,15%,6700,293,0.06501474526287244,0.0039444950530791905,0.9331848622225511
法国,92414,170687,1089,52736,25537,15%,6550,261,2.065082037827466,0.22345986948162247,0.052399232080584605
德国,21360,167840,897,139218,7262,4.3%,8240,204,19.170751858992013,8.975071095033714,0.0244207841951644
俄罗斯,143065,165929,10102,21327,1537,0.9%,14390,115,13.87573194534808,0.9698900461572069,0.005037449429821112
土耳其,52686,129491,1832,73285,3520,2.7%,8300,156,20.819602272727273,3.9516384376736275,0.009116588321115279
巴西,60112,116299,6794,48221,7966,6.8%,21240,55,6.053351744915893,1.0070122013767455,0.027481656811697158
伊朗,13645,101650,1323,81587,6418,6.3%,8280,123,12.712215643502649,9.316391090877719,0.05765078279060176
加拿大,32019,63215,156,27006,4190,6.6%,3730,169,6.445346062052506,2.012975440223775,0.04845582536938714
秘鲁,34332,51189,3817,15413,1444,2.8%,3290,156,10.67382271468144,3.1090011402427593,0.02728857835645791
比利时,29711,50781,242,12731,8339,16.4%,1160,438,1.5266818563376903,0.5138439824770927,0.22046222508259408
印度,33558,49436,3875,14183,1695,3.4%,136870,4,8.36755162241888,2.4934595692290604,0.035612751553507016
荷兰,35793,41319,317,322,5204,12.6%,1710,242,0.061875480399692546,0.017287033889222068,4.515265745601043
沙特阿拉伯,24946,31938,1595,6783,209,0.7%,3410,94,32.45454545454545,13.009919608171833,0.012351609448397334
瑞士,2865,30060,28,25400,1795,6%,860,350,14.15041782729805,49.390638140656364,0.24666419315386623
墨西哥,6708,26025,1434,16810,2507,9.6%,13230,20,6.705225368966893,9.995863698519518,0.222327695592502
葡萄牙,22885,25702,178,1743,1074,4.2%,1030,250,1.6229050279329609,0.7091566650351588,0.2692501646148876
瑞典,16903,23918,495,4074,2941,12.3%,1010,237,1.385243114586875,0.8195250041926729,0.4270809581402284
巴基斯坦,15807,22550,1315,6217,526,2.3%,20460,11,11.819391634980988,7.477314882634902,0.05352484563805936
智利,11031,22016,1373,10710,275,1.2%,1830,120,38.945454545454545,35.305461468094045,0.02327707138214425
爱尔兰,7258,21983,211,13386,1339,6.1%,480,458,9.997012696041823,13.773784370407583,0.1378201735550198
新加坡,18661,20198,632,1519,18,0.1%,590,342,84.38888888888889,45.22206145913342,0.006350089089986019
白俄罗斯,14755,19255,861,4388,112,0.6%,940,205,39.17857142857143,26.552742411773252,0.017298649129955174
卡塔尔,15890,17972,951,2070,12,0.1%,270,666,172.5,108.55884203901826,0.0036482702638611472
以色列,5549,16314,31,10527,238,1.5%,860,190,44.23109243697479,79.71002421512847,0.04074343205175895
奥地利,1437,15684,29,13639,608,3.9%,880,178,22.432565789473685,156.10692964143135,0.31021606293671644
日本,9672,15477,121,5238,567,3.7%,12690,12,9.238095238095237,9.551380519122453,0.11191834437594332
阿联酋,11893,15192,462,3153,146,1%,970,157,21.595890410958905,18.158488531874973,0.0389347567880415
波兰,9269,14647,305,4655,723,4.9%,3800,39,6.438450899031812,6.946219547989871,0.1675659333126985
罗马尼亚,7461,14107,325,5788,858,6.1%,1950,72,6.7459207459207455,9.041577195980091,0.19868346500628423
乌克兰,10760,13184,366,2097,327,2.5%,4380,30,6.412844036697248,5.959892227413799,0.14492291164754748
印度尼西亚,9226,12438,484,2317,895,7.2%,26950,5,2.588826815642458,2.806012156560219,0.4186812877345282
