地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
湖北省,122,68128,0,63494,4512,-1,-1
广东省,89,1579,2,1482,8,-1,-1
河南省,0,1276,0,1254,22,-1,-1
浙江省,21,1268,0,1246,1,-1,-1
中国香港,452,1023,4,567,4,-1,-1
湖南省,0,1019,0,1015,4,-1,-1
安徽省,1,991,0,984,6,-1,-1
江西省,0,937,0,936,1,-1,-1
黑龙江省,407,892,20,472,13,-1,-1
山东省,15,787,0,765,7,-1,-1
江苏省,10,653,0,643,-1,-1,-1
上海市,105,628,0,516,7,-1,-1
北京市,76,593,0,509,8,-1,-1
重庆市,3,579,0,570,6,-1,-1
四川省,5,561,1,553,3,-1,-1
中国台湾,214,398,0,178,6,-1,-1
福建省,18,355,1,336,1,-1,-1
河北省,6,328,0,316,6,-1,-1
陕西省,1,256,0,252,3,-1,-1
广西壮族自治区,0,254,0,252,2,-1,-1
山西省,62,197,0,135,-1,-1,-1
内蒙古自治区,88,193,0,104,1,-1,-1
天津市,13,189,3,173,3,-1,-1
云南省,5,184,0,177,2,-1,-1
海南省,0,168,0,162,6,-1,-1
贵州省,1,147,0,144,2,-1,-1
辽宁省,2,146,0,142,2,-1,-1
甘肃省,0,139,0,137,2,-1,-1
吉林省,4,102,0,97,1,-1,-1
新疆维吾尔自治区,0,76,0,73,3,-1,-1
宁夏回族自治区,0,75,0,75,-1,-1,-1
中国澳门,28,45,0,17,-1,-1,-1
青海省,0,18,0,18,-1,-1,-1
西藏自治区,0,1,0,1,-1,-1,-1
美国,612325,710272,24594,60772,37175,32910,216
西班牙,96886,191726,5252,74797,20043,4640,413
意大利,106962,172434,3493,42727,22745,5920,291
法国,94868,147969,1909,34420,18681,6550,226
德国,43992,142023,3164,93657,4374,8240,172
英国,96835,114217,5599,1918,15464,6700,170
伊朗,19850,80868,1499,55987,5031,8280,98
土耳其,68146,78546,4353,8631,1769,8300,95
比利时,23382,37183,1329,8348,5453,1160,321
俄罗斯,33423,36793,4070,3057,313,14390,26
巴西,18024,34221,1876,14026,2171,21240,16
加拿大,20074,31927,1036,10543,1310,3730,86
荷兰,27684,31589,1235,304,3601,1710,185
瑞士,9696,27440,346,16400,1344,860,319
