地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1137356,1859709,21146,615426,106927,5.7%,32910,565,5.755571558165851,0.05060483751935059,0.0015276192385634093
巴西,288279,529405,11628,211080,30046,5.7%,21240,249,7.025227983758238,0.24369544724930492,0.004937721267423117
俄罗斯,231719,423741,9035,186985,5037,1.2%,14390,294,37.12229501687512,1.6020393242192104,0.0011625283070579643
西班牙,62633,286718,209,196958,27127,9.5%,4640,618,7.26058908098942,1.1592274170148995,0.02198998472740073
英国,235369,276332,1570,1918,39045,14.1%,6700,412,0.04912280701754386,0.002087055092962279,0.864903315948271
意大利,41367,233197,200,158355,33475,14.4%,5920,394,4.730545182972367,1.14355529358483,0.051101633013783565
印度,98298,199785,7761,95875,5612,2.8%,136870,15,17.083927298645758,1.7379730308496366,0.005954805814519842
法国,91947,189220,338,68440,28833,15.2%,6550,289,2.3736690597579164,0.2581562269305052,0.04581864770430316
德国,6734,184406,156,168938,8734,4.7%,8240,224,19.34256926952141,28.72374408898338,0.07677374522015751
秘鲁,96898,170039,5563,68507,4634,2.7%,3290,517,14.783556322831247,1.5256822971404207,0.006980817214130518
土耳其,31259,164769,827,128947,4563,2.8%,8300,199,28.25925925925926,9.040359339473195,0.01132046185639558
伊朗,26543,157562,2979,123077,7942,5%,8280,190,15.496978091160917,5.8384425615646,0.024311008427666977
智利,59100,105159,5471,44946,1113,1.1%,1830,575,40.38274932614555,6.832952508654069,0.004190025210173246
墨西哥,15777,93435,3152,67491,10167,10.9%,13230,71,6.6382413691354385,4.207543493145362,0.09548222593856288
加拿大,34653,91705,719,49726,7326,8%,3730,246,6.787605787605788,1.9587354017273504,0.04251503589858556
沙特阿拉伯,22311,87142,1881,64306,525,0.6%,3410,256,122.48761904761905,54.90010266129669,0.003659222106840328
巴基斯坦,47667,76398,2964,27110,1621,2.1%,20460,37,16.7242442936459,3.5085581835747788,0.012543989375697565
卡塔尔,24180,60259,1523,36036,43,0.1%,270,2232,838.046511627907,346.58664666166544,0.000493486845844166
比利时,33176,58615,136,15934,9505,16.2%,1160,505,1.6763808521830617,0.5052992682008264,0.1798056299815713
孟加拉国,40616,52445,2381,11120,709,1.4%,16470,32,15.684062059238364,3.8615476805294375,0.015697999016583464
荷兰,40358,46647,103,322,5967,12.8%,1710,273,0.05396346572817161,0.013371194243563013,4.591668541707002
白俄罗斯,24817,44255,847,19195,243,0.5%,940,471,78.9917695473251,31.8297012319479,0.005101159188043665
瑞典,29150,38589,272,4971,4468,11.6%,1010,382,1.1125783348254252,0.38167352824199835,0.30834069162031724
新加坡,13346,35836,408,22466,24,0.1%,590,607,936.0833333333334,701.3961736350467,0.0008004502906428334
南非,17816,35812,1674,17291,705,2%,5810,62,24.526241134751775,13.766412850668935,0.022885415522666406
阿联酋,16588,35192,635,18338,266,0.8%,970,363,68.93984962406014,41.56007332050889,0.008744513278155498
葡萄牙,11590,32895,200,19869,1436,4.4%,1030,319,13.836350974930362,11.938180306238447,0.062358404408235465
瑞士,454,30874,9,28500,1920,6.2%,860,359,14.84375,326.954845814978,1.483885926269418
哥伦比亚,19863,30493,1110,9661,969,3.2%,4980,61,9.970072239422084,5.019419140825699,0.050495985483170205
科威特,14142,28649,719,14281,226,0.8%,420,682,63.190265486725664,44.68269373972964,0.011190229333451217
印度尼西亚,17951,27549,467,7935,1663,6%,26950,10,4.771497294046903,2.6580676809352703,0.1167499413880894
埃及,18932,26384,1399,6447,1005,3.8%,10120,26,6.414925373134328,3.3884034297138856,0.08234019586840001
爱尔兰,1323,25062,72,22089,1650,6.6%,480,522,13.387272727272727,101.18875833161547,0.5646093226854175
乌克兰,13535,24340,340,10078,727,3%,4380,56,13.86244841815681,10.241927165243302,0.05329688129670212
波兰,11464,24271,301,11726,1081,4.5%,3800,64,10.84736355226642,9.46211056548013,0.08041547409749884
罗马尼亚,4712,19517,141,13526,1279,6.6%,1950,100,10.575449569976545,22.44365358653766,0.20067620506767198
菲律宾,13968,18997,552,4063,966,5.1%,10810,18,4.2060041407867494,3.0111713493605023,0.17021431356479094
多米尼加共和国,6177,17572,287,10893,502,2.9%,1083.5,162,21.699203187250998,35.12903219564675,0.0746068342446142
阿根廷,11338,17415,564,5521,556,3.2%,4510,39,9.929856115107913,8.758031500359776,0.08882200896916978
以色列,2017,17219,82,14915,287,1.7%,860,200,51.96864111498258,257.6531537678859,0.09540095909542605
日本,1639,16999,37,14459,901,5.3%,12690,13,16.04772475027747,97.91168243000288,0.38019603177459854
奥地利,461,16759,2,15629,669,4%,880,190,23.361733931240657,506.7621243219231,0.9285258548648857
