地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,3828,67801,0,60810,3163
广东省,91,1433,5,1334,8
河南省,2,1274,0,1250,22
浙江省,19,1241,1,1221,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,1,936,0,934,1
山东省,10,769,1,752,7
江苏省,7,638,2,631,-
重庆市,2,578,0,570,6
北京市,150,561,5,403,8
四川省,8,547,2,536,3
黑龙江省,3,484,0,468,13
上海市,98,433,19,330,5
中国香港,280,386,30,102,4
福建省,26,322,4,295,1
河北省,3,319,0,310,6
广西壮族自治区,2,254,0,250,2
陕西省,7,250,1,240,3
中国台湾,204,235,21,29,2
云南省,2,176,0,172,2
海南省,0,168,0,162,6
贵州省,0,146,0,144,2
天津市,9,145,4,133,3
甘肃省,15,136,0,119,2
山西省,1,134,0,133,-
辽宁省,1,127,0,124,2
吉林省,1,94,1,92,1
内蒙古自治区,2,77,2,74,1
新疆维吾尔自治区,0,76,0,73,3
宁夏回族自治区,0,75,0,75,-
中国澳门,20,30,1,10,-
青海省,0,18,0,18,-
西藏自治区,0,1,0,1,-
意大利,54030,69176,5249,8326,6820
美国,54076,55231,10054,354,801
西班牙,35273,42058,6584,3794,2991
德国,29542,32991,4189,3290,159
伊朗,13964,24811,1762,8913,1934
法国,18252,22633,2444,3281,1100
韩国,5281,9137,100,3730,126
瑞士,8607,8836,776,131,98
英国,7607,8164,1427,135,422
荷兰,5282,5560,811,2,276
奥地利,5246,5283,952,9,28
比利时,3737,4269,526,410,122
挪威,2850,2868,223,6,12
加拿大,2579,2792,481,185,28
葡萄牙,2307,2362,460,22,33
澳大利亚,2191,2318,494,119,8
瑞典,2219,2272,256,17,36
巴西,2153,2201,310,2,46
以色列,1874,1930,488,53,3
土耳其,1828,1872,343,-,44
马来西亚,1426,1624,106,183,15
丹麦,1558,1591,131,1,32
捷克,1381,1394,158,10,3
爱尔兰,1317,1329,204,5,7
日本,870,1214,71,301,43
卢森堡,1085,1099,224,6,8
厄瓜多尔,1019,1049,68,3,27
巴基斯坦,959,972,80,6,7
泰国,860,934,107,70,4
智利,903,922,176,17,2
波兰,878,901,152,13,10
芬兰,781,792,92,10,1
沙特阿拉伯,738,767,51,28,1
希腊,704,743,48,19,20
钻石公主号邮轮,112,712,15,590,10
南非,709,709,155,-,-
印度尼西亚,606,686,107,30,50
冰岛,610,648,60,36,2
罗马尼亚,517,576,143,52,7
印度,513,562,65,40,9
新加坡,404,558,49,152,2
卡塔尔,485,526,25,41,-
菲律宾,449,501,105,19,33
俄罗斯,481,498,57,16,1
巴拿马,436,443,98,1,6
斯洛文尼亚,434,442,28,5,3
墨西哥,396,405,38,4,5
埃及,302,402,36,80,20
秘鲁,389,395,32,1,5
巴林,212,391,5,177,2
阿根廷,354,387,86,27,6
哥伦比亚,369,378,101,6,3
爱沙尼亚,365,369,17,4,-
伊拉克,214,316,50,75,27
克罗地亚,309,315,61,5,1
黎巴嫩,292,304,19,8,4
塞尔维亚,300,303,54,-,3
阿尔及利亚,213,264,34,32,19
亚美尼亚,235,249,14,14,-
阿联酋,201,248,50,45,2
圣马力诺,200,224,16,4,20
保加利亚,212,218,17,3,3
立陶宛,207,209,49,1,1
新西兰,193,205,63,12,-
斯洛伐克,197,204,18,7,-
拉脱维亚,196,197,17,1,-
乌拉圭,187,189,27,2,-
科威特,159,189,1,30,-
匈牙利,163,187,20,16,8
摩洛哥,159,170,27,6,5
安道尔,161,164,31,2,1
哥斯达黎加,154,158,24,2,2
约旦,152,153,26,1,-
北马其顿,133,136,22,1,2
越南,117,134,11,17,-
波斯尼亚和黑塞哥维那,128,131,5,2,1
摩尔多瓦,123,125,16,1,1
塞浦路斯,118,124,8,3,3
阿尔巴尼亚,108,123,19,10,5
突尼斯,111,114,25,-,3
布基纳法索,105,114,15,5,4
乌克兰,102,113,13,8,3
斯里兰卡,99,100,5,1,-
文莱,87,91,3,4,-
马耳他,88,90,17,2,-
阿塞拜疆,76,87,15,10,1
柬埔寨,85,87,3,2,-
塞内加尔,78,86,7,8,-
阿曼,67,84,18,17,-
委内瑞拉,84,84,7,-,-
白俄罗斯,66,81,12,15,-
哈萨克斯坦,79,79,6,-,-
阿富汗,73,74,32,-,1
科特迪瓦,70,73,48,3,-
格鲁吉亚,61,70,9,9,-
喀麦隆,65,66,10,-,1
巴勒斯坦,43,60,1,17,-
乌兹别克斯坦,55,55,5,-,-
加纳,51,53,26,-,2
法罗群岛,47,47,0,-,-
