地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
加纳,934,1042,208,99,9,2950,4
古巴,746,1035,63,255,34,1122,9
阿富汗,862,1026,60,131,33,3680,3
喀麦隆,670,1017,0,305,42,2405,4
保加利亚,705,915,19,167,43,700,13
突尼斯,798,879,2,43,38,1180,7
科特迪瓦,578,847,46,260,9,2490,3
吉布提,742,846,114,102,2,94,90
塞浦路斯,674,767,11,81,12,120,64
拉脱维亚,646,739,15,88,5,190,39
安道尔,442,713,9,235,36,7.3,982
钻石公主号邮轮,55,712,0,645,12,-1,-1
黎巴嫩,554,677,1,102,21,500,11
哥斯达黎加,543,660,5,112,5,2150,13
尼日尔,511,648,12,117,20,20100,3
尼日利亚,436,627,49,170,21,290,0
阿尔巴尼亚,231,584,14,327,26,1919,20
布基纳法索,202,576,8,338,36,640,3
吉尔吉斯斯坦,360,568,48,201,7,1121,9
玻利维亚,500,564,27,31,33,350,5
乌拉圭,220,528,9,298,10,1270,15
几内亚,450,518,41,65,3,911,4
洪都拉斯,406,477,15,25,46,3.2,5
圣马力诺,362,462,20,61,39,505.2,1444
巴勒斯坦,375,449,19,71,3,40,9
马耳他,302,431,1,126,3,1010,108
约旦,134,417,6,276,7,82.7,4
留尼汪岛,171,408,5,237,-1,390,49
格鲁吉亚,302,399,9,93,4,1670,10
塞内加尔,137,377,17,235,5,8130,2
刚果,280,332,20,27,25,126,0
毛里求斯,111,328,3,208,9,62.2,26
黑山,251,311,3,55,5,2100,50
斯里兰卡,199,303,21,97,7,8.5,1
马恩岛,99,298,6,193,6,1658.2,352
危地马拉,261,289,22,21,7,5140,2
肯尼亚,189,270,8,67,14,9740,1
越南,70,268,0,198,-1,3280,0
委内瑞拉,130,256,0,117,9,21.6,1
马约特岛,133,254,9,117,4,1951.7,118
马里,168,224,26,42,14,642,1
萨尔瓦多,165,218,11,46,7,6.5,3
根西岛,203,209,0,-1,6,705.3,320
巴拉圭,154,208,4,46,8,9.8,3
泽西岛,194,198,0,-1,4,284,202
牙买加,164,196,10,27,5,4.8,7
法罗群岛,9,185,1,176,-1,5910,381
坦桑尼亚,152,170,23,11,7,1518,0
索马里,154,164,19,3,7,38,1
马提尼克,78,163,5,73,12,40,43
瓜德罗普岛,67,148,3,73,8,1200,37
卢旺达,71,147,1,76,-1,-1,1
刚果,126,143,0,11,6,16.6,-1
文莱,22,138,1,115,1,3.4,35
关岛,34,136,0,97,5,1650,82
直布罗陀,20,132,0,111,1,2520,384
柬埔寨,17,122,0,105,-1,121.8,1
马达加斯加,82,121,3,39,-1,10500,0
特立尼达和多巴哥,85,114,0,21,8,5288.5,9
埃塞俄比亚,92,111,3,16,3,203,0
缅甸,99,111,11,7,5,10.5,0
加蓬,101,109,0,7,1,29,5
阿鲁巴岛,46,97,0,49,2,3.8,92
法属圭亚那,28,97,0,69,-1,4312,33
摩纳哥,69,94,0,22,3,470,245
苏丹,72,92,0,8,12,6.5,0
利比里亚,76,91,0,7,8,425,2
百慕大群岛,46,86,3,35,5,3.8,132
多哥,27,84,1,52,5,130,2
列支敦士登,25,81,0,55,1,28.1,214
赤道几内亚,75,79,0,4,-1,3.1,6
巴巴多斯,53,75,0,17,5,1760,27
圣马丁岛,45,67,0,12,10,73.8,216
赞比亚,27,65,9,35,3,54,0
圭亚那,49,65,0,9,7,6.4,9
佛得角,59,61,2,1,1,37.2,11
开曼群岛,52,61,0,7,2,4430,95
巴哈马,40,60,1,11,9,28,16
乌干达,27,55,0,28,-1,10.8,0
法属波里尼西亚,53,55,0,2,-1,44,20
维尔京群岛,4,53,0,46,3,627.7,49
马尔代夫,36,52,17,16,-1,160,12
利比亚,39,51,0,11,1,1200,1
几内亚比绍,47,50,0,3,-1,1827,3
海地,44,47,0,-1,3,3050,0
叙利亚,31,39,0,5,3,670,0
莫桑比克,31,39,1,8,-1,760,0
厄立特里亚,36,39,4,3,-1,1120,1
塞拉利昂,29,35,4,6,-1,320,0
贝宁,16,35,0,18,1,1490,0
蒙古,26,33,1,7,-1,2898,1
乍得,25,33,0,8,-1,1690,0
尼泊尔,27,31,1,4,-1,10.4,0
津巴布韦,20,25,1,2,3,129.6,0
安提瓜和巴布达,17,23,0,3,3,139,22
东帝汶,21,22,0,1,-1,225,2
斯威士兰,13,22,3,8,1,706.2,2
博茨瓦纳,19,20,5,-1,1,2925,1
老挝,17,19,0,2,-1,88.5,0
安哥拉,10,19,0,5,4,38.7,0
斐济,15,18,0,3,-1,28,2
伯利兹,14,18,0,2,2,1809.2,5
新喀里多尼亚群岛,3,18,0,15,-1,253,6
马拉维,12,17,0,3,2,7.2,0
纳米比亚,10,16,0,6,-1,5.7,1
多米尼克国,8,16,0,8,-1,17.6,22
圣克里斯托弗和尼维斯,15,15,0,-1,-1,17.6,26
圣卢西亚,4,15,0,11,-1,11.2,9
荷属安的列斯群岛,2,14,0,11,1,16,8
格林纳达,8,14,0,6,-1,11,13
马里亚纳群岛,11,13,0,-1,2,474,8
圣文森特岛,11,12,0,1,-1,7.6,11
中非,8,12,0,4,-1,1.3,0
格陵兰岛,0,11,0,11,-1,0.3,14
蒙特塞拉特岛,10,11,0,1,-1,3.5,85
福克兰群岛,10,11,0,1,-1,9.6,376
特克斯和凯科斯群岛,10,11,0,-1,1,210,32
塞舌尔,11,11,0,-1,-1,615,11
冈比亚,7,10,0,2,1,59.7,0
尼加拉瓜,2,10,0,6,2,0.1,0
苏里南,3,10,0,6,1,808,2
梵蒂冈,6,8,0,2,-1,450,1000
巴布亚新几内亚,7,7,0,-1,-1,0.5,0
毛里塔尼亚,4,7,0,2,1,3.1,0
圣巴泰勒米岛,2,6,0,4,-1,1086,119
维尔京群岛,1,5,0,3,1,75.4,16
布隆迪,4,5,0,-1,1,1253,0
不丹,3,5,0,2,-1,20.4,1
南苏丹,4,4,0,-1,-1,1.5,0
圣多美和普林西比,4,4,0,-1,-1,0.1,2
