地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
湖北省,105,68128,0,63511,4512,-1,-1
广东省,79,1581,1,1494,8,-1,-1
河南省,0,1276,0,1254,22,-1,-1
浙江省,18,1268,0,1249,1,-1,-1
中国香港,391,1025,2,630,4,-1,-1
湖南省,0,1019,0,1015,4,-1,-1
安徽省,1,991,0,984,6,-1,-1
江西省,0,937,0,936,1,-1,-1
黑龙江省,420,905,9,472,13,-1,-1
山东省,15,787,0,765,7,-1,-1
江苏省,10,653,0,643,-1,-1,-1
上海市,101,638,3,530,7,-1,-1
北京市,69,593,0,516,8,-1,-1
重庆市,3,579,0,570,6,-1,-1
四川省,4,561,0,554,3,-1,-1
中国台湾,213,422,22,203,6,-1,-1
福建省,15,355,0,339,1,-1,-1
河北省,5,328,0,317,6,-1,-1
陕西省,1,256,0,252,3,-1,-1
广西壮族自治区,0,254,0,252,2,-1,-1
山西省,62,197,0,135,-1,-1,-1
内蒙古自治区,89,194,1,104,1,-1,-1
天津市,12,189,0,174,3,-1,-1
云南省,4,184,0,178,2,-1,-1
海南省,0,168,0,162,6,-1,-1
贵州省,0,147,0,145,2,-1,-1
辽宁省,1,146,0,143,2,-1,-1
甘肃省,0,139,0,137,2,-1,-1
吉林省,6,104,0,97,1,-1,-1
新疆维吾尔自治区,0,76,0,73,3,-1,-1
宁夏回族自治区,0,75,0,75,-1,-1,-1
中国澳门,25,45,0,20,-1,-1,-1
青海省,0,18,0,18,-1,-1,-1
西藏自治区,0,1,0,1,-1,-1,-1
美国,652752,764303,26106,71003,40548,32910,232
西班牙,98771,200210,4218,80587,20852,4640,431
意大利,108257,178972,3047,47055,23660,5920,302
法国,97170,154097,2304,37183,19744,6550,235
德国,40869,146608,2234,101031,4708,8240,178
英国,103159,121172,5850,1918,16095,6700,181
土耳其,72313,86306,3977,11976,2017,8300,104
伊朗,19023,83505,1343,59273,5209,8280,101
俄罗斯,43270,47121,6060,3446,405,14390,33
比利时,25260,39983,1313,8895,5828,1160,345
巴西,14530,39144,2704,22130,2484,21240,18
加拿大,21626,35056,1456,11843,1587,3730,94
荷兰,29404,33405,1066,250,3751,1710,195
瑞士,8738,27944,336,17800,1406,860,325
葡萄牙,19518,20863,521,610,735,1030,203
印度,14202,17615,1573,2854,559,136870,1
秘鲁,8417,15628,1208,6811,400,3290,48
爱尔兰,14564,15251,493,77,610,480,318
奥地利,3694,14795,25,10631,470,880,168
瑞典,12647,14777,563,550,1580,1010,146
以色列,9609,13654,255,3872,173,860,159
日本,9551,11041,373,1239,251,12690,9
韩国,2324,10674,13,8114,236,5130,21
沙特阿拉伯,8989,10484,1088,1398,97,3410,31
智利,5617,10088,358,4338,133,1830,55
厄瓜多尔,7933,9468,446,1061,474,1710,55
波兰,7958,9453,519,1133,362,3800,25
罗马尼亚,6459,8936,328,2017,460,1950,46
巴基斯坦,6272,8418,355,1970,176,20460,4
墨西哥,4948,8261,622,2627,686,13230,6
新加坡,7235,8014,596,768,11,590,136
丹麦,2897,7580,195,4328,355,580,131
阿联酋,5864,7265,479,1360,41,970,75
挪威,6906,7103,77,32,165,540,132
捷克,5288,6787,104,1311,188,1060,64
印度尼西亚,5423,6760,327,747,590,26950,3
塞尔维亚,5635,6630,324,870,125,870,76
澳大利亚,2290,6619,41,4258,71,2510,26
菲律宾,5418,6459,172,613,428,10810,6
白俄罗斯,5699,6264,0,514,51,940,67
卡塔尔,5451,6015,440,555,9,270,223
乌克兰,5200,5710,343,359,151,4380,13
马来西亚,2041,5425,84,3295,89,3250,17
多米尼加共和国,4091,4680,345,363,226,1083.5,43
巴拿马,4176,4467,63,165,126,420,106
芬兰,2074,3868,102,1700,94,560,69
哥伦比亚,2902,3792,171,711,179,4980,8
卢森堡,2850,3550,13,627,73,60,592
南非,2201,3158,251,903,54,5810,5
埃及,2173,3144,188,732,239,10120,3
摩洛哥,2507,2990,150,340,143,3660,8
孟加拉国,2762,2948,312,85,101,16470,2
阿根廷,2098,2941,81,709,134,4510,7
泰国,746,2792,32,1999,47,6930,4
阿尔及利亚,1207,2629,95,1047,375,4270,6
摩尔多瓦,1948,2472,94,457,67,400,62
希腊,1853,2235,11,269,113,1110,20
科威特,1619,1995,164,367,9,420,48
匈牙利,1518,1984,82,267,199,970,20
巴林,1119,1895,106,769,7,160,118
克罗地亚,1063,1881,39,771,47,410,46
哈萨克斯坦,1328,1775,61,428,19,1860,10
冰岛,402,1773,11,1362,9,30,591
乌兹别克斯坦,1337,1582,45,240,5,3280,5
伊拉克,448,1539,26,1009,82,4040,4
爱沙尼亚,1330,1535,16,165,40,130,118
新西兰,454,1440,9,974,12,480,30
阿塞拜疆,626,1436,25,791,19,1000,14
阿曼,1165,1410,86,238,7,500,28
亚美尼亚,737,1339,43,580,22,290,46
斯洛文尼亚,1065,1335,13,193,77,210,64
立陶宛,1047,1326,59,242,37,290,46
波斯尼亚和黑塞哥维那,879,1309,17,381,49,350,37
北马其顿,971,1225,37,200,54,210,58
波多黎各,1151,1213,145,-1,62,341.1,36
斯洛伐克,920,1161,72,229,12,550,21
