地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1116346,1571131,21293,361227,93558,6%,32910,477,3.860995318412108,0.03458600934129838,0.0023200743590863875
俄罗斯,220341,308705,9263,85392,2972,1%,14390,215,28.732166890982505,1.3039864070228646,0.0015795606407560915
西班牙,54067,278803,431,196958,27778,10%,4640,601,7.090431276549787,1.3114157021010573,0.026085254323077657
巴西,147108,271885,17408,106794,17983,6.6%,21240,128,5.938608685981205,0.4036903965781062,0.01144666570840322
英国,211559,248818,2412,1918,35341,14.2%,6700,371,0.05427124303217226,0.002565300603244119,0.8709610343404206
意大利,65129,226699,813,129401,32169,14.2%,5920,383,4.022537225278995,0.617626130491639,0.03817029515372297
法国,90224,180809,882,62563,28022,15.5%,6550,276,2.2326386410677324,0.2474550719395873,0.049643167702561414
德国,12214,178644,756,158123,8307,4.7%,8240,217,19.034910316600456,15.584501651056538,0.04301215967475231
土耳其,34521,151615,1022,112895,4199,2.8%,8300,183,26.886163372231483,7.788350097688793,0.010774268617647827
伊朗,20958,126949,2111,98808,7183,5.7%,8280,153,13.755812334679103,6.5635138537451585,0.03468677487835551
印度,61274,106886,1995,42309,3303,3.1%,136870,8,12.809264305177111,2.090489327476109,0.012740884561913223
秘鲁,60045,99483,4550,36524,2914,2.9%,3290,302,12.533973919011668,2.087430080608155,0.013287227292997196
加拿大,33150,79112,1095,40050,5912,7.5%,3730,212,6.774357239512855,2.04354667858608,0.04452955675691961
沙特阿拉伯,27891,59854,2509,31634,329,0.5%,3410,176,96.15197568389058,34.474194429705136,0.0037288739428367524
比利时,31986,55983,232,14847,9150,16.3%,1160,483,1.6226229508196721,0.5072916122114901,0.19267370674912748
墨西哥,11355,54346,2414,37325,5666,10.4%,13230,41,6.587539710554183,5.801444042760179,0.13368713470730723
智利,27563,49579,3520,21507,509,1%,1830,271,42.25343811394892,15.329767483201726,0.008586406836395234
巴基斯坦,31812,45898,1841,13101,985,2.1%,20460,22,13.300507614213197,4.180971838995724,0.023634194761101863
荷兰,38212,44249,108,322,5715,12.9%,1710,259,0.0563429571303587,0.014744833332554878,4.644731289900802
卡塔尔,30481,37097,1637,6600,16,0%,270,1374,412.5,135.33020570191266,0.0007953290325915896
厄瓜多尔,27855,34151,569,3457,2839,8.3%,1710,200,1.2176822824938358,0.43715034374217765,0.29482401088699195
白俄罗斯,20713,31508,936,10620,175,0.6%,940,335,60.68571428571428,29.298370243670295,0.00795555581013334
瑞典,22085,30799,422,4971,3743,12.2%,1010,305,1.3280790809511087,0.6013489159842014,0.34094055232824916
瑞士,1066,30658,21,27700,1892,6.2%,860,356,14.640591966173362,137.34138805040678,0.6407434249293895
葡萄牙,21754,29432,223,6431,1247,4.2%,1030,286,5.157177225340818,2.370679978551447,0.08913511306299456
新加坡,18977,29364,451,10365,22,0.1%,590,498,471.1363636363636,248.26704096346293,0.001118473803856452
孟加拉国,21145,26738,1251,5207,386,1.4%,16470,16,13.489637305699482,6.379587281011815,0.03505839561610203
阿联酋,14045,25063,873,10791,227,0.9%,970,258,47.5374449339207,33.84652540684991,0.014977606663570196
爱尔兰,3220,24251,51,19470,1561,6.4%,480,505,12.472773862908392,38.73532255561612,0.24898952680824454
波兰,10433,19569,195,8183,953,4.9%,3800,51,8.586568730325288,8.230201025903659,0.11162748551686086
乌克兰,12711,19230,260,5955,564,2.9%,4380,44,10.558510638297872,8.306593217133091,0.07451052431430996
印度尼西亚,13372,19189,486,4575,1242,6.5%,26950,7,3.683574879227053,2.754692551022325,0.20301780574040199
罗马尼亚,5890,17387,155,10356,1141,6.6%,1950,89,9.076248904469763,15.409590669727951,0.18705887059067322
南非,8928,17200,767,7960,312,1.8%,5810,30,25.512820512820515,28.5761878503814,0.04390230723510024
哥伦比亚,12272,16935,640,4050,613,3.6%,4980,34,6.6068515497553015,5.38367955488535,0.12333606966375328
科威特,11962,16764,1073,4681,121,0.7%,420,399,38.68595041322314,32.34070424111615,0.021609411073540898
以色列,2946,16659,7,13435,278,1.7%,860,194,48.327338129496404,164.04391761539853,0.07023836323390563
日本,3737,16394,27,11884,773,4.7%,12690,13,15.373868046571799,41.139598733132985,0.1740579053948223
奥地利,838,16353,52,14882,633,3.9%,880,186,23.510268562401265,280.5521308162442,0.5075728587561852
埃及,9083,13484,720,3742,659,4.9%,10120,13,5.678300455235205,6.251569366107239,0.19388861896167142
多米尼加共和国,6169,13223,498,6613,441,3.3%,1083.5,122,14.995464852607709,24.307772495716826,0.10809990107510867
菲律宾,9447,13221,224,2932,842,6.4%,10810,12,3.482185273159145,3.6860223067208056,0.3039864391721691
丹麦,1077,11242,117,9614,551,4.9%,580,194,17.448275862068964,162.00813242403865,0.5321471955842793
