地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1129324,1595318,20923,370973,95021,6%,32910,485,3.904115932267604,0.03457037955686414,0.0022680819207971294
俄罗斯,221774,317554,8764,92681,3099,1%,14390,221,29.90674411100355,1.3485234568075406,0.0015077184020984517
巴西,158431,294152,19951,116683,19038,6.5%,21240,138,6.128952621073642,0.38685311719762183,0.010298490493703467
西班牙,54678,279524,905,196958,27888,10%,4640,602,7.062464142283419,1.291646392019353,0.02589590680950999
意大利,62752,227364,665,132282,32330,14.2%,5920,384,4.091617692545623,0.6520298464663474,0.03894730218039512
法国,90089,181575,766,63354,28132,15.5%,6550,277,2.252026162377364,0.24997792875682534,0.049289544220513196
德国,11693,179346,664,159281,8372,4.7%,8240,218,19.025441949354992,16.270796159544165,0.044950993653016885
土耳其,34378,152587,972,113987,4222,2.8%,8300,184,26.998342018000947,7.853377746815099,0.010774132148593362
伊朗,21528,129341,2346,100564,7249,5.6%,8280,156,13.872810042764518,6.444077500355127,0.03348357922040612
印度,64002,113461,5454,46002,3457,3%,136870,8,13.306913508822678,2.079140262620337,0.011741649724896034
秘鲁,59028,104020,4537,41968,3024,2.9%,3290,316,13.878306878306878,2.3511396080346407,0.012206901634926527
加拿大,33343,80121,1009,40750,6028,7.5%,3730,215,6.760119442601194,2.027447872897218,0.04436504824643798
沙特阿拉伯,28686,65077,2691,36040,351,0.5%,3410,191,102.67806267806267,35.79378884405726,0.0033950981978470556
墨西哥,11628,56594,2713,38876,6090,10.8%,13230,43,6.383579638752052,5.4898345706502,0.13471957251608166
比利时,32061,56235,192,14988,9186,16.3%,1160,485,1.6316133246244284,0.5089090560570252,0.19116381655275877
智利,30569,53617,4038,22504,544,1%,1830,293,41.36764705882353,13.532548352521681,0.007907841365492555
巴基斯坦,32919,48091,1932,14155,1017,2.1%,20460,24,13.918387413962636,4.228071148565459,0.021825512240426496
荷兰,38603,44700,198,322,5775,12.9%,1710,261,0.055757575757575756,0.014443845234198314,4.645955653367783
