地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1135443,1686445,18842,451702,99300,5.9%,32910,512,4.5488620342396775,0.04006244289004096,0.0019361183351687444
巴西,192556,365213,15813,149911,22746,6.2%,21240,172,6.590653301679416,0.34227203004213924,0.007879786996114354
俄罗斯,230996,353427,8599,118798,3633,1%,14390,246,32.69969721992843,1.4155958207037538,0.0013238897174797071
西班牙,57142,282852,482,196958,28752,10.2%,4640,610,6.850236505286588,1.1988093705657115,0.025546946430874233
英国,220848,259559,2405,1918,36793,14.2%,6700,387,0.05212948115130595,0.0023604235107995523,0.8686066040108401
意大利,56594,229858,531,140479,32785,14.3%,5920,388,4.284855879213055,0.7571219350484246,0.041237600834213635
法国,89600,182584,115,64617,28367,15.5%,6550,279,2.2778933267529173,0.2542291659322452,0.048995772342086005
德国,9420,181093,286,163194,8479,4.7%,8240,220,19.24684514683335,20.431895060332643,0.0551555913276546
土耳其,33793,156827,1141,118694,4340,2.8%,8300,189,27.348847926267283,8.093051201807262,0.010820173267263974
印度,77468,139237,11178,57745,4024,2.9%,136870,10,14.350149105367793,1.85239700332625,0.008995415793937343
伊朗,22483,135701,2180,105801,7417,5.5%,8280,164,14.26466226237023,6.3446436251257525,0.031180584064451504
秘鲁,66708,119959,4205,49795,3456,2.9%,3290,365,14.408275462962964,2.159902180092787,0.010404233179023743
加拿大,34290,84699,1078,43985,6424,7.6%,3730,227,6.8469800747198,1.9967862568445027,0.04259253126306049
沙特阿拉伯,28650,72560,2399,43520,390,0.5%,3410,213,111.58974358974359,38.94929968228398,0.003127887280566677
智利,40236,69102,3709,28148,718,1%,1830,378,39.203342618384404,9.743349890243662,0.006339603586247704
墨西哥,13802,68620,3329,47424,7394,10.8%,13230,52,6.413849066810927,4.647043230554215,0.11296378646838914
比利时,32733,57342,282,15297,9312,16.2%,1160,494,1.6427190721649485,0.5018541142470744,0.18597342532019917
巴基斯坦,37700,56349,2164,17482,1167,2.1%,20460,28,14.980291345329906,3.973552080989365,0.017706731015789793
荷兰,39092,45236,172,322,5822,12.9%,1710,265,0.05530745448299553,0.014148023760103224,4.625177873123633
卡塔尔,34521,43714,1501,9170,23,0.1%,270,1619,398.69565217391306,115.49365666519309,0.0007265661029682532
厄瓜多尔,30088,36756,498,3560,3108,8.5%,1710,215,1.1454311454311454,0.3806936803480276,0.2901600996627122
白俄罗斯,21844,36198,954,14155,199,0.5%,940,385,71.13065326633166,32.56301651086416,0.006435925894614721
孟加拉国,27750,35585,1532,7334,501,1.4%,16470,22,14.638722554890219,5.275215335095575,0.024616926716735824
瑞典,24490,33459,271,4971,3998,11.9%,1010,331,1.2433716858429216,0.5077058741702416,0.3284053636037979
新加坡,17061,31960,548,14876,23,0.1%,590,542,646.7826086956521,379.1000578486912,0.0009062273881491211
瑞士,730,30736,11,28100,1906,6.2%,860,357,14.742917103882476,201.9577685463353,0.9291668697898894
葡萄牙,11758,30623,152,17549,1316,4.3%,1030,297,13.335106382978724,11.341304969364453,0.06377787712350648
阿联酋,14184,29485,781,15056,245,0.8%,970,304,61.453061224489794,43.32562128066117,0.01147249179300081
爱尔兰,1971,24639,57,21060,1608,6.5%,480,513,13.097014925373134,66.44857902269474,0.38738344167060557
印度尼西亚,15717,22750,526,5642,1391,6.1%,26950,8,4.05607476635514,2.5806927316632566,0.15686440084102773
南非,11054,22583,1240,11100,429,1.9%,5810,39,25.874125874125873,23.40702539725518,0.03496349615401542
波兰,11168,21440,398,9276,996,4.6%,3800,56,9.313253012048193,8.33923084889702,0.09614422282107074
科威特,15029,21302,838,6117,156,0.7%,420,507,39.21153846153846,26.090583845590828,0.016968991550127495
乌克兰,13388,21245,406,7234,623,2.9%,4380,49,11.6115569823435,8.673107993982297,0.06432708009409141
哥伦比亚,15432,21175,998,5016,727,3.4%,4980,43,6.899587345254471,4.470961213876666,0.09391926137035411
罗马尼亚,5483,18070,213,11399,1188,6.6%,1950,93,9.595117845117844,17.499758973404784,0.19007781942725555
埃及,11694,17265,752,4807,764,4.4%,10120,17,6.291884816753926,5.380438529804965,0.13591148163474756
以色列,2237,16720,5,14203,280,1.7%,860,194,50.725,226.7545820295038,0.088127603482186
日本,2168,16623,42,13612,843,5.1%,12690,13,16.147093712930012,74.47921454303511,0.2856579770616983
奥地利,760,16539,17,15138,641,3.9%,880,188,23.61622464898596,310.73979801297315,0.5571548768870253
多米尼加共和国,6210,14801,379,8133,458,3.1%,1083.5,137,17.75764192139738,28.59523658840158,0.0906824208563232
菲律宾,10123,14319,258,3323,873,6.1%,10810,13,3.806414662084765,3.7601646370490616,0.2595222905122248
