地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
多米尼加共和国,1822,1956,83,36,98,1083.5,18
希腊,1482,1832,20,269,81,1110,17
哥伦比亚,1630,1780,94,100,50,4980,4
南非,1641,1749,94,95,13,5810,3
阿根廷,1317,1715,74,338,60,4510,4
乌克兰,1581,1668,143,35,52,4380,4
冰岛,981,1586,24,599,6,30,529
新加坡,1131,1481,106,344,6,590,25
阿尔及利亚,1162,1468,103,113,193,4270,3
埃及,1080,1450,149,276,94,10120,1
克罗地亚,1097,1282,60,167,18,410,31
摩洛哥,1054,1242,28,97,91,3660,3
新西兰,927,1210,54,282,1,480,25
爱沙尼亚,1089,1185,41,72,24,130,91
伊拉克,684,1122,91,373,65,4040,3
斯洛文尼亚,931,1091,38,120,40,210,52
白俄罗斯,976,1066,160,77,13,940,11
摩尔多瓦,992,1056,91,40,24,400,26
立陶宛,889,912,37,8,15,290,31
匈牙利,743,895,73,94,58,970,9
亚美尼亚,785,881,20,87,9,290,30
科威特,742,855,78,112,1,420,20
巴林,349,821,33,467,5,160,51
波斯尼亚和黑塞哥维那,667,777,80,77,33,350,22
阿塞拜疆,665,717,76,44,8,1000,7
钻石公主号邮轮,81,712,0,620,11,-,-
哈萨克斯坦,649,709,56,53,7,2405,4
喀麦隆,616,685,27,60,9,1180,3
突尼斯,575,623,22,25,23,210,5
北马其顿,543,599,29,30,26,700,29
保加利亚,516,581,16,42,23,550,8
斯洛伐克,569,581,47,10,2,190,11
拉脱维亚,559,577,6,16,2,610,30
黎巴嫩,494,575,7,62,19,341.1,9
波多黎各,550,573,60,-,23,7.3,17
安道尔,484,545,19,39,22,3280,751
乌兹别克斯坦,501,534,114,30,3,120,2
塞浦路斯,436,494,19,47,11,500,41
哥斯达黎加,457,483,13,24,2,350,10
乌拉圭,267,424,9,150,7,3680,12
阿富汗,401,423,56,15,7,500,1
阿曼,345,419,40,72,2,290,8
阿尔巴尼亚,224,400,6,154,22,1122,14
古巴,358,396,43,27,11,1919,4
布基纳法索,238,384,19,127,19,1010,2
约旦,209,353,4,138,6,82.7,3
留尼汪岛,309,349,5,40,-,2490,42
科特迪瓦,305,349,88,41,3,911,1
洪都拉斯,284,312,7,6,22,40,3
马耳他,288,293,52,5,-,2950,73
加纳,230,287,73,52,5,3.2,1
圣马力诺,205,279,11,40,34,2150,872
尼日尔,241,278,69,26,11,640,1
吉尔吉斯斯坦,233,270,12,33,4,126,4
毛里求斯,253,268,24,8,7,505.2,21
巴勒斯坦,220,263,8,42,1,20100,5
尼日利亚,204,254,22,44,6,9740,0
越南,128,251,4,123,-,62.2,0
黑山,242,248,16,4,2,1670,40
塞内加尔,129,244,11,113,2,16470,1
孟加拉国,165,218,41,33,20,1121,0
玻利维亚,193,210,11,2,15,390,2
格鲁吉亚,159,208,7,46,3,2100,5
斯里兰卡,138,186,7,42,6,4.8,1
法罗群岛,55,184,1,129,-,8130,379
刚果,153,183,26,10,20,5140,0
肯尼亚,159,172,14,7,6,3280,0
委内瑞拉,94,166,6,65,7,21.6,1
马约特岛,147,164,17,15,2,8.5,76
马恩岛,77,158,23,80,1,9.8,187
泽西岛,152,155,0,-,3,6.5,158
根西岛,151,154,0,-,3,38,236
马提尼克,97,151,6,50,4,1270,40
几内亚,139,144,7,5,-,40,1
瓜德罗普岛,101,139,5,31,7,40,35
文莱,49,135,0,85,1,94,34
吉布提,112,121,0,9,-,16.6,13
关岛,117,121,9,-,4,705.3,73
巴拉圭,99,119,2,15,5,1650,2
柬埔寨,54,117,1,63,-,3.4,1
直布罗陀,56,109,6,52,1,121.8,317
特立尼达和多巴哥,98,107,0,1,8,1200,9
卢旺达,98,105,1,7,-,642,1
萨尔瓦多,79,93,9,9,5,2520,1
马达加斯加,81,88,0,7,-,1658.2,0
危地马拉,60,80,13,17,3,3.8,0
摩纳哥,74,79,4,4,1,3.8,206
列支敦士登,22,78,0,55,1,29,206
法属圭亚那,66,72,6,6,-,10.5,25
阿鲁巴岛,69,71,7,2,-,425,67
多哥,39,65,6,23,3,28.1,2
巴巴多斯,54,63,8,6,3,284,22
牙买加,51,63,4,9,3,3.1,2
圣马丁岛,53,60,0,1,6,-,194
刚果,53,60,0,2,5,10500,-
马里,39,56,9,12,5,4430,0
埃塞俄比亚,49,55,8,4,2,28,0
乌干达,52,52,4,-,-,6.4,0
法属波里尼西亚,47,47,1,-,-,10.8,17
开曼群岛,38,45,4,6,1,6.5,70
维尔京群岛,42,43,1,-,1,1760,40
百慕大群岛,39,39,2,-,-,37.2,60
赞比亚,35,39,0,3,1,203,0
巴哈马,25,36,5,5,6,73.8,10
加蓬,31,33,6,1,1,160,2
圭亚那,20,33,2,8,5,670,4
几内亚比绍,33,33,15,-,-,1120,2
厄立特里亚,31,31,2,-,-,1200,0
贝宁,20,26,4,5,1,5910,0
海地,23,25,0,1,1,5288.5,0
坦桑尼亚,18,24,0,5,1,627.7,0
缅甸,19,22,0,-,3,10.4,0
利比亚,20,21,0,-,1,1827,0
安提瓜和巴布达,17,19,0,-,2,44,18
叙利亚,14,19,0,3,2,28,0
马尔代夫,6,19,0,13,-,2925,4
新喀里多尼亚群岛,18,18,0,-,-,320,6
安哥拉,13,17,6,2,2,253,0
蒙古,12,16,0,4,-,130,1
纳米比亚,13,16,0,3,-,706.2,1
赤道几内亚,13,16,0,3,-,7.2,1
老挝,15,15,2,-,-,88.5,0
多米尼克国,14,15,1,1,-,4312,21
斐济,15,15,1,-,-,17.6,2
苏丹,10,14,6,2,2,470,0
圣卢西亚,13,14,0,1,-,17.6,8
利比里亚,8,14,0,3,3,11.2,0
荷属安的列斯群岛,12,13,2,-,1,1690,7
格林纳达,12,12,0,-,-,9.6,11
津巴布韦,9,11,0,-,2,5.7,0
塞舌尔,11,11,1,-,-,7.6,11
圣克里斯托弗和尼维斯,11,11,2,-,-,59.7,19
格陵兰岛,11,11,0,-,-,139,14
苏里南,6,10,0,3,1,1490,2
斯威士兰,6,10,1,4,-,3050,1
乍得,8,10,0,2,-,1.3,0
莫桑比克,9,10,0,1,-,2898,0
蒙特塞拉特岛,9,9,0,-,-,11,69
尼泊尔,8,9,0,1,-,1518,0
圣文森特岛,7,8,5,1,-,16,7
索马里,7,8,0,1,-,3.5,0
马里亚纳群岛,7,8,0,-,1,474,5
特克斯和凯科斯群岛,7,8,3,-,1,1809.2,23
中非,5,8,0,3,-,54,0
马拉维,7,8,3,-,1,0.1,0
佛得角,5,7,0,1,1,38.7,1
梵蒂冈,7,7,0,-,-,0.5,875
伯利兹,6,7,2,-,1,450,2
圣巴泰勒米岛,6,6,0,-,-,760,119
毛里塔尼亚,3,6,0,2,1,225,0
塞拉利昂,6,6,0,-,-,615,0
博茨瓦纳,5,6,2,-,1,75.4,0
尼加拉瓜,5,6,1,-,1,210,0
不丹,5,5,0,-,-,20.4,1
冈比亚,1,4,0,2,1,1.5,0
圣多美和普林西比,4,4,0,-,-,1086,2
安圭拉岛,3,3,0,-,-,3.1,20
布隆迪,3,3,0,-,-,0.3,0
维尔京群岛,3,3,0,-,-,1253,10
福克兰群岛,2,2,0,-,-,808,68
南苏丹,2,2,0,-,-,-,0
巴布亚新几内亚,2,2,0,-,-,129.6,0
