地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1176102,1816897,23562,535238,105557,5.8%,32910,552,5.07060640222818,0.043113661929221954,0.0016768534589588165
巴西,267742,501985,33274,205371,28872,5.8%,21240,236,7.113154613466334,0.26567197576272433,0.005250748875864505
俄罗斯,229267,405843,8952,171883,4693,1.2%,14390,282,36.62539953121671,1.5974998377968355,0.0011909021542977182
西班牙,62225,286308,664,196958,27125,9.5%,4640,617,7.261124423963134,1.1669143308900176,0.02213253786965964
英国,232532,272826,1604,1918,38376,14.1%,6700,407,0.049979153637690225,0.002149345192820353,0.8604554221758968
意大利,43691,232664,416,155633,33340,14.3%,5920,393,4.668056388722255,1.0684251650734145,0.04903113215897643
法国,91586,188625,1790,68268,28771,15.3%,6550,288,2.372805950436203,0.259079548231848,0.0460159810477737
德国,7148,183673,257,167823,8702,4.7%,8240,223,19.28556653642841,26.980367286553452,0.07254091927220695
印度,90703,182990,12816,87099,5188,2.8%,136870,13,16.788550501156514,1.8509366284639444,0.006566971734617092
土耳其,31604,163103,983,126984,4515,2.8%,8300,197,28.124916943521594,8.899163695583342,0.011250367217966255
秘鲁,84853,155671,7386,66447,4371,2.8%,3290,473,15.20178448867536,1.7915435504549468,0.007752436669194221
伊朗,24821,151466,2282,118848,7797,5.1%,8280,183,15.242785686802616,6.141084439306481,0.026431169630125203
智利,53430,94858,4220,40431,997,1.1%,1830,518,40.55265797392177,7.589866736650153,0.004615252870051936
加拿大,35014,90190,776,48103,7073,7.8%,3730,242,6.800933125972006,1.9423468115530949,0.04199424408473193
墨西哥,15862,87512,3227,61871,9779,11.2%,13230,66,6.326925043460476,3.9887309566640248,0.0996435897866419
沙特阿拉伯,22316,85261,1618,62442,503,0.6%,3410,250,124.13916500994036,55.62787462356173,0.0036097309021538796
巴基斯坦,42742,69496,2429,25271,1483,2.1%,20460,34,17.04045853000674,3.986818242011778,0.013729789640865754
比利时,33027,58381,125,15887,9467,16.2%,1160,503,1.6781451357346573,0.5081131001104119,0.18042692815279845
