地区,确诊,死亡,治愈
美国,368449,10993,19919
西班牙,140510,13798,43208
意大利,132547,16523,22837
德国,103717,1810,36081
法国,98984,8926,17429
伊朗,62589,3872,27039
英国,52301,5385,305
土耳其,30217,649,1326
瑞士,22242,765,8056
比利时,22194,2035,3751
荷兰,19703,2108,260
加拿大,16667,322,3338
奥地利,12488,243,4046
葡萄牙,12442,315,140
巴西,12240,566,127
韩国,10331,192,6694
以色列,9006,60,683
瑞典,7693,591,205
俄罗斯,7497,58,494
澳大利亚,5895,45,1080
挪威,5866,78,32
爱尔兰,5364,174,25
丹麦,5173,203,1624
印度,4908,137,382
捷克,4828,80,127
智利,4815,37,728
日本,4812,108,1211
波兰,4532,111,191
罗马尼亚,4417,184,460
巴基斯坦,4004,55,429
马来西亚,3963,63,1321
菲律宾,3764,177,84
厄瓜多尔,3747,191,100
卢森堡,2843,41,500
沙特阿拉伯,2795,41,615
印度尼西亚,2738,221,164
秘鲁,2561,92,997
墨西哥,2439,125,633
芬兰,2308,28,300
泰国,2258,26,824
塞尔维亚,2200,58,0
巴拿马,2100,55,13
阿联酋,2076,11,167
卡塔尔,1832,4,131
多米尼加共和国,1828,86,33
希腊,1755,79,78
南非,1686,12,95
阿根廷,1628,53,280
哥伦比亚,1579,46,88
冰岛,1562,4,460
乌克兰,1462,45,28
阿尔及利亚,1423,173,90
新加坡,1375,6,344
埃及,1322,85,259
克罗地亚,1222,16,130
新西兰,1160,1,241
爱沙尼亚,1149,21,69
摩洛哥,1141,83,88
伊拉克,1031,64,344
斯洛文尼亚,1021,30,102
摩尔多瓦,965,17,30
立陶宛,880,15,8
亚美尼亚,853,8,87
匈牙利,817,47,71
巴林,756,4,458
科威特,743,1,105
波黑,740,32,68
阿塞拜疆,717,8,44
白俄罗斯,700,13,53
哈萨克斯坦,685,6,47
喀麦隆,658,9,17
突尼斯,596,22,5
斯洛伐克,581,2,8
北马其顿,570,21,30
保加利亚,549,21,39
黎巴嫩,548,19,60
拉脱维亚,548,2,16
安道尔,545,22,39
乌兹别克斯坦,472,2,30
哥斯达黎加,467,2,18
塞浦路斯,465,11,37
阿富汗,423,7,10
乌拉圭,415,6,123
阿尔巴尼亚,383,21,131
阿曼,371,2,67
布基纳法索,364,18,108
古巴,363,9,18
约旦,349,5,126
科特迪瓦,323,3,41
波多黎各,316,12,0
洪都拉斯,305,22,6
马耳他,293,0,5
加纳,287,5,3
圣马力诺,277,32,35
尼日尔,253,10,26
巴勒斯坦,253,1,21
越南,249,0,95
毛里求斯,244,7,4
黑山,239,2,1
尼日利亚,238,5,35
塞内加尔,237,2,105
吉尔吉斯斯坦,228,4,33
格鲁吉亚,195,2,39
玻利维亚,194,14,2
刚果（金）,180,18,9
斯里兰卡,180,6,42
肯尼亚,172,6,4
委内瑞拉,165,7,65
孟加拉国,164,17,33
法罗群岛,159,0,0
科索沃,145,1,23
文莱,135,1,66
几内亚,128,0,5
巴拉圭,115,5,15
柬埔寨,115,0,58
特里尼达和多巴哥,105,8,1
卢旺达,105,0,4
马提尼克岛,91,1,0
吉布提,90,0,9
马达加斯加,82,0,2
萨尔瓦多,78,4,5
摩纳哥,77,1,4
列支敦士登,77,1,55
危地马拉,74,3,17
瓜德罗普,73,1,0
巴巴多斯,60,2,6
牙买加,59,3,8
多哥共和国,58,3,23
埃塞俄比亚,52,2,4
乌干达,52,0,0
刚果（布）,49,5,2
马里,47,5,1
法属留尼汪岛,47,0,0
赞比亚,39,1,5
关岛,37,1,0
巴哈马,33,5,5
几内亚比绍,33,0,0
圭亚那,31,5,8
厄立特里亚,31,0,0
加蓬,30,1,1
马约特岛,30,0,0
贝宁,26,1,5
法属波利尼西亚,25,0,0
坦桑尼亚,24,1,5
海地,24,1,1
法属圭亚那,23,1,0
缅甸,22,1,1
利比亚,19,3,3
叙利亚,19,2,2
美属维尔京群岛,19,0,0
马尔代夫,19,0,13
阿鲁巴,19,0,0
泽西岛,18,0,0
安哥拉,16,2,2
纳米比亚,16,0,3
赤道几内亚,16,0,3
蒙古,15,0,4
斐济,15,0,0
多米尼克,15,0,1
利比里亚,14,3,3
苏丹,14,2,2
老挝,14,0,0
圣卢西亚,14,0,1
格林纳达,12,0,1
塞舌尔,11,0,0
津巴布韦,10,1,0
苏里南,10,1,0
斯威士兰,10,0,3
莫桑比克,10,0,1
圣基茨和尼维斯,10,0,0
中非共和国,9,0,0
乍得,9,0,0
尼泊尔,9,0,1
马拉维,8,1,0
伯利兹,7,1,0
佛得角,7,1,1
荷属安的列斯,7,1,0
索马里,7,0,1
安提瓜和巴布达,7,0,0
圣文森特和格林纳丁斯,7,0,1
梵蒂冈,7,0,0
毛里塔尼亚,6,1,2
博茨瓦纳,6,1,0
尼加拉瓜,6,1,0
塞拉利昂,6,0,0
开曼群岛,5,1,0
蒙特塞拉特,5,0,0
不丹,5,0,2
冈比亚,4,1,2
圣多美与普林西比,4,0,0
圣巴泰勒米,3,0,0
布隆迪,3,0,0
直布罗陀,3,0,0
圣马丁岛,2,0,0
巴布亚新几内亚,2,0,0
波斯尼亚,1,0,0
南苏丹,1,0,0
萨尔多瓦,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
东帝汶,1,0,0
格恩西岛,1,0,0
