地区,确诊,死亡,治愈
美国,368449,10994,19865
西班牙,136675,13341,40437
意大利,132547,16523,22837
德国,103375,1810,36081
法国,98984,8926,17429
伊朗,60500,3739,24236
英国,52279,5385,287
土耳其,30217,649,1326
瑞士,21652,715,6415
比利时,20814,1632,3751
荷兰,18926,1874,260
加拿大,16667,322,3338
奥地利,12297,220,3463
巴西,12232,566,127
葡萄牙,11730,311,140
韩国,10331,192,6694
以色列,8904,57,670
俄罗斯,7497,58,494
瑞典,7206,477,205
挪威,5865,76,32
澳大利亚,5797,45,1080
爱尔兰,5364,174,25
丹麦,4875,187,1489
捷克,4822,78,121
智利,4815,37,728
日本,4812,108,1211
印度,4778,136,375
波兰,4413,107,162
罗马尼亚,4057,157,406
马来西亚,3793,62,1241
巴基斯坦,3766,53,259
厄瓜多尔,3747,191,100
菲律宾,3660,163,73
卢森堡,2804,36,241
沙特阿拉伯,2752,38,551
秘鲁,2561,92,997
印度尼西亚,2491,209,164
墨西哥,2439,125,633
泰国,2258,26,824
塞尔维亚,2200,58,0
芬兰,2176,28,300
巴拿马,2100,55,13
阿联酋,2076,11,167
卡塔尔,1832,4,131
多米尼加,1828,86,33
希腊,1755,79,78
南非,1686,12,95
阿根廷,1628,53,280
哥伦比亚,1579,46,88
冰岛,1562,4,460
乌克兰,1462,45,28
阿尔及利亚,1423,173,90
新加坡,1375,6,344
埃及,1322,85,259
克罗地亚,1222,16,130
摩洛哥,1120,80,81
爱沙尼亚,1108,19,62
新西兰,1106,1,180
伊拉克,1031,64,344
斯洛文尼亚,1021,30,102
摩尔多瓦,965,17,30
立陶宛,843,14,8
亚美尼亚,833,8,62
匈牙利,744,38,67
巴林,723,4,451
白俄罗斯,700,13,53
波黑,674,29,47
哈萨克斯坦,670,6,46
科威特,665,1,103
喀麦隆,658,9,17
阿塞拜疆,641,7,44
突尼斯,596,22,5
北马其顿,570,21,30
保加利亚,549,21,39
拉脱维亚,542,1,1
黎巴嫩,541,19,55
斯洛伐克,534,1,8
安道尔,526,21,31
塞浦路斯,465,11,37
哥斯达黎加,454,2,16
阿富汗,423,7,10
乌拉圭,415,6,123
乌兹别克斯坦,390,2,30
阿尔巴尼亚,377,21,116
阿曼,371,2,67
布基纳法索,364,18,108
约旦,349,5,126
科特迪瓦,323,3,41
古巴,320,8,15
波多黎各,316,12,0
洪都拉斯,298,22,6
加纳,287,5,3
圣马力诺,266,32,35
尼日尔,253,10,26
巴勒斯坦,253,1,21
越南,245,0,95
毛里求斯,244,7,4
马耳他,241,0,2
尼日利亚,238,5,35
黑山,233,2,1
吉尔吉斯斯坦,228,4,33
塞内加尔,226,2,92
格鲁吉亚,188,2,36
刚果（金）,180,18,9
斯里兰卡,162,5,25
法罗群岛,159,0,0
肯尼亚,158,6,4
委内瑞拉,153,3,39
玻利维亚,139,10,1
文莱,135,1,66
孟加拉国,123,13,33
几内亚,121,0,5
柬埔寨,114,0,50
巴拉圭,113,5,12
卢旺达,105,0,4
特立尼达和多巴哥,100,6,1
科索沃,94,1,1
马提尼克岛,91,1,0
吉布提,90,0,9
马达加斯加,82,0,2
摩纳哥,77,1,4
列支敦士登,75,0,0
瓜德罗普,73,1,0
萨尔瓦多,56,3,0
牙买加,53,3,7
多哥共和国,52,3,22
乌干达,52,0,0
巴巴多斯,51,0,0
危地马拉,50,1,12
刚果（布）,49,5,2
马里,47,5,1
法属留尼汪岛,47,0,0
埃塞俄比亚,44,2,4
赞比亚,39,1,5
关岛,37,1,0
几内亚比绍,33,0,0
厄立特里亚,31,0,0
加蓬,30,1,1
马约特岛,30,0,0
圭亚那,29,4,0
法属波利尼西亚,25,0,0
巴哈马,24,3,1
坦桑尼亚,24,1,3
法属圭亚那,23,1,0
贝宁,22,1,5
缅甸,22,1,1
利比亚,19,3,3
美属维尔京群岛,19,0,0
阿鲁巴,19,0,0
泽西岛,18,0,0
马尔代夫,18,0,13
海地,18,0,1
叙利亚,16,2,0
安哥拉,16,2,2
赤道几内亚,16,0,1
蒙古,15,0,2
斐济,15,0,0
利比里亚,14,3,3
纳米比亚,14,0,3
多米尼克,14,0,0
圣卢西亚,13,0,1
苏丹,12,2,2
老挝,12,0,0
格林纳达,12,0,1
津巴布韦,10,1,0
斯威士兰,10,0,3
莫桑比克,10,0,0
塞舌尔,10,0,0
中非共和国,9,0,0
乍得,9,0,0
苏里南,9,0,0
圣基茨和尼维斯,9,0,0
尼泊尔,9,0,1
佛得角,7,1,0
荷属安的列斯,7,1,0
索马里,7,0,0
安提瓜和巴布达,7,0,0
圣文森特和格林纳丁斯,7,0,1
梵蒂冈,7,0,0
毛里塔尼亚,6,1,2
尼加拉瓜,5,1,0
开曼群岛,5,1,0
蒙特塞拉特,5,0,0
马拉维,5,0,0
不丹,5,0,0
博茨瓦纳,4,1,0
冈比亚,4,1,0
塞拉利昂,4,0,0
伯利兹,4,0,0
圣多美与普林西比,4,0,0
圣巴泰勒米,3,0,0
布隆迪,3,0,0
直布罗陀,3,0,0
圣马丁岛,2,0,0
波斯尼亚,1,0,0
南苏丹,1,0,0
萨尔多瓦,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
东帝汶,1,0,0
巴布亚新几内亚,1,0,0
格恩西岛,1,0,0
