地区,确诊,死亡,治愈
意大利,63927,6077,7432
美国,43963,586,178
西班牙,35136,2182,3355
德国,29056,123,422
伊朗,23049,1812,8376
法国,20123,860,1587
韩国,9037,120,3507
瑞士,8060,66,3
英国,6650,335,65
荷兰,4749,213,0
奥地利,3924,21,9
比利时,3743,88,350
挪威,2573,10,0
加拿大,2091,24,4
葡萄牙,2060,23,14
瑞典,2016,25,0
巴西,1891,34,0
日本,1855,52,872
澳大利亚,1823,7,46
土耳其,1529,37,0
马来西亚,1518,14,114
丹麦,1460,24,0
以色列,1442,1,41
捷克,1236,1,7
爱尔兰,1125,6,0
厄瓜多尔,981,18,0
卢森堡,875,8,0
巴基斯坦,875,6,6
泰国,827,4,57
波兰,749,8,13
智利,746,2,11
芬兰,700,1,1
希腊,695,17,19
冰岛,588,0,0
印度尼西亚,579,49,30
罗马尼亚,576,7,64
沙特阿拉伯,562,0,19
新加坡,509,2,140
菲律宾,501,33,19
卡塔尔,501,0,37
印度,492,9,36
斯洛文尼亚,442,3,0
俄罗斯,438,1,17
南非,402,0,1
秘鲁,395,5,0
墨西哥,367,4,1
埃及,366,19,56
爱沙尼亚,352,0,0
巴拿马,345,6,0
巴林,339,2,160
克罗地亚,315,1,5
阿根廷,301,4,0
哥伦比亚,277,3,0
黎巴嫩,267,4,1
伊拉克,266,23,62
塞尔维亚,249,3,0
亚美尼亚,235,0,2
阿尔及利亚,230,17,32
多米尼加,202,2,0
保加利亚,201,3,0
阿联酋,198,2,41
科威特,188,0,30
斯洛伐克,186,1,7
拉脱维亚,180,0,0
匈牙利,167,7,7
立陶宛,160,1,1
哥斯达黎加,158,2,0
乌拉圭,158,0,2
圣马力诺,151,20,2
新西兰,142,0,12
北马其顿,136,2,1
安道尔,133,1,1
波黑,131,1,2
约旦,127,0,1
摩洛哥,122,4,3
越南,121,0,17
塞浦路斯,116,0,0
摩尔多瓦,109,1,1
阿尔巴尼亚,104,2,0
布基纳法索,99,4,5
斯里兰卡,92,0,1
文莱,91,0,0
突尼斯,89,3,0
柬埔寨,86,0,1
委内瑞拉,84,0,0
阿曼,84,0,17
乌克兰,83,3,8
白俄罗斯,81,0,15
塞内加尔,79,0,8
阿塞拜疆,72,1,10
哈萨克斯坦,66,0,0
格鲁吉亚,61,0,8
巴勒斯坦,59,0,17
喀麦隆,56,0,0
列支敦士登,44,0,0
乌兹别克斯坦,43,0,0
阿富汗,42,1,0
马耳他,38,0,0
毛里求斯,36,2,0
刚果（金）,36,2,0
尼日利亚,36,1,1
卢旺达,36,0,0
古巴,35,1,0
孟加拉国,33,3,3
加纳,27,2,0
黑山,27,0,0
科特迪瓦,25,0,1
洪都拉斯,24,0,0
玻利维亚,24,0,0
摩纳哥,23,0,0
巴拉圭,22,1,0
牙买加,19,1,0
多哥共和国,18,0,1
危地马拉,17,1,0
肯尼亚,16,0,0
吉尔吉斯斯坦,16,0,0
马尔代夫,13,0,0
坦桑尼亚,12,0,0
马达加斯加,12,0,0
法属圭亚那,11,1,0
埃塞俄比亚,11,0,0
蒙古,10,0,0
赤道几内亚,9,0,0
乌干达,9,0,0
塞舌尔,7,0,0
马提尼克岛,6,0,0
苏里南,6,0,0
圭亚那,5,1,0
加蓬,5,1,0
法属留尼汪岛,5,0,0
斯威士兰,5,0,0
贝宁,5,0,0
纳米比亚,4,0,0
几内亚,4,0,0
中非共和国,4,0,0
刚果（布）,4,0,0
法罗群岛,3,0,0
波多黎各,3,0,0
利比里亚,3,0,0
乍得,3,0,0
赞比亚,3,0,0
佛得角,3,0,0
安哥拉,3,0,0
津巴布韦,2,1,0
冈比亚,2,1,0
苏丹,2,1,0
毛里塔尼亚,2,0,0
巴巴多斯,2,0,0
缅甸,2,0,0
尼日尔,2,0,0
尼加拉瓜,2,0,0
圣马丁岛,2,0,0
尼泊尔,2,0,1
海地,2,0,0
波斯尼亚,1,0,0
叙利亚,1,0,0
巴哈马,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
索马里,1,0,0
莫桑比克,1,0,0
厄立特里亚,1,0,0
斐济,1,0,0
伯利兹,1,0,0
萨尔瓦多,1,0,0
东帝汶,1,0,0
直布罗陀,1,0,0
多米尼克,1,0,0
巴布亚新几内,1,0,0
安提瓜和巴布达,1,0,0
特立尼达和多巴哥,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
