地区,确诊,死亡,治愈
美国,143578,2562,4050
意大利,97689,10779,13030
西班牙,85195,7340,14709
德国,63150,544,16320
伊朗,41495,2757,13911
法国,40723,2611,7226
英国,19522,1228,151
瑞士,15475,300,1595
比利时,11899,513,675
荷兰,11750,864,2500
韩国,9661,158,5228
土耳其,9217,131,105
奥地利,9200,108,636
葡萄牙,6408,140,43
加拿大,6320,65,466
以色列,4347,15,132
挪威,4313,29,7
巴西,4256,136,6
澳大利亚,4203,17,244
瑞典,3700,110,16
捷克,2859,17,11
丹麦,2724,72,73
日本,2674,68,1027
马来西亚,2626,37,479
爱尔兰,2615,36,5
智利,2139,7,75
罗马尼亚,1952,44,206
卢森堡,1950,21,6
厄瓜多尔,1924,58,3
波兰,1905,26,13
俄罗斯,1836,9,66
巴基斯坦,1625,18,29
菲律宾,1546,78,42
泰国,1524,9,127
沙特阿拉伯,1453,8,115
印度尼西亚,1414,122,59
芬兰,1343,11,10
南非,1280,2,31
希腊,1156,38,42
印度,1071,29,99
冰岛,1020,2,124
墨西哥,993,20,4
巴拿马,989,24,4
新加坡,879,3,212
多米尼加,859,39,3
秘鲁,852,18,14
阿根廷,820,80,72
塞尔维亚,785,16,0
斯洛文尼亚,730,9,10
克罗地亚,713,6,45
哥伦比亚,702,10,10
爱沙尼亚,679,3,34
卡塔尔,634,1,48
阿联酋,611,5,61
埃及,609,40,132
新西兰,589,1,56
伊拉克,547,42,131
巴林,515,4,279
阿尔及利亚,511,31,32
立陶宛,484,7,1
亚美尼亚,481,3,30
乌克兰,480,11,6
摩洛哥,479,26,13
匈牙利,447,15,34
黎巴嫩,446,11,32
保加利亚,354,8,15
拉脱维亚,347,0,1
斯洛伐克,336,0,7
安道尔,334,6,6
波黑,324,6,8
哥斯达黎加,314,2,3
突尼斯,312,8,2
乌拉圭,309,1,6
哈萨克斯坦,294,1,20
科威特,266,0,72
摩尔多瓦,263,2,13
北马其顿,259,6,3
约旦,259,3,18
圣马力诺,224,22,6
阿尔巴尼亚,223,11,44
布基纳法索,222,12,23
塞浦路斯,214,6,4
阿塞拜疆,209,4,15
越南,203,0,52
阿曼,179,0,29
科特迪瓦,165,0,4
塞内加尔,162,0,28
法罗群岛,159,0,0
马耳他,156,0,2
加纳,152,5,2
乌兹别克斯坦,149,2,7
阿富汗,145,2,2
喀麦隆,142,2,3
古巴,139,3,4
洪都拉斯,139,3,3
文莱,127,1,38
斯里兰卡,122,1,15
委内瑞拉,119,3,39
尼日利亚,111,1,3
毛里求斯,110,3,0
柬埔寨,107,0,21
巴勒斯坦,106,1,18
格鲁吉亚,98,0,18
玻利维亚,96,3,0
科索沃,94,1,1
白俄罗斯,94,0,32
吉尔吉斯斯坦,94,0,0
马提尼克岛,91,1,0
黑山,85,1,0
刚果（金）,81,8,3
特立尼达和多巴哥,78,3,1
瓜德罗普,73,1,0
卢旺达,70,0,0
巴拉圭,64,3,1
列支敦士登,62,0,0
肯尼亚,50,1,1
孟加拉国,49,5,19
摩纳哥,46,0,1
马达加斯加,43,0,0
关岛,37,1,0
赞比亚,35,0,0
危地马拉,34,1,10
巴巴多斯,33,0,0
乌干达,33,0,0
牙买加,32,1,2
波多黎各,31,2,0
多哥共和国,30,1,7
马约特岛,30,0,0
法属留尼汪岛,28,0,0
马里,25,2,0
法属波利尼西亚,25,0,0
法属圭亚那,23,1,0
埃塞俄比亚,23,0,2
尼日尔,22,3,0
美属维尔京群岛,19,0,0
坦桑尼亚,19,0,1
刚果（布）,19,0,0
阿鲁巴,19,0,0
泽西岛,18,0,0
吉布提,18,0,0
马尔代夫,17,0,11
几内亚,16,0,1
海地,15,0,1
巴哈马,14,0,1
赤道几内亚,14,0,0
缅甸,14,0,0
萨尔瓦多,13,0,0
蒙古,12,0,0
厄立特里亚,12,0,0
纳米比亚,11,0,0
多米尼克,11,0,0
叙利亚,10,1,0
格林纳达,9,0,1
圣卢西亚,9,0,1
老挝,8,0,0
斯威士兰,8,0,0
莫桑比克,8,0,0
苏里南,8,0,0
利比亚,8,0,0
塞舌尔,8,0,0
安哥拉,7,2,0
津巴布韦,7,1,0
荷属安的列斯,7,1,0
加蓬,7,1,0
安提瓜和巴布达,7,0,0
苏丹,6,2,0
佛得角,6,1,0
贝宁,6,0,0
中非共和国,6,0,0
梵蒂冈,6,0,0
圭亚那,5,1,0
开曼群岛,5,1,0
蒙特塞拉特,5,0,0
毛里塔尼亚,5,0,2
乍得,5,0,0
斐济,5,0,0
尼泊尔,5,0,1
尼加拉瓜,4,1,0
冈比亚,4,1,0
不丹,4,0,0
圣巴泰勒米,3,0,0
利比里亚,3,0,0
索马里,3,0,0
直布罗陀,3,0,0
伯利兹,2,0,0
圣马丁岛,2,0,0
圣基茨和尼维斯,2,0,0
几内亚比绍,2,0,0
波斯尼亚,1,0,0
萨尔多瓦,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
东帝汶,1,0,0
巴布亚新几内亚,1,0,0
圣文森特和格林纳丁斯,1,0,0
格恩西岛,1,0,0
