地区,确诊,死亡,治愈
美国,278537,7163,9920
西班牙,124736,11744,30513
意大利,119827,14681,19758
德国,91589,1293,24575
法国,83031,6521,14138
伊朗,55743,3452,19736
英国,42433,4320,209
土耳其,20921,425,484
瑞士,20278,604,4846
比利时,18431,1283,2872
荷兰,16725,1656,260
加拿大,12545,188,2321
奥地利,11781,186,2507
葡萄牙,10524,266,75
韩国,10156,174,6021
巴西,9216,365,127
以色列,7589,42,427
瑞典,6131,358,205
澳大利亚,5548,30,701
挪威,5519,61,32
俄罗斯,4731,43,333
爱尔兰,4273,120,5
丹麦,4268,161,1379
捷克,4190,53,72
日本,4072,89,1133
智利,3737,22,427
罗马尼亚,3613,141,329
波兰,3503,73,116
马来西亚,3483,57,915
厄瓜多尔,3368,145,71
菲律宾,3094,144,57
印度,3082,86,192
巴基斯坦,2708,41,130
卢森堡,2612,31,174
印度尼西亚,2092,191,150
泰国,2067,20,612
沙特阿拉伯,2039,25,351
芬兰,1882,20,300
墨西哥,1688,60,633
巴拿马,1673,41,10
希腊,1643,67,78
秘鲁,1595,61,537
阿联酋,1505,10,125
南非,1505,9,45
多米尼加,1488,68,16
塞尔维亚,1476,89,0
冰岛,1364,4,336
阿根廷,1353,42,266
哥伦比亚,1267,25,55
阿尔及利亚,1171,105,62
新加坡,1114,5,266
乌克兰,1096,28,23
克罗地亚,1079,8,88
卡塔尔,1075,5,93
爱沙尼亚,1018,13,59
埃及,985,66,216
斯洛文尼亚,977,22,70
新西兰,950,1,127
摩洛哥,858,50,62
伊拉克,820,54,226
立陶宛,771,10,7
亚美尼亚,770,7,43
巴林,688,4,399
匈牙利,678,32,58
波黑,616,19,27
摩尔多瓦,591,8,22
哈萨克斯坦,525,6,36
阿塞拜疆,521,5,32
黎巴嫩,520,17,50
喀麦隆,509,8,17
拉脱维亚,509,1,1
保加利亚,498,15,34
突尼斯,495,18,5
科威特,479,1,93
斯洛伐克,471,1,8
安道尔,439,16,16
北马其顿,430,13,12
哥斯达黎加,416,2,11
塞浦路斯,396,11,4
乌拉圭,386,4,68
白俄罗斯,351,4,47
阿尔巴尼亚,333,18,99
波多黎各,316,12,0
约旦,310,5,58
布基纳法索,302,16,48
阿富汗,299,7,10
阿曼,277,1,61
古巴,269,6,15
洪都拉斯,264,15,3
圣马力诺,251,32,26
乌兹别克斯坦,241,2,25
越南,240,0,90
塞内加尔,219,2,72
科特迪瓦,218,19,1
马耳他,213,0,2
尼日利亚,210,4,25
加纳,205,5,3
黑山,197,2,1
毛里求斯,196,7,0
斯里兰卡,162,5,25
巴勒斯坦,161,1,18
法罗群岛,159,0,0
格鲁吉亚,156,0,28
委内瑞拉,153,3,39
刚果（金）,148,16,3
吉尔吉斯斯坦,144,1,9
玻利维亚,139,10,1
文莱,135,1,66
肯尼亚,126,4,4
尼日尔,120,5,0
柬埔寨,114,0,50
特立尼达和多巴哥,100,6,1
巴拉圭,96,3,12
科索沃,94,1,1
马提尼克岛,91,1,0
卢旺达,89,0,0
列支敦士登,75,0,0
瓜德罗普,73,1,0
几内亚,73,0,2
孟加拉国,70,8,30
马达加斯加,70,0,0
摩纳哥,64,1,1
萨尔瓦多,56,3,0
牙买加,53,3,7
巴巴多斯,51,0,0
危地马拉,50,1,12
吉布提,50,0,8
乌干达,48,0,0
法属留尼汪岛,47,0,0
多哥共和国,41,3,17
刚果（布）,41,3,0
马里,39,3,0
赞比亚,39,1,2
埃塞俄比亚,38,0,4
关岛,37,1,0
马约特岛,30,0,0
法属波利尼西亚,25,0,0
巴哈马,24,3,1
圭亚那,23,4,0
法属圭亚那,23,1,0
厄立特里亚,22,0,0
加蓬,21,1,1
坦桑尼亚,20,1,3
缅甸,20,1,0
美属维尔京群岛,19,0,0
阿鲁巴,19,0,0
泽西岛,18,0,0
马尔代夫,18,0,13
海地,18,0,1
利比亚,17,1,0
叙利亚,16,2,0
赤道几内亚,16,0,1
贝宁,16,0,2
几内亚比绍,15,0,0
蒙古,14,0,0
纳米比亚,14,0,3
多米尼克,14,0,0
圣卢西亚,13,0,1
格林纳达,12,0,1
斐济,12,0,0
苏丹,10,2,0
利比里亚,10,1,0
莫桑比克,10,0,0
塞舌尔,10,0,0
津巴布韦,9,1,0
老挝,9,0,0
斯威士兰,9,0,0
乍得,9,0,0
苏里南,9,0,0
圣基茨和尼维斯,9,0,0
尼泊尔,9,0,1
安哥拉,8,2,1
中非共和国,8,0,0
荷属安的列斯,7,1,0
索马里,7,0,0
安提瓜和巴布达,7,0,0
毛里塔尼亚,6,1,2
佛得角,6,1,0
梵蒂冈,6,0,0
开曼群岛,5,1,0
蒙特塞拉特,5,0,0
博茨瓦纳,4,1,0
尼加拉瓜,4,1,0
冈比亚,4,1,0
不丹,4,0,0
圣巴泰勒米,3,0,0
布隆迪,3,0,0
伯利兹,3,0,0
直布罗陀,3,0,0
马拉维,3,0,0
塞拉利昂,2,0,0
圣马丁岛,2,0,0
波斯尼亚,1,0,0
萨尔多瓦,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
东帝汶,1,0,0
巴布亚新几内亚,1,0,0
圣文森特和格林纳丁斯,1,0,0
格恩西岛,1,0,0
