地区,确诊,死亡,治愈
意大利,59138,5476,6072
美国,33073,409,178
西班牙,28572,1720,1588
德国,23921,92,239
伊朗,21638,1685,7635
法国,16018,674,1587
韩国,8961,111,2909
瑞士,7014,60,3
英国,5683,281,65
荷兰,4204,179,0
比利时,3401,67,15
奥地利,3244,16,9
挪威,2262,7,0
瑞典,1906,21,0
日本,1802,45,766
澳大利亚,1609,7,46
葡萄牙,1600,12,0
巴西,1546,25,0
加拿大,1470,20,4
丹麦,1395,13,0
马来西亚,1306,8,114
土耳其,1236,30,0
捷克,1120,0,6
以色列,1071,1,37
爱尔兰,906,4,0
卢森堡,798,8,0
巴基斯坦,761,4,5
波兰,634,7,13
智利,632,1,5
芬兰,626,1,1
希腊,624,15,19
泰国,599,1,45
冰岛,568,0,0
印度尼西亚,518,40,17
沙特阿拉伯,511,0,17
卡塔尔,470,0,4
新加坡,455,2,140
厄瓜多尔,426,7,0
斯洛文尼亚,414,2,0
菲律宾,380,25,15
秘鲁,363,5,0
印度,360,7,23
埃及,327,14,56
爱沙尼亚,326,0,0
罗马尼亚,308,0,31
俄罗斯,306,1,16
巴林,292,1,81
南非,274,0,1
墨西哥,251,2,1
黎巴嫩,245,4,1
巴拿马,245,3,0
阿根廷,225,4,0
哥伦比亚,210,1,0
伊拉克,208,17,50
阿尔及利亚,201,17,32
亚美尼亚,190,0,2
科威特,188,0,18
保加利亚,187,3,0
斯洛伐克,185,1,0
塞尔维亚,171,1,0
阿联酋,140,2,31
拉脱维亚,139,0,0
乌拉圭,135,0,2
匈牙利,131,4,7
立陶宛,131,1,0
哥斯达黎加,117,2,0
摩洛哥,115,4,3
约旦,112,0,1
圣马力诺,109,14,2
克罗地亚,102,1,5
新西兰,102,0,0
越南,99,0,16
塞浦路斯,95,0,0
文莱,88,0,0
安道尔,88,0,1
斯里兰卡,81,0,1
阿尔巴尼亚,76,2,0
白俄罗斯,76,0,15
多米尼加,72,2,0
委内瑞拉,70,0,0
塞内加尔,67,0,5
阿塞拜疆,65,1,10
布基纳法索,64,1,4
波黑,64,0,0
巴勒斯坦,59,0,17
阿曼,55,0,17
突尼斯,54,0,0
格鲁吉亚,54,0,3
摩尔多瓦,49,1,1
哈萨克斯坦,49,0,0
乌克兰,47,3,1
柬埔寨,47,0,1
列支敦士登,44,0,0
乌兹别克斯坦,43,0,0
喀麦隆,40,0,0
马耳他,38,0,0
北马其顿,35,0,0
刚果（金）,30,2,0
尼日利亚,30,0,1
毛里求斯,28,2,0
孟加拉国,27,1,3
加纳,24,1,0
阿富汗,24,0,0
洪都拉斯,24,0,0
玻利维亚,24,0,0
摩纳哥,23,0,0
巴拉圭,22,1,0
古巴,21,1,0
牙买加,19,1,0
危地马拉,17,1,0
卢旺达,17,0,0
肯尼亚,15,0,0
科特迪瓦,14,0,1
马尔代夫,13,0,0
坦桑尼亚,12,0,0
吉尔吉斯斯坦,12,0,0
法属圭亚那,11,1,0
埃塞俄比亚,11,0,0
蒙古,10,0,0
黑山,10,0,0
多哥共和国,9,0,1
马提尼克岛,6,0,0
赤道几内亚,6,0,0
圭亚那,5,1,0
加蓬,5,1,0
法属留尼汪岛,5,0,0
苏里南,5,0,0
塞舌尔,4,0,0
法罗群岛,3,0,0
波多黎各,3,0,0
苏丹,2,1,0
毛里塔尼亚,2,0,0
纳米比亚,2,0,0
赞比亚,2,0,0
巴巴多斯,2,0,0
尼加拉瓜,2,0,0
圣马丁岛,2,0,0
尼泊尔,2,0,1
海地,2,0,0
安哥拉,2,0,0
波斯尼亚,1,0,0
叙利亚,1,0,0
巴哈马,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
几内亚,1,0,0
斯威士兰,1,0,0
贝宁,1,0,0
中非共和国,1,0,0
利比里亚,1,0,0
索马里,1,0,0
乍得,1,0,0
乌干达,1,0,0
厄立特里亚,1,0,0
刚果（布）,1,0,0
津巴布韦,1,0,0
斐济,1,0,0
尼日尔,1,0,0
佛得角,1,0,0
萨尔瓦多,1,0,0
冈比亚,1,0,0
东帝汶,1,0,0
直布罗陀,1,0,0
安提瓜和巴布达,1,0,0
特立尼达和多巴哥,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
