地区,确诊,死亡,治愈
美国,104661,1706,890
意大利,86498,9134,10950
西班牙,72248,5690,9357
德国,53340,399,6658
伊朗,35408,2517,11679
法国,32964,1995,5700
英国,17089,1019,151
瑞士,13213,237,131
荷兰,9762,639,2500
韩国,9478,144,4811
比利时,9134,353,675
奥地利,7712,58,225
土耳其,5698,92,26
加拿大,4633,53,202
葡萄牙,4268,76,43
挪威,3721,19,6
澳大利亚,3640,14,194
以色列,3460,12,89
巴西,3417,92,6
瑞典,3046,92,16
日本,2436,64,975
捷克,2422,9,11
丹麦,2366,52,57
马来西亚,2320,27,320
爱尔兰,2121,22,5
厄瓜多尔,1627,41,3
智利,1610,5,43
卢森堡,1605,15,6
波兰,1436,16,13
巴基斯坦,1296,9,23
罗马尼亚,1292,24,115
俄罗斯,1264,4,49
泰国,1245,6,97
沙特阿拉伯,1203,4,37
南非,1170,1,31
芬兰,1163,9,10
印度尼西亚,1155,102,46
菲律宾,1075,68,35
希腊,966,28,42
印度,918,20,80
冰岛,890,2,82
新加坡,802,2,172
巴拿马,786,14,2
墨西哥,717,12,4
秘鲁,635,11,14
克罗地亚,635,4,45
斯洛文尼亚,632,9,10
阿根廷,589,12,72
爱沙尼亚,575,1,34
卡塔尔,562,0,43
哥伦比亚,539,6,10
埃及,536,30,116
伊拉克,506,42,131
多米尼加,488,10,3
巴林,473,4,254
阿联酋,468,2,55
塞尔维亚,457,4,0
新西兰,451,0,50
黎巴嫩,412,8,27
阿尔及利亚,409,26,32
立陶宛,382,5,1
亚美尼亚,372,1,28
摩洛哥,358,23,11
匈牙利,343,11,34
保加利亚,313,4,9
乌克兰,311,8,5
拉脱维亚,280,0,1
安道尔,263,3,1
哥斯达黎加,263,2,2
乌拉圭,238,0,6
波黑,237,4,5
约旦,235,1,18
科威特,235,0,64
突尼斯,227,6,2
斯洛伐克,226,0,7
北马其顿,219,3,3
圣马力诺,208,21,4
摩尔多瓦,199,1,2
阿尔巴尼亚,197,10,17
布基纳法索,180,9,12
越南,174,0,20
阿塞拜疆,165,3,15
塞浦路斯,162,5,4
阿曼,152,0,23
哈萨克斯坦,145,1,4
加纳,137,4,2
马耳他,134,0,2
塞内加尔,130,0,18
文莱,120,0,25
阿富汗,110,2,2
斯里兰卡,110,0,7
委内瑞拉,107,1,15
科特迪瓦,101,0,3
柬埔寨,96,0,10
毛里求斯,94,2,0
喀麦隆,94,2,3
白俄罗斯,94,0,32
格鲁吉亚,85,0,14
巴勒斯坦,84,1,17
乌兹别克斯坦,83,0,5
古巴,81,2,4
尼日利亚,81,1,3
黑山,75,1,0
瓜德罗普,73,1,0
科索沃,71,1,0
洪都拉斯,68,1,0
特立尼达和多巴哥,65,1,1
玻利维亚,61,0,0
列支敦士登,60,0,0
刚果（金）,58,5,3
吉尔吉斯斯坦,58,0,0
马提尼克岛,57,1,0
卢旺达,54,0,0
巴拉圭,52,3,1
孟加拉国,48,5,11
摩纳哥,42,0,1
肯尼亚,38,1,1
关岛,37,1,0
波多黎各,31,2,0
马约特岛,30,0,0
法属留尼汪岛,28,0,0
赞比亚,28,0,0
牙买加,26,1,2
马达加斯加,26,0,0
危地马拉,25,1,4
法属波利尼西亚,25,0,0
多哥共和国,24,0,1
巴巴多斯,24,0,0
法属圭亚那,23,1,0
刚果（布）,19,0,0
阿鲁巴,19,0,0
泽西岛,18,0,0
马里,18,0,0
乌干达,18,0,0
美属维尔京群岛,17,0,0
埃塞俄比亚,16,0,0
坦桑尼亚,14,0,1
吉布提,14,0,0
马尔代夫,13,0,0
萨尔瓦多,13,0,0
蒙古,12,0,0
赤道几内亚,12,0,0
多米尼克,11,0,0
尼日尔,10,1,0
巴哈马,9,0,0
纳米比亚,8,0,0
斯威士兰,8,0,0
苏里南,8,0,0
海地,8,0,0
津巴布韦,7,1,0
加蓬,7,1,0
格林纳达,7,0,0
莫桑比克,7,0,0
安提瓜和巴布达,7,0,0
塞舌尔,7,0,0
老挝,6,0,0
贝宁,6,0,0
中非共和国,6,0,0
厄立特里亚,6,0,0
佛得角,5,1,0
圭亚那,5,1,0
苏丹,5,1,0
开曼群岛,5,1,0
叙利亚,5,0,0
斐济,5,0,0
缅甸,5,0,0
尼泊尔,5,0,1
几内亚,4,0,0
安哥拉,4,0,0
梵蒂冈,4,0,0
冈比亚,3,1,0
圣巴泰勒米,3,0,0
法罗群岛,3,0,0
毛里塔尼亚,3,0,0
利比里亚,3,0,0
索马里,3,0,0
乍得,3,0,0
直布罗陀,3,0,0
荷属安的列斯,3,0,0
利比亚,3,0,0
圣卢西亚,3,0,0
不丹,3,0,0
伯利兹,2,0,0
尼加拉瓜,2,0,0
圣马丁岛,2,0,0
圣基茨和尼维斯,2,0,0
几内亚比绍,2,0,0
波斯尼亚,1,0,0
蒙特塞拉特,1,0,0
萨尔多瓦,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
东帝汶,1,0,0
巴布亚新几内亚,1,0,0
圣文森特和格林纳丁斯,1,0,0
格恩西岛,1,0,0
