地区,确诊,死亡,治愈
意大利,74386,7503,9362
美国,68960,1041,593
西班牙,49515,3647,5367
德国,37323,206,3547
伊朗,27017,2077,9625
法国,25233,1331,3900
瑞士,9765,83,3
英国,9529,465,65
韩国,9241,131,4144
荷兰,6412,356,0
奥地利,5560,30,9
比利时,4937,178,350
加拿大,3409,36,4
挪威,3041,14,0
葡萄牙,2995,43,22
澳大利亚,2799,12,46
瑞典,2510,42,0
以色列,2495,5,64
土耳其,2433,59,26
巴西,2433,57,0
日本,2026,55,907
马来西亚,1796,19,199
丹麦,1724,34,0
捷克,1654,10,10
爱尔兰,1564,7,0
卢森堡,1333,8,0
厄瓜多尔,1082,27,0
泰国,1045,4,70
巴基斯坦,1016,7,6
智利,922,2,17
罗马尼亚,907,17,64
波兰,901,10,13
沙特阿拉伯,900,1,29
芬兰,880,3,1
俄罗斯,840,2,38
希腊,821,22,19
印度尼西亚,790,58,30
冰岛,739,2,0
南非,709,0,1
印度,649,13,42
菲律宾,636,38,26
新加坡,631,2,140
巴拿马,558,8,2
卡塔尔,537,0,41
斯洛文尼亚,526,5,0
阿根廷,502,8,0
秘鲁,480,5,0
墨西哥,475,6,1
哥伦比亚,470,3,6
埃及,456,21,95
克罗地亚,442,1,5
巴林,419,4,190
爱沙尼亚,404,1,9
塞尔维亚,384,4,0
伊拉克,346,29,89
黎巴嫩,333,4,8
阿联酋,333,2,52
多米尼加,312,2,0
阿尔及利亚,302,21,32
新西兰,278,0,12
亚美尼亚,265,0,16
立陶宛,255,3,1
保加利亚,242,3,0
摩洛哥,225,6,7
拉脱维亚,221,0,0
乌拉圭,217,0,6
斯洛伐克,216,0,7
哥斯达黎加,201,2,0
科威特,195,0,43
圣马力诺,187,20,2
匈牙利,187,8,21
安道尔,185,1,1
波黑,176,3,2
突尼斯,173,5,0
约旦,172,0,1
摩尔多瓦,149,1,1
阿尔巴尼亚,146,5,10
乌克兰,145,5,8
越南,141,0,17
北马其顿,136,2,1
塞浦路斯,132,0,0
布基纳法索,114,4,5
文莱,109,0,0
委内瑞拉,106,0,0
斯里兰卡,102,0,23
阿曼,99,0,17
哈萨克斯坦,97,0,2
柬埔寨,96,0,1
阿塞拜疆,93,2,10
白俄罗斯,86,0,15
塞内加尔,86,0,8
阿富汗,84,2,0
科特迪瓦,73,0,3
格鲁吉亚,73,0,10
喀麦隆,70,1,3
加纳,68,3,0
乌兹别克斯坦,65,0,5
巴勒斯坦,64,1,16
黑山,53,0,0
洪都拉斯,52,0,0
刚果（金）,51,4,2
尼日利亚,51,1,2
列支敦士登,51,0,0
毛里求斯,48,2,0
古巴,48,1,0
卢旺达,41,0,0
马耳他,38,0,0
巴拉圭,37,3,0
孟加拉国,33,3,3
摩纳哥,31,0,1
肯尼亚,28,0,1
玻利维亚,28,0,0
牙买加,21,1,0
多哥共和国,18,0,1
危地马拉,17,1,0
吉尔吉斯斯坦,16,0,0
乌干达,14,0,0
马尔代夫,13,0,0
坦桑尼亚,13,0,1
赞比亚,12,0,0
埃塞俄比亚,12,0,0
马达加斯加,12,0,0
法属圭亚那,11,1,0
蒙古,11,0,0
赤道几内亚,11,0,0
吉布提,11,0,0
尼日尔,7,1,0
纳米比亚,7,0,0
塞舌尔,7,0,0
马提尼克岛,6,0,0
苏里南,6,0,0
圭亚那,5,1,0
加蓬,5,1,0
叙利亚,5,0,0
法属留尼汪岛,5,0,0
斯威士兰,5,0,0
贝宁,5,0,0
莫桑比克,5,0,0
几内亚,4,0,0
中非共和国,4,0,0
厄立特里亚,4,0,0
刚果（布）,4,0,0
津巴布韦,3,1,0
佛得角,3,1,0
冈比亚,3,1,0
苏丹,3,1,0
老挝,3,0,0
法罗群岛,3,0,0
波多黎各,3,0,0
利比里亚,3,0,0
乍得,3,0,0
缅甸,3,0,0
安哥拉,3,0,0
毛里塔尼亚,2,0,0
巴巴多斯,2,0,0
马里,2,0,0
尼加拉瓜,2,0,0
圣马丁岛,2,0,0
尼泊尔,2,0,1
海地,2,0,0
几内亚比绍,2,0,0
波斯尼亚,1,0,0
巴哈马,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
索马里,1,0,0
斐济,1,0,0
伯利兹,1,0,0
萨尔瓦多,1,0,0
东帝汶,1,0,0
直布罗陀,1,0,0
多米尼克,1,0,0
利比亚,1,0,0
巴布亚新几内,1,0,0
安提瓜和巴布达,1,0,0
特立尼达和多巴哥,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
