地区,确诊,死亡,治愈
意大利,69176,6820,7432
美国,55041,790,178
西班牙,42058,2991,3794
德国,32986,123,422
伊朗,24811,1934,8913
法国,22300,1100,3281
韩国,9137,126,3730
瑞士,8836,83,3
英国,8077,422,65
荷兰,5560,276,0
奥地利,4876,28,9
比利时,4269,122,350
挪威,2796,12,0
加拿大,2792,27,4
葡萄牙,2362,29,22
澳大利亚,2317,7,46
瑞典,2272,36,0
巴西,2201,46,0
日本,1931,53,875
以色列,1930,3,53
土耳其,1872,44,0
马来西亚,1624,15,183
丹麦,1591,32,0
捷克,1394,2,10
爱尔兰,1329,7,0
卢森堡,1099,8,0
厄瓜多尔,981,18,0
巴基斯坦,972,7,6
泰国,934,4,70
智利,922,2,17
波兰,901,10,13
芬兰,792,1,1
沙特阿拉伯,767,1,28
希腊,743,20,19
南非,709,0,1
印度尼西亚,686,50,30
冰岛,648,2,0
罗马尼亚,576,7,64
印度,562,9,40
新加坡,558,2,140
菲律宾,552,33,19
卡塔尔,526,0,41
俄罗斯,498,1,17
巴拿马,443,6,0
斯洛文尼亚,442,3,0
墨西哥,405,5,1
埃及,402,20,80
秘鲁,395,5,0
巴林,391,2,177
阿根廷,387,6,0
哥伦比亚,378,3,6
爱沙尼亚,369,0,0
伊拉克,316,27,75
克罗地亚,315,1,5
黎巴嫩,304,4,8
塞尔维亚,303,3,0
阿尔及利亚,264,19,32
亚美尼亚,249,0,14
阿联酋,248,2,41
保加利亚,218,3,0
立陶宛,209,1,1
新西兰,205,0,12
斯洛伐克,204,1,7
多米尼加,202,2,0
拉脱维亚,197,0,0
科威特,191,0,39
乌拉圭,189,0,2
圣马力诺,187,20,2
匈牙利,187,8,21
摩洛哥,170,5,6
安道尔,164,1,1
哥斯达黎加,158,2,0
约旦,153,0,1
北马其顿,136,2,1
越南,134,0,17
波黑,131,1,2
摩尔多瓦,125,1,1
塞浦路斯,124,0,0
阿尔巴尼亚,123,5,10
布基纳法索,114,4,5
突尼斯,114,3,0
乌克兰,113,3,8
文莱,104,0,0
斯里兰卡,102,0,23
阿曼,99,0,17
柬埔寨,93,0,1
阿塞拜疆,87,1,10
塞内加尔,86,0,8
委内瑞拉,84,0,0
白俄罗斯,81,0,15
哈萨克斯坦,79,0,0
阿富汗,74,1,0
科特迪瓦,73,0,3
格鲁吉亚,70,0,9
喀麦隆,66,1,0
巴勒斯坦,60,0,16
乌兹别克斯坦,55,0,5
加纳,53,2,0
列支敦士登,51,0,0
刚果（金）,48,3,1
尼日利亚,44,1,2
毛里求斯,42,2,0
卢旺达,40,0,0
马耳他,38,0,0
古巴,35,1,0
孟加拉国,33,3,3
摩纳哥,27,0,1
黑山,27,0,0
肯尼亚,25,0,0
洪都拉斯,24,0,0
玻利维亚,24,0,0
巴拉圭,22,1,0
牙买加,19,1,0
多哥共和国,18,0,1
危地马拉,17,1,0
吉尔吉斯斯坦,16,0,0
马尔代夫,13,0,0
坦桑尼亚,12,0,0
埃塞俄比亚,12,0,0
马达加斯加,12,0,0
法属圭亚那,11,1,0
蒙古,10,0,0
赤道几内亚,9,0,0
乌干达,9,0,0
纳米比亚,7,0,0
尼日尔,7,0,0
塞舌尔,7,0,0
马提尼克岛,6,0,0
苏里南,6,0,0
圭亚那,5,1,0
加蓬,5,1,0
法属留尼汪岛,5,0,0
斯威士兰,5,0,0
贝宁,5,0,0
几内亚,4,0,0
中非共和国,4,0,0
刚果（布）,4,0,0
津巴布韦,3,1,0
冈比亚,3,1,0
苏丹,3,1,0
法罗群岛,3,0,0
波多黎各,3,0,0
利比里亚,3,0,0
乍得,3,0,0
赞比亚,3,0,0
莫桑比克,3,0,0
缅甸,3,0,0
佛得角,3,0,0
安哥拉,3,0,0
老挝,2,0,0
毛里塔尼亚,2,0,0
巴巴多斯,2,0,0
尼加拉瓜,2,0,0
圣马丁岛,2,0,0
尼泊尔,2,0,1
海地,2,0,0
波斯尼亚,1,0,0
叙利亚,1,0,0
巴哈马,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
索马里,1,0,0
厄立特里亚,1,0,0
斐济,1,0,0
伯利兹,1,0,0
萨尔瓦多,1,0,0
东帝汶,1,0,0
直布罗陀,1,0,0
多米尼克,1,0,0
利比亚,1,0,0
巴布亚新几内,1,0,0
安提瓜和巴布达,1,0,0
特立尼达和多巴哥,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
