地区,确诊,死亡,治愈
美国,245646,6068,9311
西班牙,117710,10935,30513
意大利,115242,13915,18278
德国,84788,1107,22440
法国,59929,5398,12548
伊朗,53183,3294,17935
英国,38168,3605,192
瑞士,19303,484,4846
土耳其,18135,356,415
比利时,16770,1043,2872
荷兰,15723,1487,260
奥地利,11383,168,2022
加拿大,11283,139,1971
韩国,10062,174,6021
葡萄牙,9886,246,43
巴西,7910,299,127
以色列,7030,37,338
瑞典,6078,333,103
澳大利亚,5330,28,649
挪威,5296,54,32
俄罗斯,4149,34,281
捷克,3869,46,71
爱尔兰,3849,98,5
日本,3813,88,1133
智利,3404,18,335
丹麦,3386,123,1287
马来西亚,3333,53,827
罗马尼亚,3183,118,283
厄瓜多尔,3163,120,65
波兰,3149,59,56
菲律宾,3018,136,52
印度,2567,72,192
卢森堡,2487,30,80
巴基斯坦,2458,37,126
沙特阿拉伯,2039,25,351
泰国,1978,19,581
印度尼西亚,1896,181,134
芬兰,1615,19,300
希腊,1584,53,42
墨西哥,1510,50,35
塞尔维亚,1476,89,0
南非,1462,5,45
秘鲁,1414,55,537
冰岛,1319,4,284
巴拿马,1181,30,9
哥伦比亚,1161,19,31
阿根廷,1133,32,240
新加坡,1114,5,266
多米尼加,1109,51,5
阿联酋,1024,8,96
克罗地亚,1011,7,88
阿尔及利亚,986,83,46
卡塔尔,949,5,72
乌克兰,942,23,19
埃及,865,58,201
爱沙尼亚,858,11,34
斯洛文尼亚,802,15,10
伊拉克,772,54,202
新西兰,772,1,103
亚美尼亚,736,7,43
摩洛哥,735,47,34
巴林,672,4,372
立陶宛,649,9,7
匈牙利,623,26,43
黎巴嫩,508,17,46
摩尔多瓦,505,6,22
保加利亚,477,12,17
拉脱维亚,458,0,1
突尼斯,455,14,3
斯洛伐克,450,1,8
阿塞拜疆,443,5,32
安道尔,428,15,14
科威特,417,0,82
波黑,411,10,17
乌拉圭,369,4,68
塞浦路斯,356,10,4
白俄罗斯,351,4,47
哥斯达黎加,347,2,4
哈萨克斯坦,343,2,24
北马其顿,329,7,12
喀麦隆,306,8,10
约旦,299,5,45
布基纳法索,288,16,50
阿尔巴尼亚,277,16,52
阿曼,252,1,57
阿富汗,239,4,2
越南,237,0,85
圣马力诺,230,25,13
塞内加尔,207,1,66
乌兹别克斯坦,205,2,25
加纳,204,5,3
科特迪瓦,194,15,1
尼日利亚,190,2,20
古巴,170,4,4
毛里求斯,169,7,0
马耳他,169,0,2
巴勒斯坦,160,1,18
法罗群岛,159,0,0
斯里兰卡,150,3,21
洪都拉斯,141,7,3
格鲁吉亚,139,0,26
委内瑞拉,135,3,39
刚果（金）,134,13,3
文莱,134,1,65
吉尔吉斯斯坦,125,1,0
肯尼亚,122,3,4
黑山,109,1,0
柬埔寨,109,0,23
玻利维亚,107,6,0
尼日尔,98,5,0
科索沃,94,1,1
巴拉圭,92,3,1
马提尼克岛,91,1,0
特立尼达和多巴哥,85,3,1
卢旺达,84,0,0
瓜德罗普,73,1,0
波多黎各,64,2,0
列支敦士登,64,0,0
孟加拉国,61,6,26
摩纳哥,60,1,1
马达加斯加,59,0,0
几内亚,52,0,1
吉布提,49,0,8
法属留尼汪岛,47,0,0
乌干达,45,0,0
刚果（布）,41,3,0
多哥共和国,40,3,17
赞比亚,39,1,0
关岛,37,1,0
马里,36,3,0
危地马拉,36,1,10
牙买加,36,1,2
埃塞俄比亚,35,0,2
巴巴多斯,34,0,0
马约特岛,30,0,0
法属波利尼西亚,25,0,0
萨尔瓦多,24,0,0
法属圭亚那,23,1,0
厄立特里亚,22,0,0
坦桑尼亚,20,1,3
缅甸,20,1,0
美属维尔京群岛,19,0,0
阿鲁巴,19,0,0
加蓬,18,1,0
泽西岛,18,0,0
马尔代夫,18,0,13
叙利亚,16,2,0
赤道几内亚,15,0,1
海地,15,0,1
蒙古,14,0,0
巴哈马,14,0,1
纳米比亚,14,0,3
贝宁,13,0,1
多米尼克,12,0,0
利比亚,11,1,0
莫桑比克,10,0,0
塞舌尔,10,0,0
津巴布韦,9,1,0
老挝,9,0,0
格林纳达,9,0,1
斯威士兰,9,0,0
苏里南,9,0,0
圣卢西亚,9,0,1
几内亚比绍,9,0,0
苏丹,8,2,0
安哥拉,8,2,1
圭亚那,8,1,0
荷属安的列斯,7,1,0
乍得,7,0,0
圣基茨和尼维斯,7,0,0
安提瓜和巴布达,7,0,0
毛里塔尼亚,6,1,2
佛得角,6,1,0
中非共和国,6,0,0
利比里亚,6,0,0
尼泊尔,6,0,1
梵蒂冈,6,0,0
开曼群岛,5,1,0
蒙特塞拉特,5,0,0
索马里,5,0,0
斐济,5,0,0
博茨瓦纳,4,1,0
尼加拉瓜,4,1,0
冈比亚,4,1,0
不丹,4,0,0
圣巴泰勒米,3,0,0
布隆迪,3,0,0
伯利兹,3,0,0
直布罗陀,3,0,0
马拉维,3,0,0
塞拉利昂,2,0,0
圣马丁岛,2,0,0
波斯尼亚,1,0,0
萨尔多瓦,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
东帝汶,1,0,0
巴布亚新几内亚,1,0,0
圣文森特和格林纳丁斯,1,0,0
格恩西岛,1,0,0
